t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787800997697,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/?crawl=1,0,200,130631,31.015,279.991,466554
1787800998697,5684ed70-3a5c-de0c-dcb0-2554388d8f92,/?crawl=3,0,200,31579,13.092,29.990,1052972
1787800997977,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831c13a860f15e,1,200,168081,29.442,1124.754,149438
1787800997977,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831b13a860efab,1,200,161416,173.294,1139.869,141609
1787800998697,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/?crawl=5,0,200,269150,51.004,915.721,293921
1787800997977,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/2/c1831a13a860edf8,1,200,433881,29.424,2577.193,168354
1787801000554,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/1/5fcac809968a6e57,2,200,67849,87.545,437.332,155143
1787800999612,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/p/0/f2c7189faccc9aa,1,200,243857,48.463,3013.685,80917
1787801002697,217e1954-c0c2-0697-baaf-354547aa5a45,/?crawl=10,0,200,121391,69.626,585.572,207303
1787801003282,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec346db3fa63a8b,1,200,66227,69.060,756.762,87514
1787801003697,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/?crawl=12,0,200,9605,259.215,437.746,21942
1787801003697,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/?crawl=15,0,200,24480,797.829,876.578,27927
1787800999697,c475b5fc-e008-706b-ac3f-2e783ad28c42,/?crawl=8,0,200,4171668,26.676,5221.146,798995
1787801000554,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/5fcaca09968a71bd,2,200,492654,57.035,4401.656,111925
1787801004697,57a3b147-4cda-ee57-1f5e-54a9b89469de,/?crawl=19,0,200,181374,30.904,385.136,470935
