t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787857837774,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/?crawl=0,0,200,54669,41.806,157.184,347802
1787857837931,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dccb6e05d37ce5,1,200,36491,58.660,269.688,135308
1787857837931,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dcc86e05d377cc,1,200,143015,77.939,810.101,176540
1787857837774,c64abfb9-0f80-2244-326f-a6e75cc749f8,/?crawl=1,0,200,315215,137.180,1005.907,313364
1787857838780,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471dcb9a6e6ddf,1,200,75136,1.664,11.895,6316648
1787857838780,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/2/8a471fcb9a6e7145,1,200,80973,2.207,12.147,6666186
1787857838780,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471ecb9a6e6f92,1,200,107974,1.766,13.152,8209419
1787857838792,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/17299163308978ef,2,200,124468,1.409,14.085,8836821
1787857838774,7a7917fe-b550-bb84-f11d-8ec7baa0575b,/?crawl=2,0,200,129121,22.972,199.114,648478
1787857838792,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/1729926330897aa2,2,200,485355,13.109,199.954,2427332
1787857839774,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/?crawl=5,0,200,24029,51.486,98.607,243686
1787857839774,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/?crawl=3,0,200,26942,61.458,152.594,176560
1787857839774,61f953fd-ddee-8f82-9969-a3c25d780ca0,/?crawl=6,0,200,46788,71.452,261.528,178903
1787857840035,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825eca3c8a31b6c0,1,200,5569,90.521,90.578,61483
1787857839872,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/3/3c9dca55480298f9,1,200,40230,245.800,591.584,68004
1787857838792,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/1/1729936330897c55,2,200,3943201,3.439,2154.347,1830346
1787857840946,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/b8364057efa2e05e,3,200,187660,8.472,353.058,531528
1787857840946,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/b8363e57efa2dcf8,3,200,380181,4.079,553.317,687095
1787857840946,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/b8363f57efa2deab,3,200,423966,52.294,594.180,713531
1787857840774,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/?crawl=11,0,200,287884,47.620,887.892,324233
1787857840774,c059e2ba-67b5-441d-83f3-96a164e9d07d,/?crawl=8,0,200,433703,33.584,971.728,446321
1787857841662,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/12/9b3ca0c08b6020fc,1,200,47908,43.072,263.423,181868
1787857841925,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde3b90a2e7c5a,2,200,6897,221.983,423.676,16279
1787857840464,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/2/d96f60762cc20763,2,200,105083,260.066,1926.319,54551
1787857841745,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/12/922f755aaaab2bca,1,200,127318,97.951,1038.514,122596
1787857839872,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc85548029593,1,200,269800,46.190,3062.431,88100
1787857841745,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/922f735aaaab2864,1,200,238822,34.154,1450.330,164667
1787857841662,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca1c08b6022af,1,200,124934,86.898,1641.087,76129
1787857840035,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecc3c8a31ba26,1,200,397787,59.586,3918.763,101508
1787857843776,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/?crawl=13,0,200,20250,171.257,316.409,63999
1787857840035,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecb3c8a31b873,1,200,509084,90.572,4226.263,120457
1787857839926,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/637274107138836c,1,200,348724,154.913,4346.416,80233
1787857842784,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/fd88f08d4c5c33a8,2,200,130380,199.693,1667.276,78199
1787857843776,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/?crawl=14,0,200,150305,92.618,743.924,202043
