t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787857333138,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/?crawl=0,0,200,54669,27.002,107.705,507582
1787857333246,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dccb6e05d37ce5,1,200,36491,26.876,132.014,276417
1787857333138,c64abfb9-0f80-2244-326f-a6e75cc749f8,/?crawl=1,0,200,315215,13.899,274.371,1148865
1787857333412,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471dcb9a6e6ddf,1,200,75136,9.523,125.159,600322
1787857333412,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/2/8a471fcb9a6e7145,1,200,80973,18.527,129.246,626501
1787857333412,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471ecb9a6e6f92,1,200,107974,9.487,145.562,741773
1787857333542,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/17299163308978ef,2,200,124468,16.297,251.461,494979
1787857333246,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dcc86e05d377cc,1,200,143015,105.737,660.127,216648
1787857333542,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/1729926330897aa2,2,200,485355,28.984,597.836,811853
1787857335138,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/?crawl=5,0,200,24029,37.142,73.793,325627
1787857335138,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/?crawl=3,0,200,26942,40.258,94.060,286434
1787857335138,61f953fd-ddee-8f82-9969-a3c25d780ca0,/?crawl=6,0,200,46788,34.426,116.314,402254
1787857335254,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825eca3c8a31b6c0,1,200,5569,32.452,48.006,116007
1787857335212,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/3/3c9dca55480298f9,1,200,40230,203.090,586.318,68615
1787857333542,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/1/1729936330897c55,2,200,3943201,29.003,2377.618,1658467
1787857335919,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/b8364057efa2e05e,3,200,187660,7.198,280.732,668466
1787857335919,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/b8363e57efa2dcf8,3,200,380181,33.341,490.178,775599
1787857335919,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/b8363f57efa2deab,3,200,423966,22.240,501.691,845075
1787857335138,953461a2-4239-ade1-c67c-7dbb345a08ef,/?crawl=7,0,200,474619,62.764,1843.453,257462
1787857335212,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc95548029746,1,200,297878,31.485,1926.956,154585
1787857335254,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecc3c8a31ba26,1,200,397787,129.726,1887.276,210773
1787857335798,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/2/d96f60762cc20763,2,200,105083,160.485,1436.989,73127
1787857335254,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecb3c8a31b873,1,200,509084,48.002,2025.622,251322
1787857334138,7a7917fe-b550-bb84-f11d-8ec7baa0575b,/?crawl=2,0,200,129121,321.137,3352.705,38512
1787857335212,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc85548029593,1,200,269800,165.741,2746.853,98222
1787857336981,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/15c91e9a1eccab20,1,200,126381,56.485,1249.734,101126
1787857335233,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/637274107138836c,1,200,348724,220.686,3006.475,115991
1787857336981,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/4/15c91f9a1eccacd3,1,200,111669,85.285,1414.598,78940
1787857339138,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/?crawl=13,0,200,20250,23.378,45.089,449116
1787857339138,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/?crawl=14,0,200,150305,18.896,170.511,881495
1787857339309,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/e0fd9fa7cd8f3d10,1,200,19935,16.665,59.098,337319
1787857337235,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/81b361490815ba82,3,200,223256,162.268,2460.256,90745
1787857339308,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/2/e0fda0a7cd8f3ec3,1,200,202576,16.714,457.710,442586
1787857339766,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/1/4ff21e022447621c,2,200,14818,84.031,159.401,92960
1787857338396,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef6c7c71bfa62,2,200,85953,309.403,1648.951,52126
1787857339183,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/6/c2114b7bb4960d22,1,200,251883,21.246,1135.190,221886
1787857336138,c059e2ba-67b5-441d-83f3-96a164e9d07d,/?crawl=8,0,200,433703,179.434,4328.539,100196
1787857337235,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/1/81b362490815bc35,3,200,311135,193.979,3352.332,92812
1787857333246,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/8/f6dcca6e05d37b32,1,200,3890947,66.449,7484.712,519853
1787857339183,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/0/c211497bb49609bc,1,200,417324,52.249,1654.856,252181
1787857336138,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/?crawl=11,0,200,287884,218.337,4795.095,60037
1787857339138,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/?crawl=12,0,200,339532,80.638,1802.618,188355
1787857339766,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff2200224476582,2,200,169730,84.058,1182.421,143544
1787857339766,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff21f02244763cf,2,200,138190,92.785,1232.815,112093
1787857339926,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/ea2073db9c172149,3,200,164228,121.294,1299.649,126363
1787857335798,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/d96f5f762cc205b0,2,200,477324,192.758,5548.049,86035
1787857339926,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/ea2071db9c171de3,3,200,209090,89.982,1467.483,142482
1787857335798,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/d96f62762cc20ac9,2,200,503365,160.539,5614.264,89658
1787857339926,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/ea2070db9c171c30,3,200,234585,90.229,1550.646,151282
1787857340318,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/5/12d4919f3e10b440,2,200,172330,116.073,1163.742,148083
1787857340318,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/0/12d4939f3e10b7a6,2,200,175111,126.743,1247.326,140389
1787857340731,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/d6bba26e23c6df2a,2,200,159213,26.960,836.924,190236
1787857340138,642626d0-983f-8a2d-45a6-c0fa444f3d26,/?crawl=15,0,200,508075,51.741,1640.748,309661
1787857336138,a94699f5-2908-c51a-e3cb-3f8bef0d9f4f,/?crawl=10,0,200,4976137,19.848,5759.172,864037
1787857341779,642626d0-983f-8a2d-45a6-c0fa444f3d26,/p/0/4d934d4a38f44c16,1,200,70372,46.334,333.713,210876
1787857337235,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/81b360490815b8cf,3,200,443648,162.328,4899.857,90543
1787857340467,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/12/922f755aaaab2bca,1,200,127318,127.572,1950.245,65283
1787857342138,2d0fa1df-41e4-0c83-3919-6a1727c45664,/?crawl=18,0,200,81083,58.900,335.280,241837
1787857340731,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/7/d6bba36e23c6e0dd,2,200,399778,80.773,1802.257,221821
1787857342473,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/1/c9f9a10ac4d2c7a7,1,200,5257,51.708,79.283,66307
1787857340138,59668973-ab89-96a2-0ad0-d2d995c7597f,/?crawl=17,0,200,454495,81.703,2447.085,185729
1787857341897,a94699f5-2908-c51a-e3cb-3f8bef0d9f4f,/p/0/2ea6f81e1ffb1a75,1,200,257312,18.541,829.987,310019
1787857340731,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/d6bba16e23c6dd77,2,200,502388,39.796,1999.810,251218
1787857341897,a94699f5-2908-c51a-e3cb-3f8bef0d9f4f,/p/0/2ea6f51e1ffb155c,1,200,254291,18.507,838.209,303374
1787857340933,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/12/9b3ca0c08b6020fc,1,200,47908,707.635,2103.633,22774
1787857341482,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/4/fcadcfb4868f09cb,3,200,250822,115.715,1711.336,146565
1787857338396,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef5c7c71bf8af,2,200,453644,281.165,4883.750,92888
1787857342473,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a00ac4d2c5f4,1,200,63421,186.416,937.481,67650
