t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787858384951,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/?crawl=0,0,200,54669,53.500,199.660,273811
1787858385151,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dccb6e05d37ce5,1,200,36491,76.279,321.882,113367
1787858385151,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dcc86e05d377cc,1,200,143015,48.906,705.495,202716
1787858384951,c64abfb9-0f80-2244-326f-a6e75cc749f8,/?crawl=1,0,200,315215,56.784,1207.911,260959
1787858385951,7a7917fe-b550-bb84-f11d-8ec7baa0575b,/?crawl=2,0,200,129121,77.923,723.955,178355
1787858386159,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/2/8a471fcb9a6e7145,1,200,80973,55.454,715.109,113232
1787858386159,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471dcb9a6e6ddf,1,200,75136,110.899,769.580,97632
1787858386951,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/?crawl=5,0,200,24029,47.934,89.951,267133
1787858386951,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/?crawl=3,0,200,26942,44.877,105.959,254269
1787858387041,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/3/3c9dca55480298f9,1,200,40230,46.819,205.253,196002
1787858386951,61f953fd-ddee-8f82-9969-a3c25d780ca0,/?crawl=6,0,200,46788,88.655,306.345,152730
1787858386159,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471ecb9a6e6f92,1,200,107974,165.807,1152.633,93676
1787858387257,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825eca3c8a31b6c0,1,200,5569,92.954,133.746,41639
1787858386951,953461a2-4239-ade1-c67c-7dbb345a08ef,/?crawl=7,0,200,474619,41.976,1390.906,341230
1787858386874,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/17299163308978ef,2,200,124468,272.867,1782.451,69830
1787858387951,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/?crawl=11,0,200,287884,45.144,833.229,345504
1787858387246,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/2/d96f60762cc20763,2,200,105083,253.738,1770.261,59360
1787858388784,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/12/9b3ca0c08b6020fc,1,200,47908,42.080,374.662,127870
1787858388342,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/15c91e9a1eccab20,1,200,126381,81.649,994.229,127115
1787858389159,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde3b90a2e7c5a,2,200,6897,229.260,312.524,22069
1787858388342,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/4/15c91f9a1eccacd3,1,200,111669,102.222,1140.641,97900
1787858387951,c059e2ba-67b5-441d-83f3-96a164e9d07d,/?crawl=8,0,200,433703,56.317,1666.805,260200
1787858388784,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca1c08b6022af,1,200,124934,63.111,874.234,142907
1787858387057,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/637274107138836c,1,200,348724,203.860,3076.886,113337
1787858389483,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef6c7c71bfa62,2,200,85953,242.281,1080.926,79518
1787858387041,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc85548029593,1,200,269800,135.674,3854.868,69989
1787858386874,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/1729926330897aa2,2,200,485355,299.035,4291.926,113086
1787858387951,99533c34-613f-fca8-39c6-179510e7eca7,/?crawl=9,0,200,4760258,81.164,3217.244,1479607
1787858391169,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/2599c9b83f46202a,1,200,379683,1.589,249.164,1523825
1787858389159,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde2b90a2e7aa7,2,200,279219,250.887,2271.228,122937
1787858391169,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/2599c8b83f461e77,1,200,411914,3.000,261.771,1573565
1787858385151,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/8/f6dcca6e05d37b32,1,200,3890947,48.892,6296.944,617910
1787858391169,99533c34-613f-fca8-39c6-179510e7eca7,/p/3/2599cab83f4621dd,1,200,397750,2.863,290.584,1368793
1787858390951,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/?crawl=13,0,200,20250,256.207,531.243,38118
1787858390951,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/?crawl=14,0,200,150305,52.877,536.124,280355
1787858389618,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/922f735aaaab2864,1,200,238822,52.619,2012.803,118651
1787858389618,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/12/922f755aaaab2bca,1,200,127318,264.093,2092.795,60836
1787858391459,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/670400a553300389,2,200,457988,2.037,377.327,1213769
1787858387257,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecc3c8a31ba26,1,200,397787,133.768,4735.758,83996
1787858387041,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc95548029746,1,200,297878,158.278,4996.983,59612
1787858391487,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/e0fd9fa7cd8f3d10,1,200,19935,249.966,621.383,32082
1787858391448,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/d6bba26e23c6df2a,2,200,159213,67.951,781.350,203767
1787858391951,2067f70d-b46b-cb92-8f1f-5003b6fa7ea0,/?crawl=16,0,200,147106,36.980,365.365,402628
1787858390951,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/?crawl=12,0,200,339532,69.772,1596.056,212732
1787858388784,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca2c08b602462,1,200,484498,229.579,3873.715,125073
1787858391487,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/2/e0fda0a7cd8f3ec3,1,200,202576,51.179,1284.771,157675
1787858387257,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecb3c8a31b873,1,200,509084,92.854,5529.060,92074
1787858391448,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/7/d6bba36e23c6e0dd,2,200,399778,79.067,1490.427,268231
1787858391448,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/d6bba16e23c6dd77,2,200,502388,23.062,1542.141,325773
1787858391951,642626d0-983f-8a2d-45a6-c0fa444f3d26,/?crawl=15,0,200,508075,31.962,1049.626,484053
1787858391459,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/6703fda5532ffe70,2,200,2474780,1.920,1542.802,1604081
1787858391459,99533c34-613f-fca8-39c6-179510e7eca7,/p/2/6703fea553300023,2,200,2808056,24.095,1693.229,1658403
1787858389017,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/81b361490815ba82,3,200,223256,296.163,4159.291,53676
1787858392772,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/1/4ff21e022447621c,2,200,14818,301.171,529.650,27977
1787858393001,642626d0-983f-8a2d-45a6-c0fa444f3d26,/p/0/4d934d4a38f44c16,1,200,70372,29.055,377.391,186470
1787858393152,99533c34-613f-fca8-39c6-179510e7eca7,/p/1/3890f46c0deaacf0,3,200,287795,2.326,268.328,1072550
1787858389483,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef5c7c71bf8af,2,200,453644,223.631,3967.559,114338
1787858393153,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/3890f56c0deaaea3,3,200,335759,17.280,320.560,1047414
1787858392938,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/6/f9d6418f085416cc,3,200,156335,60.836,724.165,215883
1787858393421,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/b341f891d4c0746f,4,200,223403,24.108,303.405,736319
1787858393421,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/b341f991d4c07622,4,200,456623,24.068,504.012,905976
1787858391711,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/fd88f08d4c5c33a8,2,200,130380,265.337,2375.425,54887
1787858393951,2d0fa1df-41e4-0c83-3919-6a1727c45664,/?crawl=18,0,200,81083,36.295,211.447,383467
1787858394163,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/1/c9f9a10ac4d2c7a7,1,200,5257,36.839,36.902,142457
1787858389017,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/1/81b362490815bc35,3,200,311135,249.620,5239.805,59379
1787858394163,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a00ac4d2c5f4,1,200,63421,55.748,489.116,129664
1787858393152,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/3890f66c0deab056,3,200,2507735,12.249,1518.489,1651467
1787858391711,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/11/fd88f28d4c5c370e,2,200,207621,265.391,3061.946,67807
1787858393001,642626d0-983f-8a2d-45a6-c0fa444f3d26,/p/0/4d934c4a38f44a63,1,200,415518,44.109,1801.721,230623
1787858391951,59668973-ab89-96a2-0ad0-d2d995c7597f,/?crawl=17,0,200,454495,80.879,2928.060,155221
1787858393662,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/5/4f27ebcc8f81c80f,4,200,141158,123.221,1264.954,111591
1787858393421,99533c34-613f-fca8-39c6-179510e7eca7,/p/0/b341fa91d4c077d5,4,200,3845995,24.076,1576.883,2438986
1787858392938,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f9d6428f0854187f,3,200,460411,60.834,2512.613,183240
1787858394200,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/6bb3a47ba360204b,2,200,161227,195.149,1537.261,104879
1787858392772,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff21f02244763cf,2,200,138190,301.142,3174.055,43537
1787858394879,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/1/7467f605622a34d6,1,200,52862,79.626,1079.504,48969
1787858392772,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff2200224476582,2,200,169730,252.565,3224.278,52641
1787858394927,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/b0bb93afc5861129,5,200,123969,103.546,1174.040,105592
1787858395951,25939a61-c9c5-3c66-5f02-c57839660af7,/?crawl=21,0,200,321487,10.300,204.747,1570167
1787858396156,25939a61-c9c5-3c66-5f02-c57839660af7,/p/0/52b741d651632e6d,1,200,12903,10.078,15.812,816034
1787858394163,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a30ac4d2cb0d,1,200,257625,55.807,2027.738,127050
1787858393662,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/4f27eacc8f81c65c,4,200,307359,157.407,2543.496,120841
1787858392547,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/12/557ba0d949310335,1,200,225022,340.596,3715.133,60569
1787858396156,25939a61-c9c5-3c66-5f02-c57839660af7,/p/0/52b73ed651632954,1,200,145502,15.711,158.786,916343
1787858395951,9cdb4fbf-cd90-9a85-4f7b-90b2f4c395ba,/?crawl=20,0,200,151345,41.131,442.211,342246
1787858387246,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/d96f5f762cc205b0,2,200,477324,275.337,9159.056,52115
1787858386951,d4e2a278-8eea-553a-b702-d193f80905dc,/?crawl=4,0,200,5167830,29.978,9532.970,542101
