t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787861578536,3b9118f6-a6b8-0466-4971-9726e002fdc6,/?crawl=0,0,200,423400,47.599,1326.616,319158
1787861580536,075bb5b2-f73c-b1b6-16a6-a8aac3d8e10d,/?crawl=1,0,200,372957,37.063,875.625,425932
1787861582536,db41988a-cfeb-c354-2576-11b327b489e6,/?crawl=3,0,200,45824,40.056,187.141,244864
1787861582536,511821f3-2da6-a5dc-feba-e7a13652bfec,/?crawl=2,0,200,72494,80.263,419.103,172974
1787861582955,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8ca2ca3c873a1,1,200,105244,77.036,1636.776,64300
1787861583536,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/?crawl=4,0,200,409410,72.907,2044.222,200277
1787861582723,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431c8a3863649b,1,200,362382,107.799,3156.928,114789
1787861585537,14a0d658-c8ad-8e29-eddd-450d22f88b50,/?crawl=6,0,200,173377,45.199,552.080,314043
1787861582955,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/18/79d8c92ca3c871ee,1,200,258912,77.001,3219.590,80418
1787861582955,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8c72ca3c86e88,1,200,259454,115.922,3295.834,78722
1787861582723,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431d8a3863664e,1,200,458005,107.720,3649.793,125488
1787861586175,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/17/9c63cfdd511fbcec,2,200,15517,113.618,228.959,67772
1787861582723,db41988a-cfeb-c354-2576-11b327b489e6,/p/6/d431e8a38636801,1,200,470895,35.308,3741.846,125846
1787861586465,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6619b3ac154dfb7f,2,200,40832,37.479,202.475,201665
1787861586465,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6619b4ac154dfd32,2,200,123001,74.474,759.794,161887
1787861586465,db41988a-cfeb-c354-2576-11b327b489e6,/p/5/6619b2ac154df9cc,2,200,288577,130.139,1184.316,243665
1787861586089,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/c7821fa2f6344bed,1,200,253848,44.913,2360.105,107558
1787861587537,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/?crawl=8,0,200,326021,44.858,974.164,334668
1787861586175,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d0dd511fbe9f,2,200,114096,151.264,2388.314,47773
1787861588536,f606f715-a47f-a7f1-01cc-09f3eb37d616,/?crawl=9,0,200,200077,19.765,244.776,817389
1787861588511,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/3/b7b17384d5bad530,1,200,32421,105.600,338.954,95650
1787861588511,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/b7b17484d5bad6e3,1,200,74189,41.815,443.598,167244
1787861586089,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/4/c7821ea2f6344a3a,1,200,325926,89.383,2886.826,112901
1787861587650,db41988a-cfeb-c354-2576-11b327b489e6,/p/4/9154bde0f61eaf5f,3,200,195015,110.415,1483.250,131478
1787861588976,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/3/232a011e90e1d038,2,200,21507,266.066,535.123,40191
1787861589536,0eb4acb4-1267-caa8-88db-a24c26d8698b,/?crawl=11,0,200,439548,9.296,230.811,1904367
1787861589536,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/?crawl=10,0,200,104890,78.778,582.735,179996
1787861585580,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/4/a0ad73e7ccfe5e14,1,200,279284,287.844,4660.334,59928
1787861585580,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/a0ad74e7ccfe5fc7,1,200,369236,144.376,5270.980,70051
1787861588850,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/5613aba19056e93,2,200,226993,252.309,2850.103,79644
1787861587650,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/9154bfe0f61eb2c5,3,200,496823,36.976,4225.034,117590
1787861591537,db78ba94-0262-a6f8-29ec-d9f4736c8efe,/?crawl=15,0,200,244198,33.358,516.697,472614
1787861590241,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/3/683787a5043cdfef,2,200,56671,718.367,1938.354,29237
1787861589133,db41988a-cfeb-c354-2576-11b327b489e6,/p/3/83945a626dab833b,4,200,283963,202.704,3084.848,92051
1787861591537,2cd9a0fd-a26b-f302-139e-84fe1695521e,/?crawl=13,0,200,436184,32.152,856.152,509470
1787861589133,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/839459626dab8188,4,200,247284,202.794,3390.727,72929
1787861588850,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/5613bba19057046,2,200,344709,252.333,3692.742,93348
1787861591537,78410207-983b-34de-da3c-435ec3ff63a1,/?crawl=14,0,200,216341,64.418,1009.372,214332
1787861588511,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/b7b17584d5bad896,1,200,374286,41.844,4053.285,92341
1787861590119,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/p/0/173aa14aed3b4fde,1,200,187592,116.733,2524.822,74299
1787861592536,e0462316-a48d-3073-9be8-2d611839dd56,/?crawl=16,0,200,17874,62.986,122.618,145770
1787861592218,db41988a-cfeb-c354-2576-11b327b489e6,/p/2/24ad53d5a7900989,5,200,28174,198.809,492.085,57254
1787861586404,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/1783917fe6bc5c6a,3,200,237938,415.862,6739.458,35305
1787861592393,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/5cfba3322f6a710b,1,200,153371,24.868,776.886,197418
1787861590241,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683786a5043cde3c,2,200,127492,396.159,2977.883,42813
1787861592546,78410207-983b-34de-da3c-435ec3ff63a1,/p/6/64e3f7c13fa729dd,1,200,74710,62.199,815.022,91666
1787861586537,ac409a5b-4f53-60df-d6e3-d35993f4ac56,/?crawl=7,0,200,2358180,42.164,6854.919,344013
1787861592393,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/5cfba4322f6a72be,1,200,207600,142.068,1141.840,181812
1787861592218,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/24ad51d5a7900623,5,200,94077,198.834,1587.164,59274
1787861586175,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d1dd511fc052,2,200,336106,113.557,7653.209,43917
1787861592393,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/19/5cfba2322f6a6f58,1,200,416729,39.467,1445.299,288334
1787861586404,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/16/1783927fe6bc5e1d,3,200,405540,377.396,7576.082,53529
1787861586404,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/1783907fe6bc5ab7,3,200,400914,377.410,7767.215,51616
1787861589133,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/83945c626dab86a1,4,200,412231,220.272,5225.184,78893
1787861593838,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/3aca24018d05a02f,2,200,144750,118.917,837.339,172869
1787861592054,db78ba94-0262-a6f8-29ec-d9f4736c8efe,/p/0/d179a363ab0c357d,1,200,486361,29.031,2747.381,177027
1787861593838,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/18/3aca26018d05a395,2,200,159206,130.943,975.071,163276
1787861592218,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/24ad52d5a79007d6,5,200,168024,180.241,2981.464,56356
1787861592659,e0462316-a48d-3073-9be8-2d611839dd56,/p/0/3e0f4f061671411d,1,200,211835,60.636,2707.044,78253
1787861590241,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683789a5043ce355,2,200,224827,360.541,5125.425,43865
1787861592659,e0462316-a48d-3073-9be8-2d611839dd56,/p/10/3e0f4d0616713db7,1,200,203763,60.580,2829.415,72016
1787861593805,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/65bce053658632b4,6,200,124033,224.496,1834.382,67616
1787861595536,641a18cf-732c-df86-431f-313eb2170fd3,/?crawl=19,0,200,62421,37.124,156.380,399163
1787861592710,db41988a-cfeb-c354-2576-11b327b489e6,/p/1/65bce2536586361a,6,200,325597,198.247,3459.002,94130
1787861594813,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/17/6489cea74aee8ac,3,200,213389,136.935,1662.941,128320
1787861594813,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/6489dea74aeea5f,3,200,204009,150.456,1704.316,119701
1787861595536,bd9871e6-b1c1-bcbc-86af-5893fe3b4cb6,/?crawl=20,0,200,294739,55.170,1044.380,282214
1787861595536,64e8cd20-1bf4-cebe-8cc7-fe3eb5083c1d,/?crawl=18,0,200,438719,43.346,1210.806,362336
1787861596476,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/45090b4a2902f900,4,200,40713,182.326,456.784,89130
1787861592179,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/2/dd74907ed2f0788e,3,200,208947,434.087,4770.084,43804
1787861590119,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/p/0/173aa04aed3b4e2b,1,200,497985,77.506,6901.435,72157
1787861596169,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6f45e5ed57e9134b,7,200,60439,238.392,919.295,65745
