t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787862101631,3b9118f6-a6b8-0466-4971-9726e002fdc6,/?crawl=0,0,200,423400,20.323,461.493,917456
1787862103630,075bb5b2-f73c-b1b6-16a6-a8aac3d8e10d,/?crawl=1,0,200,372957,45.867,1144.678,325818
1787862105630,511821f3-2da6-a5dc-feba-e7a13652bfec,/?crawl=2,0,200,72494,35.759,138.154,524735
1787862105630,db41988a-cfeb-c354-2576-11b327b489e6,/?crawl=3,0,200,45824,63.109,216.396,211759
1787862105768,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8ca2ca3c873a1,1,200,105244,127.058,816.789,128851
1787862105768,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8c72ca3c86e88,1,200,259454,26.274,1410.990,183881
1787862105768,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/18/79d8c92ca3c871ee,1,200,258912,114.096,1548.242,167230
1787862107317,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/17/9c63cfdd511fbcec,2,200,15517,24.547,49.762,311824
1787862106630,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/?crawl=4,0,200,409410,36.551,1021.391,400836
1787862107317,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d0dd511fbe9f,2,200,114096,49.711,639.003,178553
1787862108630,14a0d658-c8ad-8e29-eddd-450d22f88b50,/?crawl=6,0,200,173377,32.641,406.188,426840
1787862107366,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/1783917fe6bc5c6a,3,200,237938,135.806,1853.092,128401
1787862107652,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/4/a0ad73e7ccfe5e14,1,200,279284,37.990,1801.180,155056
1787862107317,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d1dd511fc052,2,200,336106,86.488,2298.020,146259
1787862107366,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/1783907fe6bc5ab7,3,200,400914,173.246,2525.243,158763
1787862107366,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/16/1783927fe6bc5e1d,3,200,405540,135.717,2562.142,158282
1787862107652,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/a0ad74e7ccfe5fc7,1,200,369236,198.996,3007.269,122781
1787862109453,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/3/683787a5043cdfef,2,200,56671,198.404,1225.348,46249
1787862109630,ac409a5b-4f53-60df-d6e3-d35993f4ac56,/?crawl=7,0,200,2358180,11.238,1137.959,2072289
