t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787860530029,3b9118f6-a6b8-0466-4971-9726e002fdc6,/?crawl=0,0,200,423400,46.514,1251.987,338182
1787860534027,db41988a-cfeb-c354-2576-11b327b489e6,/?crawl=3,0,200,45824,54.764,186.268,246011
1787860534027,511821f3-2da6-a5dc-feba-e7a13652bfec,/?crawl=2,0,200,72494,479.736,1727.195,41972
1787860535027,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/?crawl=4,0,200,409410,52.100,1524.456,268561
1787860536027,e8623d64-28fe-07e6-f237-3df27f9381e3,/?crawl=5,0,200,174453,45.470,557.362,312997
1787860537028,14a0d658-c8ad-8e29-eddd-450d22f88b50,/?crawl=6,0,200,173377,37.567,457.759,378752
1787860536585,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/4/3417c94561995427,1,200,138396,281.509,1915.251,72260
1787860532028,075bb5b2-f73c-b1b6-16a6-a8aac3d8e10d,/?crawl=1,0,200,372957,234.298,6665.092,55957
1787860534214,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431c8a3863649b,1,200,362382,106.779,4821.562,75159
1787860536552,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/a0ad74e7ccfe5fc7,1,200,369236,191.189,2864.126,128918
1787860537486,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/c7821fa2f6344bed,1,200,253848,179.516,2067.058,122806
1787860534214,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431d8a3863664e,1,200,458005,80.579,5381.929,85101
1787860534214,db41988a-cfeb-c354-2576-11b327b489e6,/p/6/d431e8a38636801,1,200,470895,53.131,5435.062,86640
1787860536585,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/3417c84561995274,1,200,302424,43.564,3093.666,97756
1787860536552,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/4/a0ad73e7ccfe5e14,1,200,279284,70.352,3248.815,85965
1787860537485,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/4/c7821ea2f6344a3a,1,200,325926,179.604,2625.675,124130
1787860539649,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6619b3ac154dfb7f,2,200,40832,78.711,506.722,80581
1787860540111,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/3/232a011e90e1d038,2,200,21507,189.333,444.878,48344
1787860539801,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/3/683787a5043cdfef,2,200,56671,250.502,1037.217,54638
1787860539649,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6619b4ac154dfd32,2,200,123001,51.895,1225.479,100370
1787860540027,f606f715-a47f-a7f1-01cc-09f3eb37d616,/?crawl=9,0,200,200077,285.172,952.606,210031
1787860539649,db41988a-cfeb-c354-2576-11b327b489e6,/p/5/6619b2ac154df9cc,2,200,288577,131.921,1703.506,169402
1787860535755,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8ca2ca3c873a1,1,200,105244,711.348,5690.726,18494
1787860541027,0eb4acb4-1267-caa8-88db-a24c26d8698b,/?crawl=11,0,200,439548,22.002,584.232,752352
1787860541027,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/?crawl=10,0,200,104890,84.810,614.802,170608
1787860538500,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/e5bfb0f30a928c22,2,200,228346,303.324,3154.998,72376
1787860539801,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683786a5043cde3c,2,200,127492,319.292,1896.420,67228
1787860536585,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/3417cb456199578d,1,200,393686,238.579,5324.336,73941
1787860539028,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/?crawl=8,0,200,326021,84.774,2896.436,112559
1787860541924,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/3/b7b17384d5bad530,1,200,32421,201.405,802.939,40378
1787860541924,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/b7b17484d5bad6e3,1,200,74189,80.650,1082.214,68553
1787860538500,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/3/e5bfaef30a9288bc,2,200,491505,214.230,4868.834,100949
1787860541352,db41988a-cfeb-c354-2576-11b327b489e6,/p/4/9154bde0f61eaf5f,3,200,195015,51.846,2247.553,86768
1787860539801,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683789a5043ce355,2,200,224827,305.705,4214.267,53349
1787860544027,e0462316-a48d-3073-9be8-2d611839dd56,/?crawl=16,0,200,17874,18.452,35.307,506252
1787860543027,78410207-983b-34de-da3c-435ec3ff63a1,/?crawl=14,0,200,216341,71.816,1106.678,195487
1787860540838,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/2/dd74907ed2f0788e,3,200,208947,242.262,3323.970,62861
1787860543027,db78ba94-0262-a6f8-29ec-d9f4736c8efe,/?crawl=15,0,200,244198,75.276,1320.233,184966
1787860543027,2cd9a0fd-a26b-f302-139e-84fe1695521e,/?crawl=13,0,200,436184,48.386,1491.021,292541
1787860544063,e0462316-a48d-3073-9be8-2d611839dd56,/p/0/3e0f4f061671411d,1,200,211835,13.670,626.991,337860
1787860544063,e0462316-a48d-3073-9be8-2d611839dd56,/p/10/3e0f4d0616713db7,1,200,203763,41.341,649.276,313831
1787860535755,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8c72ca3c86e88,1,200,259454,230.290,9000.674,28826
1787860544134,78410207-983b-34de-da3c-435ec3ff63a1,/p/6/64e3f7c13fa729dd,1,200,74710,71.435,1071.023,69756
1787860544712,e0462316-a48d-3073-9be8-2d611839dd56,/p/0/1660b04f5256897b,2,200,140115,75.308,545.000,257092
1787860544712,e0462316-a48d-3073-9be8-2d611839dd56,/p/9/1660b24f52568ce1,2,200,144561,91.677,658.763,219443
1787860541642,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/p/0/173aa14aed3b4fde,1,200,187592,124.929,4110.769,45634
1787860544712,e0462316-a48d-3073-9be8-2d611839dd56,/p/0/1660b14f52568b2e,2,200,254543,75.349,1041.103,244494
1787860535755,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/18/79d8c92ca3c871ee,1,200,258912,230.278,10021.748,25835
1787860540556,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/4ff8af37c404ac5b,3,200,353225,185.102,5300.426,66641
1787860545371,e0462316-a48d-3073-9be8-2d611839dd56,/p/8/7b53a69f7d6aa2b0,3,200,190906,74.245,884.256,215895
1787860540111,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/232a021e90e1d1eb,2,200,431510,207.845,6157.767,70076
1787860544519,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/5cfba3322f6a710b,1,200,153371,146.577,1760.215,87132
1787860545776,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/17/9c63cfdd511fbcec,2,200,15517,222.719,536.244,28936
1787860545371,e0462316-a48d-3073-9be8-2d611839dd56,/p/0/7b53a79f7d6aa463,3,200,212164,80.036,1035.894,204812
1787860543369,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/d0d12cd4306222a5,3,200,246249,260.463,3080.767,79931
1787860540556,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/2/4ff8b137c404afc1,3,200,417408,204.926,5946.568,70193
1787860543369,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/2/d0d12bd4306220f2,3,200,241360,217.718,3167.029,76210
1787860545371,e0462316-a48d-3073-9be8-2d611839dd56,/p/0/7b53a89f7d6aa616,3,200,259332,80.029,1212.622,213861
1787860544134,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/64e3f5c13fa72677,1,200,336459,71.433,2456.312,136977
