t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787864747493,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/?crawl=0,0,200,142999,27.394,247.420,577961
1787864747741,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e7e8413ef7e4,1,200,60428,25.270,240.088,251691
1787864748493,7bbf17f6-aee4-afee-f19f-92f395167876,/?crawl=2,0,200,170415,36.169,386.212,441248
1787864747741,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e8e8413ef997,1,200,327262,48.933,1244.606,262944
1787864750493,3bb48387-b4c3-198c-40c8-ff50491dd847,/?crawl=3,0,200,150264,30.229,291.851,514865
1787864748879,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d90a36a74e0a4,1,200,268522,32.587,1978.667,135709
1787864750785,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e600ff0fd6b7,1,200,82164,31.500,335.950,244572
1787864748879,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d93a36a74e5bd,1,200,352475,48.028,2291.830,153796
1787864750785,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e700ff0fd86a,1,200,115994,72.974,621.388,186669
1787864751493,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/?crawl=4,0,200,59720,20.290,77.646,769133
1787864750785,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/3/16a7e800ff0fda1d,1,200,373625,115.014,1130.373,330532
1787864751570,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9371eed3214b,1,200,140741,26.146,458.758,306787
1787864751570,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9471eed322fe,1,200,259161,34.445,699.097,370708
1787864751570,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/6/ebf9271eed31f98,1,200,400887,17.879,848.273,472592
1787864752419,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/5/b1e4daf1e0942670,2,200,139854,76.755,571.264,244815
1787864747741,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e9e8413efb4a,1,200,2763808,73.092,5358.501,515780
1787864752419,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dbf1e0942823,2,200,245638,46.723,760.280,323089
1787864752419,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dcf1e09429d6,2,200,470031,16.126,1517.821,309675
1787864751915,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/c5b28e3e2da2e782,2,200,349321,110.051,2158.820,161811
1787864752990,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/c524923ad20189a2,3,200,318265,90.215,1260.558,252479
1787864747493,907ef421-22fa-5091-3bfc-f7299376b357,/?crawl=1,0,200,441633,250.981,8790.876,50238
1787864755493,8a50b563-1648-4a04-21d9-ab442e918806,/?crawl=6,0,200,203497,57.939,818.499,248622
1787864756493,2fc881b1-4965-0c90-c64c-31e359409e84,/?crawl=9,0,200,207835,22.807,274.480,757195
1787864756493,ae6694b7-fc85-ee7a-7564-72a9cce93f2f,/?crawl=7,0,200,489480,22.874,722.884,677121
1787864756493,2a21400b-c481-8e9a-a6bb-9c49d4e1f2a3,/?crawl=8,0,200,488268,31.821,970.720,502996
1787864755493,903b88a3-81b1-b559-2c64-b9b84099c443,/?crawl=5,0,200,375573,81.707,2108.710,178106
1787864756767,2fc881b1-4965-0c90-c64c-31e359409e84,/p/0/54809459310240c5,1,200,341465,20.022,904.298,377602
1787864756767,2fc881b1-4965-0c90-c64c-31e359409e84,/p/3/5480925931023d5f,1,200,321006,90.795,1156.811,277492
1787864758493,119cccf6-b622-2b36-4137-bad4717c613d,/?crawl=11,0,200,245185,19.676,269.312,910412
1787864757602,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/a229e9cf836e1911,1,200,141680,83.141,1380.863,102602
1787864756311,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943b2d18090858,1,200,202787,56.331,2875.275,70528
1787864757924,2fc881b1-4965-0c90-c64c-31e359409e84,/p/2/72340ab0ecda1edc,2,200,233043,117.568,1302.644,178900
1787864759227,2fc881b1-4965-0c90-c64c-31e359409e84,/p/1/f56d691b09da62c,3,200,38231,95.418,280.085,136498
1787864759227,2fc881b1-4965-0c90-c64c-31e359409e84,/p/0/f56d891b09da992,3,200,30125,105.213,318.776,94502
1787864758493,76683c64-5474-e38f-933a-17abba50e1e0,/?crawl=12,0,200,462897,47.232,1428.778,323981
1787864756311,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943e2d18090d71,1,200,291192,115.398,3638.416,80033
1787864759227,2fc881b1-4965-0c90-c64c-31e359409e84,/p/0/f56d791b09da7df,3,200,174197,95.367,1136.113,153327
1787864757924,2fc881b1-4965-0c90-c64c-31e359409e84,/p/0/72340bb0ecda208f,2,200,395747,117.836,2595.336,152484
1787864757924,2fc881b1-4965-0c90-c64c-31e359409e84,/p/0/72340cb0ecda2242,2,200,472617,127.127,2830.851,166952
1787864760493,39e8e142-4815-2f75-c747-10f37e32d9f2,/?crawl=14,0,200,375615,30.431,683.661,549417
1787864751915,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/2/c5b28c3e2da2e41c,2,200,2275594,53.767,9615.952,236648
