t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787865251838,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/?crawl=0,0,200,142999,62.128,595.604,240091
1787865252433,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e7e8413ef7e4,1,200,60428,62.379,514.463,117458
1787865252839,7bbf17f6-aee4-afee-f19f-92f395167876,/?crawl=2,0,200,170415,49.560,565.612,301293
1787865251838,907ef421-22fa-5091-3bfc-f7299376b357,/?crawl=1,0,200,441633,67.432,1964.536,224803
1787865252433,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e8e8413ef997,1,200,327262,121.800,2900.104,112845
1787865254837,3bb48387-b4c3-198c-40c8-ff50491dd847,/?crawl=3,0,200,150264,54.706,602.923,249226
1787865255838,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/?crawl=4,0,200,59720,46.701,199.479,299380
1787865255440,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e600ff0fd6b7,1,200,82164,56.803,826.545,99407
1787865253404,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d90a36a74e0a4,1,200,268522,46.957,2980.193,90102
1787865253404,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d93a36a74e5bd,1,200,352475,117.389,3259.712,108131
1787865255440,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e700ff0fd86a,1,200,115994,56.699,1296.454,89470
1787865256037,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9371eed3214b,1,200,140741,43.090,1339.649,105058
1787865255440,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/3/16a7e800ff0fda1d,1,200,373625,162.581,2201.103,169744
1787865252433,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e9e8413efb4a,1,200,2763808,303.653,5257.936,525645
1787865256037,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9471eed322fe,1,200,259161,43.132,2050.365,126397
1787865256037,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/6/ebf9271eed31f98,1,200,400887,150.351,2396.346,167291
1787865253802,907ef421-22fa-5091-3bfc-f7299376b357,/p/0/efd33c45d5d9ec44,1,200,393236,287.172,5299.614,74201
1787865258434,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/5/b1e4daf1e0942670,2,200,139854,108.581,1715.520,81523
1787865253802,907ef421-22fa-5091-3bfc-f7299376b357,/p/0/efd33f45d5d9f15d,1,200,432866,319.000,6375.295,67897
1787865259838,8a50b563-1648-4a04-21d9-ab442e918806,/?crawl=6,0,200,203497,85.168,1186.834,171462
1787865257642,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/c5b28e3e2da2e782,2,200,349321,53.692,3924.826,89003
1787865258434,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dbf1e0942823,2,200,245638,129.950,3191.760,76960
1787865260837,2a21400b-c481-8e9a-a6bb-9c49d4e1f2a3,/?crawl=8,0,200,488268,21.102,896.784,544465
1787865259838,903b88a3-81b1-b559-2c64-b9b84099c443,/?crawl=5,0,200,375573,81.047,1944.700,193126
1787865260837,ae6694b7-fc85-ee7a-7564-72a9cce93f2f,/?crawl=7,0,200,489480,36.480,1195.212,409534
1787865260837,2fc881b1-4965-0c90-c64c-31e359409e84,/?crawl=9,0,200,207835,47.821,1344.234,154612
1787865257642,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/2/c5b28c3e2da2e41c,2,200,2275594,165.358,5072.613,448604
1787865262714,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/1/6ca729cb65226f3a,3,200,62351,33.150,132.444,470774
1787865262847,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/b82576af5c2cc9f4,4,200,138075,29.535,342.274,403405
1787865262837,76683c64-5474-e38f-933a-17abba50e1e0,/?crawl=12,0,200,462897,24.862,409.239,1131116
1787865262714,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/6ca727cb65226bd4,3,200,318144,30.010,626.536,507782
1787865262847,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/b82579af5c2ccf0d,4,200,374752,29.469,709.360,528296
1787865263247,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/6dafc1c881c8d325,1,200,208634,4.138,319.310,653390
1787865263247,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/6dafbec881c8ce0c,1,200,415677,3.768,365.954,1135874
1787865261782,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/a229e9cf836e1911,1,200,141680,75.089,2098.393,67518
1787865258434,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dcf1e09429d6,2,200,470031,42.959,5565.412,84456
1787865260149,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/c524923ad20189a2,3,200,318265,484.962,3957.914,80412
1787865261024,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943b2d18090858,1,200,202787,367.024,3249.103,62413
1787865262837,119cccf6-b622-2b36-4137-bad4717c613d,/?crawl=11,0,200,245185,84.069,1444.249,169766
1787865261024,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943e2d18090d71,1,200,291192,82.950,4141.413,70312
1787865257642,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/c5b28d3e2da2e5cf,2,200,4812400,221.674,7581.255,634776
1787865262714,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/6ca72acb652270ed,3,200,3332357,33.187,3535.432,942560
1787865261782,903b88a3-81b1-b559-2c64-b9b84099c443,/p/16/a229e7cf836e15ab,1,200,382506,222.327,4636.796,82494
1787865262182,2fc881b1-4965-0c90-c64c-31e359409e84,/p/3/5480925931023d5f,1,200,321006,67.891,4696.698,68347
1787865266838,03a6195b-c455-eb8f-4b2d-0000cbc5c95b,/?crawl=16,0,200,75587,55.112,290.054,260596
1787865262847,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/b82578af5c2ccd5a,4,200,5748304,35.738,4367.323,1316208
1787865262182,2fc881b1-4965-0c90-c64c-31e359409e84,/p/0/54809459310240c5,1,200,341465,244.672,5237.761,65193
1787865266419,903b88a3-81b1-b559-2c64-b9b84099c443,/p/15/3e64cab86488733e,2,200,131577,411.202,1025.875,128258
1787865266419,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/3e64cbb8648874f1,2,200,126338,411.130,1026.822,123038
1787865266419,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/3e64c8b864886fd8,2,200,406229,372.999,1066.272,380981
1787865267445,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/7dfed8d78a4992d1,3,200,224892,77.880,303.523,740938
1787865267445,903b88a3-81b1-b559-2c64-b9b84099c443,/p/14/7dfed6d78a498f6b,3,200,381571,79.071,336.152,1135116
1787865267838,fbee6fc7-57ff-5c44-3de3-33f880144742,/?crawl=18,0,200,8747,54.476,80.260,108983
1787865267781,903b88a3-81b1-b559-2c64-b9b84099c443,/p/13/8bba1ccc83159701,4,200,191808,25.209,350.190,547726
1787865267838,c314adea-952e-9fee-305f-d2b6166f4064,/?crawl=19,0,200,67579,68.149,332.905,202998
1787865267918,fbee6fc7-57ff-5c44-3de3-33f880144742,/p/2/2fd715704fd66c7d,1,200,7250,180.805,258.267,28072
1787865265838,ea97f938-ed03-89b8-e26c-c8680fea4b9e,/?crawl=15,0,200,425299,80.135,2353.079,180741
1787865266838,e89633fe-4b4d-e12c-29a1-c7db403ee7ff,/?crawl=17,0,200,403706,55.728,1395.634,289263
1787865267128,03a6195b-c455-eb8f-4b2d-0000cbc5c95b,/p/0/20066c522f5cfad9,1,200,180346,51.500,1264.251,142650
1787865268131,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/9234260be9324963,5,200,108076,30.229,327.846,329654
1787865268132,903b88a3-81b1-b559-2c64-b9b84099c443,/p/12/9234250be93247b0,5,200,126836,33.042,351.864,360469
1787865267781,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/8bba1bcc8315954e,4,200,422768,28.727,995.610,424632
1787865267128,03a6195b-c455-eb8f-4b2d-0000cbc5c95b,/p/0/200669522f5cf5c0,1,200,156006,258.472,1652.513,94405
1787865268176,fbee6fc7-57ff-5c44-3de3-33f880144742,/p/0/93c0b2feb9a7cb5,2,200,10920,335.170,642.437,16998
1787865268459,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/9234270be9324b16,5,200,248416,30.110,636.070,390548
1787865268483,903b88a3-81b1-b559-2c64-b9b84099c443,/p/11/ebb58bd2e847c777,6,200,357853,36.986,691.723,517335
1787865253802,907ef421-22fa-5091-3bfc-f7299376b357,/p/2/efd33d45d5d9edf7,1,200,4631464,63.743,15435.300,300057
1787865268777,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/ebb58ad2e847c5c4,6,200,285988,30.085,652.356,438393
1787865269095,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/ebb58dd2e847cadd,6,200,190166,30.367,440.621,431587
1787865263247,76683c64-5474-e38f-933a-17abba50e1e0,/p/1/6dafbfc881c8cfbf,1,200,5378895,315.714,6503.906,827025
1787865269751,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/59dfeb14ab7a5951,2,200,12218,25.372,61.049,200133
1787865269175,903b88a3-81b1-b559-2c64-b9b84099c443,/p/10/dfd1d56c8d014a49,7,200,279999,30.892,714.032,392138
1787865267918,fbee6fc7-57ff-5c44-3de3-33f880144742,/p/0/2fd714704fd66aca,1,200,132846,77.344,2174.396,61096
1787865269837,74819d1f-bd95-c744-f6c4-c903baa45790,/?crawl=21,0,200,211483,18.033,262.266,806370
1787865270100,74819d1f-bd95-c744-f6c4-c903baa45790,/p/0/adde8a975648933b,1,200,134103,40.232,268.440,499564
1787865270100,74819d1f-bd95-c744-f6c4-c903baa45790,/p/1/adde8c97564896a1,1,200,113856,127.646,340.374,334503
1787865269751,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/59dfe814ab7a5438,2,200,206449,25.367,758.521,272173
1787865269536,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/dfd1d36c8d0146e3,7,200,469772,34.098,1088.283,431663
1787865269429,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/dfd1d46c8d014896,7,200,499588,30.742,1210.271,412790
1787865269838,f4a8b9a5-4ee0-fe4d-f1f1-43e95dd4d2a2,/?crawl=20,0,200,433526,59.178,834.029,519797
1787865270100,74819d1f-bd95-c744-f6c4-c903baa45790,/p/0/adde8b97564894ee,1,200,173126,143.365,664.642,260480
1787865270672,f4a8b9a5-4ee0-fe4d-f1f1-43e95dd4d2a2,/p/0/1a743539c1ad9d28,1,200,67371,26.021,140.540,479373
1787865270624,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/468db9a9f19f5457,8,200,102673,32.803,311.341,329776
1787865269889,903b88a3-81b1-b559-2c64-b9b84099c443,/p/9/468db8a9f19f52a4,8,200,460720,30.396,1055.919,436322
1787865264838,39e8e142-4815-2f75-c747-10f37e32d9f2,/?crawl=14,0,200,375615,243.177,6162.323,60953
1787865262837,6f28be06-2241-ab6a-249e-d2c0850bf6ef,/?crawl=13,0,200,4491957,28.997,8662.834,518532
1787865271500,6f28be06-2241-ab6a-249e-d2c0850bf6ef,/p/0/da456c6aed2ddd12,1,200,48152,28.527,111.362,432390
1787865270672,f4a8b9a5-4ee0-fe4d-f1f1-43e95dd4d2a2,/p/8/1a743739c1ada08e,1,200,196747,180.510,960.413,204857
1787865266878,2fc881b1-4965-0c90-c64c-31e359409e84,/p/2/72340ab0ecda1edc,2,200,233043,373.697,4808.644,48463
1787865270945,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/a23107e40ad2a749,9,200,370618,30.390,825.141,449157
1787865270440,74819d1f-bd95-c744-f6c4-c903baa45790,/p/0/c259170cbd3e7786,2,200,433212,91.847,1568.617,276174
1787865271632,f4a8b9a5-4ee0-fe4d-f1f1-43e95dd4d2a2,/p/0/1ade051c42ef1cee,2,200,11834,308.933,413.116,28646
1787865270945,903b88a3-81b1-b559-2c64-b9b84099c443,/p/8/a23106e40ad2a596,9,200,497864,30.405,1116.179,446043
1787865270837,6edf44a7-4015-3c89-f351-0b9d9baa5f57,/?crawl=23,0,200,510286,33.802,1243.574,410338
1787865271500,6f28be06-2241-ab6a-249e-d2c0850bf6ef,/p/6/da456a6aed2dd9ac,1,200,120531,111.280,636.930,189237
1787865271000,39e8e142-4815-2f75-c747-10f37e32d9f2,/p/1/46db150d5892e399,1,200,233131,416.762,1179.137,197713
1787865271770,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/a23104e40ad2a230,9,200,254180,33.816,521.471,487429
1787865272061,903b88a3-81b1-b559-2c64-b9b84099c443,/p/7/9da1e0523b7a13e5,10,200,126897,30.690,240.202,528293
