t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787866292140,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/?crawl=0,0,200,142999,43.606,408.616,349960
1787866292548,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e7e8413ef7e4,1,200,60428,59.608,509.710,118554
1787866292140,907ef421-22fa-5091-3bfc-f7299376b357,/?crawl=1,0,200,441633,36.358,1079.451,409127
1787866293139,7bbf17f6-aee4-afee-f19f-92f395167876,/?crawl=2,0,200,170415,45.563,532.921,319775
1787866292548,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e8e8413ef997,1,200,327262,39.866,2100.290,155818
1787866295140,3bb48387-b4c3-198c-40c8-ff50491dd847,/?crawl=3,0,200,150264,39.631,400.511,375180
1787866295540,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e600ff0fd6b7,1,200,82164,38.581,398.282,206296
1787866293219,907ef421-22fa-5091-3bfc-f7299376b357,/p/0/efd33f45d5d9f15d,1,200,432866,34.036,2830.162,152947
1787866296140,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/?crawl=4,0,200,59720,11.632,44.670,1336918
1787866293219,907ef421-22fa-5091-3bfc-f7299376b357,/p/0/efd33c45d5d9ec44,1,200,393236,174.749,3003.583,130922
1787866293672,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d90a36a74e0a4,1,200,268522,44.564,2587.013,103796
1787866295540,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e700ff0fd86a,1,200,115994,172.746,763.200,151984
1787866296184,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9371eed3214b,1,200,140741,37.339,293.711,479181
1787866293672,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d93a36a74e5bd,1,200,352475,88.397,2829.896,124554
1787866296184,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9471eed322fe,1,200,259161,10.948,407.728,635622
1787866296184,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/6/ebf9271eed31f98,1,200,400887,11.011,489.257,819380
1787866296674,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/5/b1e4daf1e0942670,2,200,139854,25.718,279.868,499715
1787866295540,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/3/16a7e800ff0fda1d,1,200,373625,192.256,1528.522,244435
1787866296674,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dbf1e0942823,2,200,245638,9.321,535.310,458871
1787866296674,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dcf1e09429d6,2,200,470031,9.371,911.702,515553
1787866296954,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/c524923ad20189a2,3,200,318265,62.867,792.008,401846
1787866297069,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/c5b28e3e2da2e782,2,200,349321,36.521,1748.378,199797
1787866297069,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/2/c5b28c3e2da2e41c,2,200,2275594,191.574,2656.756,856531
1787866299726,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/1/6ca729cb65226f3a,3,200,62351,431.712,1122.049,55569
1787866300139,8a50b563-1648-4a04-21d9-ab442e918806,/?crawl=6,0,200,203497,71.351,1006.828,202117
1787866300139,903b88a3-81b1-b559-2c64-b9b84099c443,/?crawl=5,0,200,375573,53.537,1359.273,276304
1787866292548,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e9e8413efb4a,1,200,2763808,39.819,9465.562,291986
1787866301139,2fc881b1-4965-0c90-c64c-31e359409e84,/?crawl=9,0,200,207835,83.311,1170.285,177594
1787866301139,ae6694b7-fc85-ee7a-7564-72a9cce93f2f,/?crawl=7,0,200,489480,27.693,1265.523,386781
1787866301499,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/a229e9cf836e1911,1,200,141680,76.114,1488.705,95170
1787866303140,119cccf6-b622-2b36-4137-bad4717c613d,/?crawl=11,0,200,245185,57.862,890.088,275462
1787866300848,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/b82576af5c2cc9f4,4,200,138075,208.479,3205.373,43076
1787866299726,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/6ca727cb65226bd4,3,200,318144,334.540,4499.022,70714
1787866301146,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943b2d18090858,1,200,202787,69.177,3185.962,63650
1787866303140,76683c64-5474-e38f-933a-17abba50e1e0,/?crawl=12,0,200,462897,30.174,1369.828,337923
1787866296954,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/4/c524933ad2018b55,3,200,5247872,54.357,7813.651,671629
1787866304767,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/58fe3ee887313b24,4,200,47665,94.937,285.435,166991
1787866301499,903b88a3-81b1-b559-2c64-b9b84099c443,/p/16/a229e7cf836e15ab,1,200,382506,50.756,3806.755,100481
1787866301139,2a21400b-c481-8e9a-a6bb-9c49d4e1f2a3,/?crawl=8,0,200,488268,102.238,4348.088,112295
1787866301146,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943e2d18090d71,1,200,291192,208.871,4401.201,66162
1787866304510,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/6dafc1c881c8d325,1,200,208634,33.907,1217.251,171398
1787866305139,39e8e142-4815-2f75-c747-10f37e32d9f2,/?crawl=14,0,200,375615,34.959,849.064,442387
1787866300848,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/b82579af5c2ccf0d,4,200,374752,208.455,5276.464,71023
1787866304767,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/58fe41e88731403d,4,200,383003,94.982,1358.500,281931
1787866304767,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/3/58fe40e887313e8a,4,200,375519,103.577,1411.474,266047
1787866293219,907ef421-22fa-5091-3bfc-f7299376b357,/p/2/efd33d45d5d9edf7,1,200,4631464,174.712,13235.353,349931
1787866306179,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/2e96dcb8bd5f180e,5,200,190307,79.814,698.627,272401
1787866304510,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/6dafbec881c8ce0c,1,200,415677,127.830,2500.614,166230
1787866296954,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/c524913ad20187ef,3,200,6260140,48.970,10115.899,618842
1787866306179,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/2/2e96ddb8bd5f19c1,5,200,372240,86.957,967.616,384698
1787866302310,2fc881b1-4965-0c90-c64c-31e359409e84,/p/3/5480925931023d5f,1,200,321006,485.210,4953.478,64804
1787866305988,39e8e142-4815-2f75-c747-10f37e32d9f2,/p/1/46db150d5892e399,1,200,233131,31.479,1320.551,176541
1787866307147,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/7c754208d6d5bcca,6,200,62088,59.685,225.149,275764
1787866307147,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/1/7c754008d6d5b964,6,200,90087,45.649,251.034,358864
1787866305306,903b88a3-81b1-b559-2c64-b9b84099c443,/p/15/3e64cab86488733e,2,200,131577,337.058,2325.983,56568
1787866305306,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/3e64cbb8648874f1,2,200,126338,659.371,2427.927,52035
1787866301139,ecc54919-5201-cf28-7866-a7194db63bc6,/?crawl=10,0,200,6267228,17.186,6678.564,938410
