t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787868412267,c6789286-eee5-c372-cc5a-47b7ba66165b,/?crawl=1,0,200,197921,45.250,630.325,313999
1787868412898,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/3/8e7ed6d2595db9b3,1,200,43550,42.366,152.862,284897
1787868412898,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/8e7ed8d2595dbd19,1,200,89288,152.867,964.037,92619
1787868413051,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/e2d88f224f62989e,2,200,61999,264.302,1059.447,58520
1787868413051,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/e2d88e224f6296eb,2,200,131644,241.398,2110.772,62368
1787868412898,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/8e7ed5d2595db800,1,200,364740,219.404,3286.405,110984
1787868415268,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/?crawl=5,0,200,236610,77.478,1269.547,186374
1787868416537,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282b48abc9904c,1,200,8283,379.387,565.060,14659
1787868416268,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/?crawl=6,0,200,374445,51.003,1331.331,281256
1787868412267,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/?crawl=0,0,200,3054868,27.779,5361.823,569744
1787868417267,0540dbf6-2aa6-0604-750c-832619c2630a,/?crawl=8,0,200,250982,33.691,541.319,463649
1787868416537,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282c48abc991ff,1,200,95329,379.420,1631.192,58441
1787868416537,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282e48abc99565,1,200,187437,75.556,1707.211,109791
1787868417600,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/6/6f9281a640648812,1,200,130322,76.647,1015.445,128340
1787868417629,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/1/fb148174c4c2c3a0,1,200,257771,78.777,1367.006,188566
1787868418267,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/?crawl=12,0,200,517511,50.099,876.639,590335
1787868419144,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11648bfabbfe80,1,200,35248,1.634,3.392,10392376
1787868418996,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/0/7a4bc8078238087a,2,200,5107,217.015,294.324,17352
1787868415268,2f8068c0-55c8-dfbd-1445-563ded741404,/?crawl=3,0,200,5913444,10.742,4147.455,1425801
1787868419144,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11658bfabc0033,1,200,269086,1.666,317.640,847140
1787868419144,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11678bfabc0399,1,200,508410,1.135,319.009,1593718
