t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787854154670,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/?crawl=0,0,200,410495,24.631,665.921,616432
1787854155336,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/3/932f311f71834bb2,1,200,31144,23.879,84.212,369827
1787854155670,261b4e26-604a-0c50-7d4b-0fbe13507a44,/?crawl=2,0,200,23560,15.596,29.015,811994
1787854155699,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/3/6c5a8664484d5f8c,1,200,173874,19.974,471.828,368511
1787854156171,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/2/5afec87ce6dd90c7,2,200,75207,75.405,411.837,182613
1787854155420,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/8bf89f64cc295622,2,200,123043,225.491,1229.321,100090
1787854156583,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/70b02702db886c28,3,200,61862,68.059,447.812,138143
1787854155336,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/932f2f1f7183484c,1,200,225309,36.825,1790.847,125811
1787854155699,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/6c5a8764484d613f,1,200,453502,13.488,1582.480,286577
1787854156171,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/5afec77ce6dd8f14,2,200,238482,75.364,1209.015,197253
1787854156171,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/5afeca7ce6dd942d,2,200,253581,68.734,1286.532,197104
1787854155336,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/932f321f71834d65,1,200,337550,72.586,2125.596,158803
1787854157670,5343ae77-e93b-799c-bbd1-e45edeb5629d,/?crawl=3,0,200,277432,37.575,710.406,390526
1787854157670,4247d30b-6b75-9d97-c3f4-3e6bd740d5ea,/?crawl=4,0,200,354143,56.319,1365.572,259337
1787854158670,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/?crawl=6,0,200,196584,73.394,1022.833,192196
1787854158670,3be2a04b-f23d-8f2f-1b70-7cacfdaf1969,/?crawl=7,0,200,2840506,24.363,2124.917,1336761
1787854160670,93d11c49-21c2-e6de-4295-3d660e90c9ea,/?crawl=9,0,200,202679,34.066,462.470,438254
1787854159670,3a11b4ef-75da-07b6-7148-14ef49647405,/?crawl=8,0,200,303895,77.919,1627.238,186755
1787854158380,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/0/ffc4ddc1dce85905,1,200,426716,36.849,2945.407,144875
1787854158380,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/0/ffc4dac1dce853ec,1,200,412280,110.079,3109.181,132601
1787854159693,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/1eb131edf5e188f3,1,200,122181,71.304,2001.793,61036
1787854161298,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81dd0c165afdfd,1,200,43806,150.874,745.719,58743
1787854161670,950a1d58-391d-63fd-95b3-c256582e79c7,/?crawl=10,0,200,383665,43.737,1169.211,328140
1787854161298,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81da0c165af8e4,1,200,128407,224.882,1610.565,79728
1787854161298,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81dc0c165afc4a,1,200,175790,75.467,1987.538,88446
1787854159693,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/1eb132edf5e18aa6,1,200,303972,338.600,3929.739,77352
1787854159693,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/5/1eb130edf5e18740,1,200,429453,71.392,4452.987,96442
1787854157030,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/70b02a02db887141,3,200,2743122,86.991,7356.477,372885
1787854163670,12910de9-3e7a-c526-f9a6-7376d178358a,/?crawl=11,0,200,477330,38.478,1190.754,400864
1787854155420,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/2/8bf89d64cc2952bc,2,200,2916566,131.237,10261.431,284226
1787854165670,52d8c071-eefb-9ce5-6e83-0a62ce771785,/?crawl=13,0,200,41343,25.652,83.664,494155
1787854165753,52d8c071-eefb-9ce5-6e83-0a62ce771785,/p/0/11e64bf5b0555855,1,200,8003,126.924,163.229,49029
1787854164146,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/712de841ec1336ca,2,200,115843,289.010,2114.027,54797
1787854165681,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/60ca8b3ed6349933,3,200,89125,140.199,631.371,141161
1787854165681,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/60ca8c3ed6349ae6,3,200,161841,128.216,967.135,167341
1787854164861,12910de9-3e7a-c526-f9a6-7376d178358a,/p/0/eb11a13a871f6c2f,1,200,236578,39.490,2007.735,117833
1787854165753,52d8c071-eefb-9ce5-6e83-0a62ce771785,/p/11/11e64af5b05556a2,1,200,409396,116.045,1438.706,284559
1787854156583,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/1/70b02802db886ddb,3,200,4367769,67.993,10643.607,410365
1787854164861,12910de9-3e7a-c526-f9a6-7376d178358a,/p/0/eb11a23a871f6de2,1,200,353068,207.562,2772.196,127360
1787854164670,43e5491c-ce99-6b65-40af-09dea6070fd9,/?crawl=12,0,200,441391,79.133,3061.578,144171
