t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787856372185,261b4e26-604a-0c50-7d4b-0fbe13507a44,/?crawl=2,0,200,23560,37.861,221.975,106138
1787856371185,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/?crawl=0,0,200,410495,69.596,1929.831,212710
1787856373115,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/3/932f311f71834bb2,1,200,31144,66.166,731.534,42574
1787856374185,5343ae77-e93b-799c-bbd1-e45edeb5629d,/?crawl=3,0,200,277432,28.692,531.913,521574
1787856372407,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/3/6c5a8664484d5f8c,1,200,173874,280.460,2571.615,67613
1787856374185,4247d30b-6b75-9d97-c3f4-3e6bd740d5ea,/?crawl=4,0,200,354143,41.809,958.286,369559
1787856375185,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/?crawl=6,0,200,196584,21.067,277.440,708563
1787856375463,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/1eb131edf5e188f3,1,200,122181,72.635,439.042,278290
1787856373847,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/8bf89f64cc295622,2,200,123043,372.022,2625.035,46873
1787856374978,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/2/5afec87ce6dd90c7,2,200,75207,299.316,1518.198,49537
1787856375463,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/1eb132edf5e18aa6,1,200,303972,21.499,1038.404,292730
1787856375463,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/5/1eb130edf5e18740,1,200,429453,21.416,1184.373,362599
1787856374717,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/0/ffc4ddc1dce85905,1,200,426716,29.279,2170.502,196598
1787856374717,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/0/ffc4dac1dce853ec,1,200,412280,78.580,2183.296,188834
1787856373115,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/932f2f1f7183484c,1,200,225309,101.207,4022.849,56007
1787856376647,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/712de841ec1336ca,2,200,115843,20.199,492.362,235280
1787856376185,3a11b4ef-75da-07b6-7148-14ef49647405,/?crawl=8,0,200,303895,54.947,1137.711,267111
1787856377185,93d11c49-21c2-e6de-4295-3d660e90c9ea,/?crawl=9,0,200,202679,22.095,268.759,754128
1787856371185,b7f5decf-860e-9512-d124-7c8be3f96e06,/?crawl=1,0,200,2714290,36.870,6316.853,429690
1787856373115,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/932f321f71834d65,1,200,337550,204.915,4540.600,74340
1787856377323,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81dd0c165afdfd,1,200,43806,130.916,574.956,76190
1787856377502,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/7/2699867d061e41c5,1,200,62989,118.689,453.380,138932
1787856376647,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/4/712de941ec13387d,2,200,396206,51.683,1314.980,301302
1787856376647,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/712de741ec133517,2,200,514494,51.698,1387.378,370839
1787856377323,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81da0c165af8e4,1,200,128407,54.134,941.919,136325
1787856375185,3be2a04b-f23d-8f2f-1b70-7cacfdaf1969,/?crawl=7,0,200,2840506,20.281,3109.366,913532
1787856377323,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81dc0c165afc4a,1,200,175790,183.346,1278.996,137444
1787856377962,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/23a1f04ba30d9063,3,200,152676,83.060,674.768,226265
1787856377962,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/23a1f14ba30d9216,3,200,136629,83.102,696.154,196262
