t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787903407366,99c5119e-69b6-df31-d497-e801a8e4faec,/?crawl=2,0,200,27973,72.779,176.759,158255
1787903406366,8391ccf6-cadc-0903-6c3b-9a115727777f,/?crawl=1,0,200,302172,80.227,1625.204,185929
1787903408366,90ed1c25-9021-447c-eb85-53f34f9e58b2,/?crawl=5,0,200,103138,28.041,186.606,552706
1787903408366,a171fcac-f691-8af3-f13b-08c3ca9d8a09,/?crawl=3,0,200,244126,33.715,535.131,456198
1787903408366,56d3aeef-5534-d227-8053-bb282bac9ad2,/?crawl=4,0,200,309328,77.296,1546.772,199983
1787903409366,2f620a10-e898-7df5-5c5d-d659db1f523c,/?crawl=6,0,200,444863,30.436,871.337,510552
1787903410238,2f620a10-e898-7df5-5c5d-d659db1f523c,/p/0/ba524953db08d2a3,1,200,44439,30.054,189.118,234980
1787903408553,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/0/134c3b1d37f583,1,200,393026,122.151,2231.617,176117
1787903407991,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca1b16fa3cdcf,1,200,285819,78.312,4139.901,69040
1787903406366,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/?crawl=0,0,200,4787629,22.344,6299.168,760041
1787903409913,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/11/937da098b1d2e9e3,1,200,169289,72.851,2884.993,58679
1787903407991,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca0b16fa3cc1c,1,200,388527,192.824,5831.659,66624
1787903407991,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca2b16fa3cf82,1,200,437248,270.373,5947.517,73518
1787903412665,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/0/e126f50f043ec07c,1,200,359994,58.563,1346.320,267391
1787903413366,9a14ab57-6136-a861-9270-530d55827fd8,/?crawl=8,0,200,186585,58.018,723.976,257723
1787903412665,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/0/e126f80f043ec595,1,200,400424,19.960,1433.299,279372
1787903414366,d32b69ad-48c7-59f9-dfdd-8241e725234c,/?crawl=12,0,200,122538,43.627,364.229,336431
1787903413366,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/?crawl=9,0,200,283619,73.819,1400.077,202574
1787903409913,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/937d9f98b1d2e830,1,200,317725,216.440,5314.844,59781
1787903412798,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/8f2c86a0eb793683,2,200,119741,427.941,2430.567,49265
1787903409913,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/937da298b1d2ed49,1,200,465012,118.914,5360.010,86756
