t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787904445287,99c5119e-69b6-df31-d497-e801a8e4faec,/?crawl=2,0,200,27973,44.808,148.092,188890
1787904444287,8391ccf6-cadc-0903-6c3b-9a115727777f,/?crawl=1,0,200,302172,64.882,1353.731,223214
1787904446287,90ed1c25-9021-447c-eb85-53f34f9e58b2,/?crawl=5,0,200,103138,28.033,187.609,549750
1787904446287,a171fcac-f691-8af3-f13b-08c3ca9d8a09,/?crawl=3,0,200,244126,71.255,1180.405,206816
1787904446287,56d3aeef-5534-d227-8053-bb282bac9ad2,/?crawl=4,0,200,309328,49.274,1495.408,206852
1787904447287,2f620a10-e898-7df5-5c5d-d659db1f523c,/?crawl=6,0,200,444863,32.265,952.437,467079
1787904446475,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/0/134c3b1d37f583,1,200,393026,24.037,1857.063,211639
1787904448239,2f620a10-e898-7df5-5c5d-d659db1f523c,/p/0/ba524953db08d2a3,1,200,44439,30.146,290.439,153006
1787904445640,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca1b16fa3cdcf,1,200,285819,64.591,3748.749,76244
1787904447783,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/11/937da098b1d2e9e3,1,200,169289,48.233,1713.055,98823
1787904445640,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca0b16fa3cc1c,1,200,388527,64.566,5586.698,69545
1787904449496,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/8f2c86a0eb793683,2,200,119741,232.621,1739.789,68825
1787904445640,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca2b16fa3cf82,1,200,437248,96.595,5618.865,77818
1787904451288,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/?crawl=10,0,200,408170,34.534,899.648,453699
1787904452187,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/f1f68159fd03382a,1,200,8369,31.052,46.666,179340
1787904451288,9a14ab57-6136-a861-9270-530d55827fd8,/?crawl=8,0,200,186585,81.592,1019.180,183074
1787904451288,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/?crawl=9,0,200,283619,53.225,1026.876,276196
1787904452287,d32b69ad-48c7-59f9-dfdd-8241e725234c,/?crawl=12,0,200,122538,35.799,317.970,385376
1787904452187,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/6/f1f67f59fd0334c4,1,200,270997,80.997,1355.329,199949
1787904449496,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/10/8f2c85a0eb7934d0,2,200,339726,278.308,4475.665,75905
1787904447783,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/937d9f98b1d2e830,1,200,317725,140.759,6211.325,51153
1787904452605,d32b69ad-48c7-59f9-dfdd-8241e725234c,/p/5/18cb2a15263920ea,1,200,188393,178.587,1500.602,125545
1787904453543,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/5/ceb726ece20d198d,2,200,53665,157.671,630.783,85077
1787904452287,df481320-7ae2-be0a-5a04-81fa7d9caa24,/?crawl=13,0,200,5795831,60.513,2126.045,2726109
1787904452315,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/p/0/e90f4b9e147b7cb4,1,200,180631,79.896,2105.511,85790
1787904454413,df481320-7ae2-be0a-5a04-81fa7d9caa24,/p/0/ac357f72bad416fd,1,200,24310,30.337,47.527,511495
1787904454413,df481320-7ae2-be0a-5a04-81fa7d9caa24,/p/0/ac357d72bad41397,1,200,136281,3.965,106.201,1283235
1787904453543,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/ceb725ece20d17da,2,200,89335,188.020,1075.140,83091
1787904447783,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/937da298b1d2ed49,1,200,465012,71.293,7012.624,66311
1787904444287,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/?crawl=0,0,200,4787629,36.150,10601.655,451593
1787904449496,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/8f2c87a0eb793836,2,200,347225,278.276,5705.655,60856
1787904452605,d32b69ad-48c7-59f9-dfdd-8241e725234c,/p/0/18cb2b152639229d,1,200,315971,178.586,2688.520,117526
1787904446475,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/0/134d3b1d37f736,1,200,2368671,24.066,8968.023,264124
1787904452315,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/p/0/e90f4d9e147b801a,1,200,376527,52.559,3290.069,114443
1787904454413,df481320-7ae2-be0a-5a04-81fa7d9caa24,/p/0/ac357e72bad4154a,1,200,3902811,33.920,1308.747,2982096
1787904455287,c3233af3-6798-cd10-58ca-164c2e53f97b,/?crawl=19,0,200,199720,36.393,488.312,409001
