t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787804788546,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,30.983,654.520,519130
1787804789545,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,39.484,472.413,370398
1787804789545,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,54.896,787.765,274643
1787804789200,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,58.704,1545.327,166603
1787804789200,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,43.220,1980.810,192684
1787804790333,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,51.658,938.471,129102
1787804791181,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,155.323,222.639,35272
1787804790018,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,247.524,1766.424,112052
1787804791181,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,155.373,655.588,119253
1787804791181,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,140.314,1269.447,210372
1787804790018,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,265.479,2479.168,147347
1787804790018,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,28.235,2718.670,187285
1787804790333,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,235.364,3266.937,112230
1787804790333,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,235.306,3319.529,127653
1787804793546,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,69.433,300.173,189078
1787804793846,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,67.239,134.086,77838
1787804793546,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,56.050,655.778,267134
1787804793546,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,219.458,727.380,63161
1787804793546,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,37.248,984.494,436993
1787804793653,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863b11efa7e04c,2,200,200603,210.824,2687.475,74644
1787804793653,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863d11efa7e3b2,2,200,209838,52.651,2896.933,72435
1787804794545,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,78.753,2022.756,185306
1787804796545,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,23.033,73.463,603827
1787804792736,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,107.059,3963.215,122395
1787804796619,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,20.829,89.423,508785
1787804793846,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,101.007,2887.639,107977
1787804794202,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,210.141,2712.023,88297
1787804796700,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,423.527,428.260,73287
1787804796700,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,423.540,430.564,202427
1787804793846,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,67.206,3616.081,126389
1787804793653,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863c11efa7e1ff,2,200,511793,287.977,4039.019,126712
1787804796619,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8d056d07ffba,1,200,373483,89.358,1080.565,345637
1787804794202,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,235.980,3544.252,96507
1787804792736,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/f31fec2181446a95,2,200,2997076,163.543,5139.693,583124
1787804792737,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/f31fe9218144657c,2,200,3435019,35.099,5318.546,645857
1787804797545,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,52.089,644.411,293735
1787804796700,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/1/bc0c6f547536d2a2,3,200,5627805,423.629,1791.069,3142148
1787804798491,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/b74763373d29667b,4,200,151809,5.135,60.976,2489665
1787804798491,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/b74764373d29682e,4,200,395693,2.838,106.702,3708380
1787804798491,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/b74765373d2969e1,4,200,335449,12.159,122.152,2746158
1787804798545,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,43.986,298.188,344434
1787804789200,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdef8a53613ac74,1,200,4623134,28.836,10057.518,459669
1787804798844,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,39.801,764.544,94764
