t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787815757928,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,35.631,436.259,401094
1787815757928,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,29.995,436.237,495956
1787815756927,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,68.102,1545.479,219855
1787815756927,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,55.978,1606.641,266618
1787815758364,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,111.971,1058.411,114472
1787815758364,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,32.083,1396.767,141707
1787815758534,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,52.493,1497.905,92414
1787815758364,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,83.204,1758.616,208487
1787815758364,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,27.487,1816.204,233316
1787815758534,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,268.013,1818.714,79678
1787815758364,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,101.389,2127.997,171662
1787815758364,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,171.746,2576.406,197626
1787815758534,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,104.499,2560.779,114694
1787815760180,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863d11efa7e3b2,2,200,209838,27.391,1294.791,162063
1787815760180,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863b11efa7e04c,2,200,200603,42.036,1352.144,148359
1787815760180,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863c11efa7e1ff,2,200,511793,27.426,1805.890,283402
1787815761928,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,60.017,210.018,218753
1787815760927,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,91.033,1227.992,164090
1787815761928,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,85.221,372.983,152168
1787815761928,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,32.825,398.559,439536
1787815762301,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,83.955,125.298,83298
1787815758473,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,240.861,4146.935,62083
1787815758472,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,64.576,4408.164,86583
1787815761928,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,39.044,1086.533,395954
1787815762881,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,363.451,431.860,18184
1787815762138,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,175.426,1387.091,64050
1787815762155,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,172.386,1459.887,83057
1787815762927,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,28.323,692.013,541649
1787815762326,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,97.463,1587.841,150811
1787815762138,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,59.463,1953.453,104029
1787815762881,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,332.561,1415.927,55215
1787815760940,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,67.929,3379.259,143545
1787815762326,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,161.114,2089.043,163733
1787815762155,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a52ee3a7d78e,1,200,358342,83.842,2586.721,138531
1787815764320,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,207.876,553.248,56730
1787815762155,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a32ee3a7d428,1,200,404616,83.879,2802.874,144358
1787815764927,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,39.791,130.258,340546
1787815764415,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e712e84d5666890,2,200,75744,162.863,758.118,99911
1787815762301,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,125.216,2945.401,105860
1787815762301,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,166.943,2946.173,155127
1787815764320,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,173.431,948.600,91881
1787815762138,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,264.459,3151.534,151639
1787815765057,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,79.215,294.627,154423
1787815765289,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,61.043,210.636,140199
1787815765289,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,210.592,351.690,49757
1787815762881,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,363.301,3414.942,78202
1787815764415,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e713184d5666da9,2,200,264543,194.978,2073.550,127580
1787815765927,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,49.617,655.169,288912
1787815765057,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8d056d07ffba,1,200,373483,39.134,2071.593,180288
1787815764415,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/7/1e713084d5666bf6,2,200,422624,195.051,2811.415,150324
1787815766927,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,111.600,406.651,252566
1787815767334,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,157.860,859.282,84316
1787815765641,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/1/c88446e088c7df71,3,200,161383,292.057,2589.334,62326
1787815763619,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/p/0/e3f6a41625d6f3a2,1,200,345850,28.199,4745.562,72879
1787815767927,1ff3bcd1-0da7-cd02-1374-522545639cba,/?crawl=15,0,200,253138,33.270,762.927,331798
1787815767927,63c575a9-d481-947a-51d7-c87f17963167,/?crawl=16,0,200,416840,34.775,911.616,457254
1787815765641,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88445e088c7ddbe,3,200,206233,350.261,3212.443,64198
1787815769927,3281b132-3631-e78d-6f4e-faac523fc3a0,/?crawl=18,0,200,93626,12.723,87.244,1073149
1787815770014,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/3/d6385d9efa64af,1,200,94642,29.583,128.802,734789
1787815768690,1ff3bcd1-0da7-cd02-1374-522545639cba,/p/0/bb153a765ccb4a4e,1,200,130243,497.413,1574.555,82717
1787815768930,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/?crawl=17,0,200,279501,143.838,1527.831,182940
1787815767227,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e4aa8682a89c,3,200,245122,162.185,3236.881,75728
