t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787817926269,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,25.839,568.494,597686
1787817926269,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,31.619,901.682,475067
1787817927269,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,18.737,198.163,883014
1787817926837,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,24.903,1128.309,228179
1787817927170,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,31.627,907.559,152527
1787817927170,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,46.429,907.556,159673
1787817927467,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,36.203,762.536,259571
1787817927467,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,18.858,997.317,366280
1787817926837,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,60.705,1653.843,230778
1787817928491,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,120.428,156.296,50244
1787817927467,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,53.094,1303.170,390713
1787817927170,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,31.527,1761.966,166693
1787817928491,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,131.490,552.114,141603
1787817928491,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,131.562,1290.608,206923
1787817928770,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,212.186,1939.735,250073
1787817930710,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,83.734,203.851,153966
1787817930710,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,83.748,490.833,177572
1787817930270,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,72.926,985.697,204425
1787817931269,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,44.408,182.073,311722
1787817931269,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,57.730,200.356,229302
1787817931451,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,40.066,59.986,173990
1787817931269,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,34.729,420.398,416702
1787817931469,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,56.636,1054.099,84283
1787817932268,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,17.947,460.368,814192
1787817931469,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,56.709,1739.642,116814
1787817931451,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,140.078,1857.969,167817
1787817931255,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,342.566,2095.724,57858
1787817931451,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,59.918,2172.695,210353
1787817931689,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,103.884,1955.343,122467
1787817931269,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,82.942,2445.184,175945
1787817931689,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,171.623,2392.919,142940
1787817932729,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/p/0/e3f6a41625d6f3a2,1,200,345850,27.763,1516.504,228057
1787817934268,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,18.499,59.618,744048
1787817934328,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,18.675,85.948,529353
1787817931469,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,285.302,3053.223,156521
1787817934522,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,85.551,199.574,147970
1787817934522,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,56.887,228.004,76749
1787817934082,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e712e84d5666890,2,200,75744,184.177,740.355,102308
1787817934328,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8d056d07ffba,1,200,373483,60.604,822.766,453936
1787817931255,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a52ee3a7d78e,1,200,358342,171.899,4056.978,88327
1787817931255,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a32ee3a7d428,1,200,404616,66.765,4305.895,93968
1787817935269,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,34.821,449.044,421531
1787817926837,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdef8a53613ac74,1,200,4623134,73.097,9188.652,503135
1787817934082,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e713184d5666da9,2,200,264543,218.596,2002.257,132122
1787817936269,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,74.438,562.876,182467
1787817933269,63feb0eb-2564-8058-5024-1e4cb93e9190,/?crawl=11,0,200,4393792,14.923,3610.718,1216875
1787817934082,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/7/1e713084d5666bf6,2,200,422624,218.594,2866.419,147440
1787817936879,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/6/8be8decaf371f34,1,200,131833,49.846,422.682,311897
1787817937269,1ff3bcd1-0da7-cd02-1374-522545639cba,/?crawl=15,0,200,253138,24.410,276.668,914952
1787817934750,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/1/c88446e088c7df71,3,200,161383,313.574,2842.053,56784
1787817936879,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/8be8fecaf37229a,1,200,329130,36.868,949.213,346740
1787817936832,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,146.805,1147.953,63113
1787817937302,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/43bc1812a805d245,2,200,205020,63.526,833.479,245981
1787817937302,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/5/43bc1612a805cedf,2,200,212024,69.278,929.853,228019
1787817934750,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88445e088c7ddbe,3,200,206233,313.559,3553.042,58044
1787817937545,1ff3bcd1-0da7-cd02-1374-522545639cba,/p/0/bb153a765ccb4a4e,1,200,130243,2.850,802.532,162290
1787817938232,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/4/f2e85ca86133d7a0,3,200,58297,62.517,306.209,190383
1787817928770,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/f31fec2181446a95,2,200,2997076,280.354,9828.991,304922
1787817937269,63c575a9-d481-947a-51d7-c87f17963167,/?crawl=16,0,200,416840,49.637,1390.694,299735
1787817935718,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/0/2f9336a7d86d07f4,1,200,510897,32.861,3369.255,151635
1787817938538,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/3/6ab17e0ffc671114,4,200,80702,82.850,590.491,136669
1787817936948,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e4aa8682a89c,3,200,245122,166.188,2258.523,108532
1787817938269,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/?crawl=17,0,200,279501,52.286,976.843,286127
1787817939129,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/6ab1800ffc67147a,4,200,25215,68.405,126.376,199523
1787817928770,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/f31fe9218144657c,2,200,3435019,280.485,10495.263,327292
1787817935718,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/15/2f9338a7d86d0b5a,1,200,501123,183.053,3650.323,137282
1787817939269,3281b132-3631-e78d-6f4e-faac523fc3a0,/?crawl=18,0,200,93626,20.902,128.029,731289
1787817938232,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/f2e85ea86133db06,3,200,259827,62.532,1262.689,205773
1787817939397,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/3/d6385d9efa64af,1,200,94642,18.903,329.146,287538
1787817939245,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e13186012fa8,1,200,63235,150.736,720.349,87784
1787817936948,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e7aa8682adb5,3,200,419759,166.148,3287.990,127664
1787817939368,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/14/a0c121534132ac98,2,200,75937,166.619,1029.483,73762
1787817938538,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/6ab17f0ffc6712c7,4,200,515928,65.663,1947.137,264967
1787817937592,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310c0b95819ac25,4,200,132319,341.656,2949.722,44858
1787817939495,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/9bc31b0448fc693e,5,200,178876,61.535,1140.627,156822
1787817938232,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/f2e85da86133d953,3,200,491221,74.502,2417.184,203220
1787817927269,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,669.158,13410.729,16133
1787817934522,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757c36acfce570,2,200,472450,227.973,6204.114,76151
1787817940269,ed827d04-f232-b34f-a621-d4ff29686646,/?crawl=21,0,200,163763,41.675,463.890,353021
1787817937592,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bdb95819a70c,4,200,418646,284.848,3572.737,117178
1787817940269,ba000cd4-e548-1dc6-ed04-22483848222c,/?crawl=22,0,200,381516,37.239,937.690,406868
1787817939397,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/0/d63a5d9efa6815,1,200,342741,96.470,2055.154,166771
1787817934750,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88444e088c7dc0b,3,200,2181335,285.228,6756.178,322865
1787817934328,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/1/c2fd8e056d08016d,1,200,6079367,60.628,7212.225,842925
1787817941206,ba000cd4-e548-1dc6-ed04-22483848222c,/p/0/312e25e328fb500c,1,200,48041,37.460,339.642,141446
1787817941540,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/1af64c81ce9ddb1d,2,200,14266,16.824,33.813,421904
1787817939726,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/2/a4f0d44f7ac2882e,2,200,373296,95.901,2013.553,185392
1787817941206,ba000cd4-e548-1dc6-ed04-22483848222c,/p/0/312e28e328fb5525,1,200,115159,56.492,658.569,174863
1787817940398,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/13/fff7c9fdfee5ac87,3,200,80718,201.313,1516.517,53226
1787817940732,ed827d04-f232-b34f-a621-d4ff29686646,/p/0/9dc3d485946060c5,1,200,133453,40.562,1191.234,112029
1787817939726,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/0/a4f0d24f7ac284c8,2,200,433631,95.943,2312.176,187542
1787817939245,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e431860134c1,1,200,403049,252.764,2858.359,141007
1787817941739,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/0/e280f72fd1470076,3,200,53102,104.258,364.791,145568
1787817939245,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/3/e1e9e3318601330e,1,200,403277,51.985,3002.937,134294
1787817941540,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/1af64981ce9dd604,2,200,373173,16.880,809.819,460810
