t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787798529920,69e3f629-204b-a521-d46c-17022bb9325b,/?crawl=0,0,200,77496,55.638,288.229,268870
1787798529920,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/?crawl=1,0,200,130631,41.890,393.821,331702
1787798530209,69e3f629-204b-a521-d46c-17022bb9325b,/p/0/54ed71713cfbe771,1,200,427058,49.853,596.198,716302
1787798530209,69e3f629-204b-a521-d46c-17022bb9325b,/p/3/54ed6f713cfbe40b,1,200,516880,149.074,598.358,863830
1787798530920,5684ed70-3a5c-de0c-dcb0-2554388d8f92,/?crawl=3,0,200,31579,203.728,800.555,39446
1787798530314,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831b13a860efab,1,200,161416,41.778,1573.037,102614
1787798530314,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831c13a860f15e,1,200,168081,208.076,1635.646,102761
1787798530920,160edf7b-27b2-08e1-9481-79abb2597327,/?crawl=4,0,200,454023,44.198,1280.494,354568
1787798532201,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/a296c3e78f67baa4,1,200,23959,42.828,104.781,228657
1787798530314,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/2/c1831a13a860edf8,1,200,433881,83.444,2187.937,198306
1787798530209,69e3f629-204b-a521-d46c-17022bb9325b,/p/0/54ed6e713cfbe258,1,200,2899325,250.243,2396.293,1209921
1787798532502,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/1/5fcac809968a6e57,2,200,67849,40.183,538.662,125958
1787798532201,160edf7b-27b2-08e1-9481-79abb2597327,/p/1/a296c4e78f67bc57,1,200,149775,104.784,841.141,178062
1787798532919,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/?crawl=5,0,200,269150,42.583,781.277,344500
1787798533701,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/p/0/f2c7189faccc9aa,1,200,243857,43.036,2157.029,113052
1787798533042,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/367a592b33a4552,2,200,311847,228.782,3773.239,82647
1787798533042,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/367a692b33a4705,2,200,395771,206.705,4469.177,88556
1787798538919,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/?crawl=12,0,200,9605,77.487,113.315,84764
1787798532919,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/?crawl=6,0,200,2255104,40.124,6548.037,344394
1787798532502,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/5fcaca09968a71bd,2,200,492654,123.981,6986.306,70517
1787798539919,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/?crawl=15,0,200,24480,66.172,147.952,165459
1787798540067,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/p/0/6fd6f0af26ad0737,1,200,40893,103.080,515.052,79396
1787798539467,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/p/0/c96b6da2b89da517,1,200,96205,231.914,1300.165,73994
1787798539467,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/p/0/c96b6ea2b89da6ca,1,200,458169,251.481,1474.753,310675
1787798537919,217e1954-c0c2-0697-baaf-354547aa5a45,/?crawl=10,0,200,121391,207.036,3829.738,31697
1787798539467,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/p/0/c96b6fa2b89da87d,1,200,3156772,38.122,2305.833,1369038
1787798540067,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/p/0/6fd6efaf26ad0584,1,200,208739,215.251,2211.653,94381
1787798532919,558e27b6-befe-b208-ddb1-bf55a81229d0,/?crawl=7,0,200,4130263,31.716,9918.129,416436
1787798542920,862fdc7c-098a-bdbf-627e-039a14917bb0,/?crawl=20,0,200,440325,10.035,261.650,1682878
1787798541749,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec346db3fa63a8b,1,200,66227,244.241,1497.801,44216
1787798542920,57a3b147-4cda-ee57-1f5e-54a9b89469de,/?crawl=19,0,200,181374,51.901,656.645,276213
1787798543182,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/b347ff4af05422c0,1,200,274351,9.230,448.422,611814
1787798543182,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/b348024af05427d9,1,200,277621,9.268,490.690,565777
1787798543577,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/6/86daf04c2f697e53,1,200,4266,122.813,149.116,28609
1787798541919,e14090b3-7dfb-bbac-d72c-a25623c987fe,/?crawl=18,0,200,372454,73.821,1859.336,200316
1787798543182,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/2/b348004af0542473,1,200,479580,19.302,600.152,799098
1787798543782,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/fc2e1b5b309e6bc,2,200,35202,8.767,26.107,1348363
1787798543577,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/0/86daf24c2f6981b9,1,200,55028,47.995,327.205,168176
1787798543726,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/0/cc63df2d0092ad1c,2,200,18216,255.658,382.265,47653
1787798543782,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/1/fc2e2b5b309e86f,2,200,293867,21.823,370.626,792893
1787798544152,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/13abda16b8d0d192,3,200,54874,47.966,150.615,364332
1787798543726,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/5/cc63e02d0092aecf,2,200,30879,281.164,608.162,50774
1787798544152,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/13abd916b8d0cfdf,3,200,89971,47.842,256.611,350612
1787798544152,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/13abdb16b8d0d345,3,200,500180,43.221,671.022,745400
1787798543577,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/0/86daef4c2f697ca0,1,200,138903,174.803,1311.866,105882
1787798543919,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/?crawl=21,0,200,299342,52.446,1122.515,266671
1787798543779,e14090b3-7dfb-bbac-d72c-a25623c987fe,/p/0/f3709bee9ace89f3,1,200,82461,141.330,1432.147,57579
1787798544919,d2fa5913-858b-28a7-5d8f-902dad879851,/?crawl=22,0,200,145324,35.608,361.948,401506
1787798542837,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/36011b452402b41d,1,200,400981,171.337,2788.652,143790
1787798543782,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/fc2e4b5b309ebd5,2,200,2615547,30.609,2047.306,1277556
1787798536919,c475b5fc-e008-706b-ac3f-2e783ad28c42,/?crawl=8,0,200,4171668,34.929,9017.066,462641
1787798541749,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec347db3fa63c3e,1,200,351958,321.148,4279.319,82246
1787798545042,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/7/1fddaaed5bb92e60,1,200,115981,156.803,1075.304,107859
1787798545042,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/0/1fddaced5bb931c6,1,200,171019,51.375,1075.510,159012
1787798545042,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/0/1fddabed5bb93013,1,200,192730,156.771,1075.954,179125
1787798544334,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/4/569f0933de777f1d,3,200,136269,250.588,2106.213,64699
1787798546117,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/0/53d96f5fc2094776,2,200,316217,3.296,328.672,962106
1787798546117,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/0/53d96e5fc20945c3,2,200,446395,312.715,400.603,1114306
1787798546117,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/6/53d96d5fc2094410,2,200,425382,314.468,401.312,1059979
1787798536919,98156463-acbb-838a-4995-b01d2e8bc10e,/?crawl=9,0,200,3087221,46.354,9878.628,312515
