t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787799030333,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/?crawl=1,0,200,130631,25.290,232.258,562439
1787799030333,69e3f629-204b-a521-d46c-17022bb9325b,/?crawl=0,0,200,77496,43.493,237.268,326619
1787799030565,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831c13a860f15e,1,200,168081,24.640,739.356,227334
1787799030565,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831b13a860efab,1,200,161416,24.610,799.849,201808
1787799031333,5684ed70-3a5c-de0c-dcb0-2554388d8f92,/?crawl=3,0,200,31579,68.251,166.819,189301
1787799030565,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/2/c1831a13a860edf8,1,200,433881,121.391,1298.806,334061
1787799031864,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/1/5fcac809968a6e57,2,200,67849,36.460,366.683,185035
1787799031333,160edf7b-27b2-08e1-9481-79abb2597327,/?crawl=4,0,200,454023,43.391,1344.061,337800
1787799032677,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/a296c3e78f67baa4,1,200,23959,43.100,106.871,224186
1787799030333,1e4cbd2e-35c6-9a6c-646a-44d298f37d63,/?crawl=2,0,200,3689191,15.323,3275.666,1126242
1787799033609,1e4cbd2e-35c6-9a6c-646a-44d298f37d63,/p/0/7bc2192c6631ce7e,1,200,7165,25.617,31.746,225696
1787799032677,160edf7b-27b2-08e1-9481-79abb2597327,/p/1/a296c4e78f67bc57,1,200,149775,43.118,1105.599,135470
1787799033334,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/?crawl=5,0,200,269150,31.964,594.846,452470
1787799030570,69e3f629-204b-a521-d46c-17022bb9325b,/p/0/54ed71713cfbe771,1,200,427058,131.083,3910.472,109209
1787799033609,1e4cbd2e-35c6-9a6c-646a-44d298f37d63,/p/1/7bc21a2c6631d031,1,200,484105,18.801,914.037,529634
1787799030570,69e3f629-204b-a521-d46c-17022bb9325b,/p/3/54ed6f713cfbe40b,1,200,516880,44.590,4233.685,122087
1787799034523,1e4cbd2e-35c6-9a6c-646a-44d298f37d63,/p/0/b00549cf0d8106c1,2,200,196147,69.395,825.689,237556
1787799031864,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/5fcaca09968a71bd,2,200,492654,24.282,3520.122,139954
1787799033928,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/p/0/f2c7189faccc9aa,1,200,243857,29.598,1610.705,151398
1787799034523,1e4cbd2e-35c6-9a6c-646a-44d298f37d63,/p/0/b00548cf0d81050e,2,200,369678,89.763,1282.544,288238
1787799033334,558e27b6-befe-b208-ddb1-bf55a81229d0,/?crawl=7,0,200,4130263,14.442,3201.266,1290197
1787799033782,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/367a592b33a4552,2,200,311847,213.253,3404.624,91595
1787799036535,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/36011b452402b41d,1,200,400981,43.712,1049.587,382037
1787799033782,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/367a692b33a4705,2,200,395771,235.076,4682.212,84527
1787799037333,98156463-acbb-838a-4995-b01d2e8bc10e,/?crawl=9,0,200,3087221,9.153,1264.608,2441247
1787799038597,98156463-acbb-838a-4995-b01d2e8bc10e,/p/8/26306f2703893d60,1,200,29167,6.406,23.591,1236347
1787799038597,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/2630702703893f13,1,200,140125,20.436,253.107,553620
1787799038597,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/26307127038940c6,1,200,298175,13.466,404.688,736803
1787799038621,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/7520d7def0b30a1b,2,200,366993,36.419,650.323,564324
1787799039332,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/?crawl=12,0,200,9605,20.450,29.370,327036
1787799040333,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/?crawl=15,0,200,24480,76.668,150.033,163164
1787799040483,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/p/0/6fd6f0af26ad0737,1,200,40893,73.270,447.229,91436
1787799039362,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/b597ee9668dc2198,1,200,516655,19.101,1590.114,324917
1787799039362,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/b597f19668dc26b1,1,200,490502,102.568,1758.613,278914
1787799039362,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/1/b597f09668dc24fe,1,200,484194,92.941,1795.183,269718
1787799038332,217e1954-c0c2-0697-baaf-354547aa5a45,/?crawl=10,0,200,121391,716.279,3177.026,38209
1787799041157,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/43814ad0adc32e09,2,200,294875,93.388,1175.471,250857
1787799041157,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/438147d0adc328f0,2,200,335339,93.349,1257.616,266646
1787799033334,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/?crawl=6,0,200,2255104,59.773,9156.074,246296
1787799033609,1e4cbd2e-35c6-9a6c-646a-44d298f37d63,/p/0/7bc2182c6631cccb,1,200,4706429,12.602,8931.140,526968
1787799040483,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/p/0/6fd6efaf26ad0584,1,200,208739,110.633,2306.625,90495
1787799038621,98156463-acbb-838a-4995-b01d2e8bc10e,/p/7/7520d9def0b30d81,2,200,5233431,33.224,4767.744,1097675
1787799042332,e14090b3-7dfb-bbac-d72c-a25623c987fe,/?crawl=18,0,200,372454,52.850,1247.787,298492
1787799043333,57a3b147-4cda-ee57-1f5e-54a9b89469de,/?crawl=19,0,200,181374,28.856,293.027,618967
1787799043626,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/6/86daf04c2f697e53,1,200,4266,34.163,34.256,124533
1787799042490,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/p/0/c96b6da2b89da517,1,200,96205,58.740,1201.540,80068
1787799043626,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/0/86daf24c2f6981b9,1,200,55028,49.269,101.994,539521
1787799043661,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/0/cc63df2d0092ad1c,2,200,18216,155.925,332.806,54735
1787799043661,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/5/cc63e02d0092aecf,2,200,30879,135.175,389.836,79210
1787799038621,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/7520d8def0b30bce,2,200,5659787,36.348,5444.360,1039569
1787799043389,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/d64d4351afd1ed62,3,200,467811,44.433,710.486,658438
1787799043627,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/0/86daef4c2f697ca0,1,200,138903,101.530,476.933,291242
1787799043333,862fdc7c-098a-bdbf-627e-039a14917bb0,/?crawl=20,0,200,440325,39.300,801.623,549292
1787799041510,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec346db3fa63a8b,1,200,66227,746.777,2707.454,24461
1787799043580,e14090b3-7dfb-bbac-d72c-a25623c987fe,/p/0/f3709bee9ace89f3,1,200,82461,183.196,684.846,120408
1787799043580,e14090b3-7dfb-bbac-d72c-a25623c987fe,/p/0/f3709cee9ace8ba6,1,200,247760,206.055,872.205,284062
1787799043580,e14090b3-7dfb-bbac-d72c-a25623c987fe,/p/2/f3709aee9ace8840,1,200,503747,53.700,982.259,512845
1787799034523,1e4cbd2e-35c6-9a6c-646a-44d298f37d63,/p/0/b00546cf0d8101a8,2,200,6253838,69.395,10112.978,618397
1787799040333,bdff2a5b-36ea-222a-9f4c-540c2a4173f4,/?crawl=13,0,200,2123658,31.616,4307.933,492965
1787799036535,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/360118452402af04,1,200,4379765,37.393,8472.824,516919
1787799044051,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/4/569f0933de777f1d,3,200,136269,122.422,1108.088,122977
1787799044332,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/?crawl=21,0,200,299342,54.556,1034.892,289249
1787799044135,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/b348024af05427d9,1,200,277621,22.197,1315.080,211106
1787799033928,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/p/5/f2c6f89faccc644,1,200,2362285,29.623,11591.388,203797
1787799042332,9ab40283-f209-5116-d31d-55e6dfb10446,/?crawl=17,0,200,4161989,15.337,3289.388,1265278
1787799045337,d2fa5913-858b-28a7-5d8f-902dad879851,/?crawl=22,0,200,145324,32.561,285.429,509143
1787799044135,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/b347ff4af05422c0,1,200,274351,127.949,1489.483,184192
1787799038332,5e499411-6aa2-8415-9b43-9488b7817873,/?crawl=11,0,200,5957664,21.537,7298.643,816270
1787799043389,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/d64d4251afd1ebaf,3,200,2304868,48.108,2335.190,987015
1787799045622,9ab40283-f209-5116-d31d-55e6dfb10446,/p/5/96ab9b6a4fe2f35d,1,200,114911,11.431,187.097,614180
1787799045622,9ab40283-f209-5116-d31d-55e6dfb10446,/p/0/96ab996a4fe2eff7,1,200,53241,65.244,204.901,259838
1787799044563,e14090b3-7dfb-bbac-d72c-a25623c987fe,/p/0/74c278b4d458f5d4,2,200,462846,709.371,1386.591,333801
1787799044135,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/2/b348004af0542473,1,200,479580,77.003,1825.083,262772
1787799043389,98156463-acbb-838a-4995-b01d2e8bc10e,/p/6/d64d4451afd1ef15,3,200,2855293,44.026,2583.784,1105082
1787799045973,98156463-acbb-838a-4995-b01d2e8bc10e,/p/5/9bd9f7e531bb1dfd,4,200,12040,23.284,47.698,252421
1787799045809,9ab40283-f209-5116-d31d-55e6dfb10446,/p/4/384d1a320ccd8926,2,200,113297,71.767,401.660,282072
1787799045960,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/fc2e1b5b309e6bc,2,200,35202,25.539,281.776,124929
1787799045631,5e499411-6aa2-8415-9b43-9488b7817873,/p/1/222d9b38d4412eeb,1,200,170031,125.871,695.100,244614
1787799036535,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/8/36011a452402b26a,1,200,6019087,12.227,9820.647,612901
1787799046356,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/afe138b58781e3fb,2,200,52712,13.164,66.582,791686
1787799045809,9ab40283-f209-5116-d31d-55e6dfb10446,/p/0/384d18320ccd85c0,2,200,194037,78.222,620.139,312893
1787799045367,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/7/1fddaaed5bb92e60,1,200,115981,146.781,1079.672,107422
1787799045809,9ab40283-f209-5116-d31d-55e6dfb10446,/p/0/384d1b320ccd8ad9,2,200,215593,84.795,712.364,302644
1787799046356,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/afe139b58781e5ae,2,200,144931,49.627,217.914,665082
1787799046332,f914de05-6b76-495a-b6e7-1894d3914121,/?crawl=23,0,200,200254,20.607,240.976,831012
1787799046021,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/2493c712ff7c623e,5,200,323683,46.998,614.939,526366
1787799042490,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/p/0/c96b6ea2b89da6ca,1,200,458169,176.559,4195.179,109213
1787799045973,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/9bd9f6e531bb1c4a,4,200,435193,8.695,723.572,601451
1787799044051,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/0/569f0733de777bb7,3,200,388902,111.652,2657.894,146320
1787799045367,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/0/1fddaced5bb931c6,1,200,171019,48.829,1343.527,127291
1787799045973,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/9bd9f5e531bb1a97,4,200,422652,23.281,772.480,547137
1787799046020,98156463-acbb-838a-4995-b01d2e8bc10e,/p/4/2493c812ff7c63f1,5,200,475641,36.390,828.272,574257
1787799046326,5e499411-6aa2-8415-9b43-9488b7817873,/p/0/4208e7a305b027a8,2,200,99552,107.880,557.313,178629
1787799046356,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/7/afe137b58781e248,2,200,475328,73.813,528.774,898925
1787799040333,0bb84ea3-2309-8bc6-58fc-d04b8d46de2b,/?crawl=14,0,200,3480307,29.027,6568.170,529875
1787799041333,c161c8a9-3535-8b6e-e1b5-d867ff5e7cf6,/?crawl=16,0,200,2891801,28.874,5630.736,513574
1787799045960,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/1/fc2e2b5b309e86f,2,200,293867,25.560,1045.214,281155
1787799046849,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/ae3979f166b332f2,6,200,76848,33.277,169.062,454556
1787799046963,c161c8a9-3535-8b6e-e1b5-d867ff5e7cf6,/p/0/341440cbb47f9e4,1,200,49491,26.175,109.600,451561
1787799046884,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/6/83062662a11ac6de,3,200,122611,64.930,239.487,511973
1787799046884,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/83062762a11ac891,3,200,149879,11.836,269.978,555153
1787799046963,c161c8a9-3535-8b6e-e1b5-d867ff5e7cf6,/p/0/341460cbb47fd4a,1,200,102057,76.967,262.807,388335
1787799046211,9ab40283-f209-5116-d31d-55e6dfb10446,/p/0/d999d26d4802a558,3,200,318591,89.195,1015.869,313614
1787799046849,98156463-acbb-838a-4995-b01d2e8bc10e,/p/3/ae3977f166b32f8c,6,200,401493,36.188,472.201,850258
1787799046849,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/ae3978f166b3313f,6,200,360399,33.299,508.151,709236
1787799046333,418530c3-e63b-5a60-d864-171d3888496b,/?crawl=24,0,200,234975,66.253,1027.951,228586
1787799047124,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/5/bfa2886ebfd71d59,4,200,80344,58.351,241.958,332058
1787799045159,57a3b147-4cda-ee57-1f5e-54a9b89469de,/p/3/c90226399156a15a,4,200,184599,107.741,2223.367,83027
1787799047005,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/13abda16b8d0d192,3,200,54874,211.223,447.391,122653
1787799046332,c3d3123c-e745-d4c6-2ad1-c55eb00b6074,/?crawl=25,0,200,488471,33.731,1124.030,434571
1787799047361,418530c3-e63b-5a60-d864-171d3888496b,/p/0/f154c142bffb0c,1,200,34949,51.163,174.315,200494
1787799047321,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/d8b3b97279a1e64c,7,200,104165,44.872,222.226,468734
1787799047321,98156463-acbb-838a-4995-b01d2e8bc10e,/p/2/d8b3bb7279a1e9b2,7,200,124474,35.582,257.936,482577
1787799045631,5e499411-6aa2-8415-9b43-9488b7817873,/p/0/222d9d38d4413251,1,200,450284,18.359,2032.001,221596
1787799047338,efae07d3-6174-d5cc-334b-da855350efd6,/?crawl=26,0,200,180335,41.385,424.440,424878
1787799046884,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/83062462a11ac378,3,200,328209,59.320,901.520,364062
1787799047005,862fdc7c-098a-bdbf-627e-039a14917bb0,/p/0/13abd916b8d0cfdf,3,200,89971,211.291,824.524,109119
1787799046326,5e499411-6aa2-8415-9b43-9488b7817873,/p/0/4208e8a305b0295b,2,200,292395,98.469,1553.255,188247
1787799045368,a056b4d1-a94d-5775-ad57-fb68a7e01b19,/p/0/1fddabed5bb93013,1,200,192730,241.395,2629.193,73304
1787799047338,8393b772-4912-94fe-b478-93b5effa24cb,/?crawl=28,0,200,205721,54.213,771.350,266703
1787799045623,d2fa5913-858b-28a7-5d8f-902dad879851,/p/1/da1cab06198a1099,1,200,415376,164.065,2678.633,155070
1787799047579,98156463-acbb-838a-4995-b01d2e8bc10e,/p/0/3dd099f1b47e0fd9,8,200,324522,38.962,799.480,405917
