t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787797373631,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/?crawl=1,0,200,130631,33.295,297.982,438386
1787797373631,69e3f629-204b-a521-d46c-17022bb9325b,/?crawl=0,0,200,77496,124.537,690.509,112230
1787797374631,5684ed70-3a5c-de0c-dcb0-2554388d8f92,/?crawl=3,0,200,31579,52.010,182.461,173073
1787797373929,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831c13a860f15e,1,200,168081,31.284,1018.392,165046
1787797373929,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/c1831b13a860efab,1,200,161416,31.162,1049.262,153838
1787797373929,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/2/c1831a13a860edf8,1,200,433881,31.297,1672.488,259423
1787797375602,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/1/5fcac809968a6e57,2,200,67849,31.185,544.090,124702
1787797374631,160edf7b-27b2-08e1-9481-79abb2597327,/?crawl=4,0,200,454023,57.038,1741.767,260668
1787797376373,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/a296c3e78f67baa4,1,200,23959,82.558,164.237,145881
1787797376631,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/?crawl=5,0,200,269150,54.844,936.541,287387
1787797376373,160edf7b-27b2-08e1-9481-79abb2597327,/p/1/a296c4e78f67bc57,1,200,149775,109.998,1266.857,118226
1787797377568,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/p/0/f2c7189faccc9aa,1,200,243857,96.703,2096.631,116309
1787797375602,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/p/0/5fcaca09968a71bd,2,200,492654,92.015,5548.620,88789
1787797381631,217e1954-c0c2-0697-baaf-354547aa5a45,/?crawl=10,0,200,121391,14.145,101.950,1190688
1787797381733,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec346db3fa63a8b,1,200,66227,13.290,140.592,471059
1787797381733,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec347db3fa63c3e,1,200,351958,19.217,605.578,581194
1787797382636,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/?crawl=12,0,200,9605,14.645,18.847,509620
1787797377640,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/367a592b33a4552,2,200,311847,275.849,5613.985,55548
1787797382655,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/b597f19668dc26b1,1,200,490502,55.576,713.488,687470
1787797382655,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/b597ee9668dc2198,1,200,516655,7.236,738.845,699274
1787797382655,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/1/b597f09668dc24fe,1,200,484194,55.411,809.101,598434
1787797383631,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/?crawl=15,0,200,24480,66.905,136.993,178696
1787797383464,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/43814ad0adc32e09,2,200,294875,20.804,496.589,593801
1787797383464,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/p/0/438147d0adc328f0,2,200,335339,10.081,520.359,644438
1787797377640,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/367a692b33a4705,2,200,395771,331.174,6520.430,60697
1787797383768,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/p/0/6fd6f0af26ad0737,1,200,40893,187.226,752.110,54371
1787797376631,b96efb17-8f22-c0c4-3f5a-a16c633c9583,/?crawl=6,0,200,2255104,56.281,8573.251,263040
1787797376631,558e27b6-befe-b208-ddb1-bf55a81229d0,/?crawl=7,0,200,4130263,33.879,8702.857,474587
1787797377568,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/p/5/f2c6f89faccc644,1,200,2362285,147.379,7901.718,298958
1787797381733,217e1954-c0c2-0697-baaf-354547aa5a45,/p/15/8ec345db3fa638d8,1,200,4576845,13.333,3885.480,1177935
1787797385618,217e1954-c0c2-0697-baaf-354547aa5a45,/p/14/b499c461bd3b4df3,2,200,116863,11.758,185.677,629388
1787797383768,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/p/0/6fd6efaf26ad0584,1,200,208739,320.655,2077.088,100496
