t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787801565514,69e3f629-204b-a521-d46c-17022bb9325b,/?crawl=0,0,200,77496,66.514,360.263,215110
1787801566515,5684ed70-3a5c-de0c-dcb0-2554388d8f92,/?crawl=3,0,200,31579,44.709,112.211,281426
1787801566515,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/?crawl=5,0,200,269150,56.700,1004.914,267834
1787801566515,160edf7b-27b2-08e1-9481-79abb2597327,/?crawl=4,0,200,454023,46.526,1448.560,313431
1787801567964,160edf7b-27b2-08e1-9481-79abb2597327,/p/0/a296c3e78f67baa4,1,200,23959,137.330,250.089,95802
1787801567964,160edf7b-27b2-08e1-9481-79abb2597327,/p/1/a296c4e78f67bc57,1,200,149775,92.522,1188.575,126012
1787801567515,558e27b6-befe-b208-ddb1-bf55a81229d0,/?crawl=7,0,200,4130263,60.778,1824.959,2263208
1787801565514,f7c998b3-5110-ead8-1c5b-78722c3cdddc,/?crawl=1,0,200,130631,603.084,3909.160,33417
1787801569341,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/36011b452402b41d,1,200,400981,30.193,337.070,1189608
1787801567520,a8b2b5fb-0a9c-cb0f-869a-18420532160a,/p/0/f2c7189faccc9aa,1,200,243857,53.062,2773.482,87924
1787801570514,217e1954-c0c2-0697-baaf-354547aa5a45,/?crawl=10,0,200,121391,36.188,298.054,407278
1787801569340,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/360118452402af04,1,200,4379765,3.166,1518.244,2884757
1787801569340,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/8/36011a452402b26a,1,200,6019087,3.213,1874.337,3211316
1787801571215,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/afe138b58781e3fb,2,200,52712,14.332,32.146,1639750
1787801571215,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/afe139b58781e5ae,2,200,144931,1.905,41.124,3524221
1787801565875,69e3f629-204b-a521-d46c-17022bb9325b,/p/0/54ed71713cfbe771,1,200,427058,63.862,5395.899,79145
1787801570812,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec346db3fa63a8b,1,200,66227,122.944,473.923,139742
1787801571215,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/7/afe137b58781e248,2,200,475328,16.444,108.930,4363627
1787801571324,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/6/83062662a11ac6de,3,200,122611,10.609,55.193,2221487
1787801571324,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/83062762a11ac891,3,200,149879,1.834,63.506,2360064
1787801571379,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/5/bfa2886ebfd71d59,4,200,80344,17.210,56.256,1428180
1787801571324,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/83062462a11ac378,3,200,328209,1.853,183.962,1784114
1787801571514,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/?crawl=15,0,200,24480,32.609,64.167,381502
1787801571379,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/bfa2876ebfd71ba6,4,200,256409,13.445,218.898,1171360
1787801571514,0e9c7adf-4183-9989-0e3b-d0c05cb8a59f,/?crawl=12,0,200,9605,76.311,113.271,84796
1787801571435,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/4/807b2a8f40e3b7b3,5,200,311227,18.810,270.098,1152276
1787801571379,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/bfa2866ebfd719f3,4,200,484466,14.335,335.196,1445320
1787801571706,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/f74acfe7fdfcde43,6,200,127741,15.454,90.316,1414374
1787801571435,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/807b2c8f40e3bb19,5,200,497563,17.139,414.540,1200277
1787801571578,878ce734-4f6d-dfdc-5416-cb0f718bf5fe,/p/0/6fd6f0af26ad0737,1,200,40893,32.432,286.771,142598
1787801571706,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/f74ad0e7fdfcdff6,6,200,326924,19.029,225.067,1452565
1787801571706,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/3/f74acee7fdfcdc90,6,200,493583,15.791,270.154,1827041
1787801571976,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/c5d13c44593d0997,7,200,250677,19.121,188.407,1330508
1787801571976,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/2/c5d13b44593d07e4,7,200,265419,19.276,207.274,1280524
1787801572183,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/1/10fa6f766188120f,8,200,56161,21.915,48.293,1162913
1787801571976,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/c5d13d44593d0b4a,7,200,522909,18.288,268.249,1949340
1787801572232,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/e215d3bd6b065446,9,200,123758,13.159,115.712,1069535
1787801572183,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/10fa717661881575,8,200,271547,16.313,252.571,1075133
1787801572232,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/e215d4bd6b0655f9,9,200,346059,17.505,261.871,1321485
1787801565875,69e3f629-204b-a521-d46c-17022bb9325b,/p/3/54ed6f713cfbe40b,1,200,516880,95.132,6621.851,78057
1787801572183,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/10fa6e766188105c,8,200,272558,21.544,318.819,854898
1787801572244,558e27b6-befe-b208-ddb1-bf55a81229d0,/p/0/e215d1bd6b0650e0,9,200,335282,15.043,261.266,1283296
1787801570812,217e1954-c0c2-0697-baaf-354547aa5a45,/p/0/8ec347db3fa63c3e,1,200,351958,35.496,1733.840,202993
1787801567515,98156463-acbb-838a-4995-b01d2e8bc10e,/?crawl=9,0,200,3087221,34.834,5208.817,592691
1787801572724,98156463-acbb-838a-4995-b01d2e8bc10e,/p/8/26306f2703893d60,1,200,29167,12.077,77.274,377450
