t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787858906566,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/?crawl=0,0,200,54669,81.572,317.177,172361
1787858906883,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dccb6e05d37ce5,1,200,36491,77.633,234.060,155904
1787858906566,c64abfb9-0f80-2244-326f-a6e75cc749f8,/?crawl=1,0,200,315215,59.498,1240.572,254088
1787858907566,7a7917fe-b550-bb84-f11d-8ec7baa0575b,/?crawl=2,0,200,129121,65.175,600.717,214945
1787858908567,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/?crawl=5,0,200,24029,17.876,33.874,709371
1787858908567,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/?crawl=3,0,200,26942,31.810,70.547,381900
1787858908567,61f953fd-ddee-8f82-9969-a3c25d780ca0,/?crawl=6,0,200,46788,24.140,78.807,593706
1787858908646,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825eca3c8a31b6c0,1,200,5569,21.413,32.250,172681
1787858907806,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471dcb9a6e6ddf,1,200,75136,86.787,897.654,83703
1787858908601,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/3/3c9dca55480298f9,1,200,40230,25.386,115.737,347599
1787858906883,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dcc86e05d377cc,1,200,143015,273.186,1841.460,77664
1787858907806,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/2/8a471fcb9a6e7145,1,200,80973,115.135,924.693,87567
1787858907806,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471ecb9a6e6f92,1,200,107974,57.684,1065.233,101362
1787858908716,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/2/d96f60762cc20763,2,200,105083,97.724,610.865,172023
1787858908646,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecc3c8a31ba26,1,200,397787,32.340,1243.958,319775
1787858908646,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecb3c8a31b873,1,200,509084,32.282,1320.864,385417
1787858908601,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc95548029746,1,200,297878,66.404,1458.189,204279
1787858908731,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/17299163308978ef,2,200,124468,140.581,1394.775,89239
1787858908601,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc85548029593,1,200,269800,17.022,1733.419,155646
1787858908567,953461a2-4239-ade1-c67c-7dbb345a08ef,/?crawl=7,0,200,474619,56.095,1807.673,262558
1787858909327,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/81b361490815ba82,3,200,223256,90.739,1309.860,170443
1787858909566,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/?crawl=11,0,200,287884,57.209,1107.345,259977
1787858908637,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/637274107138836c,1,200,348724,134.705,2075.082,168053
1787858909566,c059e2ba-67b5-441d-83f3-96a164e9d07d,/?crawl=8,0,200,433703,42.461,1254.265,345783
1787858909327,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/1/81b362490815bc35,3,200,311135,82.494,1629.728,190912
1787858910673,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/12/9b3ca0c08b6020fc,1,200,47908,54.422,387.775,123546
1787858908716,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/d96f5f762cc205b0,2,200,477324,81.126,2905.640,164275
1787858911061,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde3b90a2e7c5a,2,200,6897,412.853,607.408,11355
1787858908716,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/d96f62762cc20ac9,2,200,503365,81.175,2972.236,169356
1787858910820,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/12/922f755aaaab2bca,1,200,127318,81.361,1132.985,112374
1787858910374,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/4/15c91f9a1eccacd3,1,200,111669,268.518,1656.505,67412
1787858910374,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/15c91e9a1eccab20,1,200,126381,240.844,1683.631,75065
1787858912566,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/?crawl=13,0,200,20250,15.019,28.976,698865
1787858910059,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/81b360490815b8cf,3,200,443648,119.387,2592.870,171103
1787858910957,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/1406d500be44d460,4,200,482375,90.039,1971.110,244723
1787858912566,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/?crawl=12,0,200,339532,20.585,374.737,906055
1787858912566,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/?crawl=14,0,200,150305,40.214,395.100,380422
1787858910957,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/1406d600be44d613,4,200,499703,81.654,2169.708,230309
1787858912961,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/e0fd9fa7cd8f3d10,1,200,19935,94.871,263.246,75728
1787858910820,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/922f735aaaab2864,1,200,238822,81.398,2420.424,98669
1787858912595,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/6/c2114b7bb4960d22,1,200,251883,67.763,813.350,309686
1787858912595,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/0/c211497bb49609bc,1,200,417324,13.490,843.553,494722
1787858912031,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef6c7c71bfa62,2,200,85953,357.784,1724.227,49850
1787858908731,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/1729926330897aa2,2,200,485355,283.576,5036.312,96371
1787858910673,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca1c08b6022af,1,200,124934,275.978,3215.117,38858
1787858912961,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/2/e0fda0a7cd8f3ec3,1,200,202576,39.480,929.753,217881
1787858911953,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/11/fd88f28d4c5c370e,2,200,207621,205.240,2024.953,102531
1787858911953,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/fd88f08d4c5c33a8,2,200,130380,205.274,2034.874,64073
1787858912941,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/12/557ba0d949310335,1,200,225022,108.968,1110.658,202602
1787858912941,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/557b9ed94930ffcf,1,200,372249,17.881,1117.255,333182
1787858913411,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/5/12d4919f3e10b440,2,200,172330,193.734,723.973,238034
1787858912941,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/557b9fd949310182,1,200,495124,100.295,1232.958,401574
1787858914280,2067f70d-b46b-cb92-8f1f-5003b6fa7ea0,/?crawl=16,0,200,147106,63.167,168.984,870531
1787858913891,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/1/4ff21e022447621c,2,200,14818,476.537,571.119,25946
1787858913408,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/0/12d4939f3e10b7a6,2,200,175111,177.925,1103.933,158625
1787858914051,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/5a11cb2dbe282f17,2,200,64049,122.217,479.298,133631
1787858914052,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/5a11cc2dbe2830ca,2,200,198152,134.053,560.461,353552
1787858914135,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/4/fcadcfb4868f09cb,3,200,250822,173.370,1187.781,211169
1787858914279,59668973-ab89-96a2-0ad0-d2d995c7597f,/?crawl=17,0,200,454495,91.336,1334.541,340563
1787858915566,2d0fa1df-41e4-0c83-3919-6a1727c45664,/?crawl=18,0,200,81083,55.947,319.077,254117
1787858914135,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/0/fcadceb4868f0818,3,200,353115,101.831,1819.197,194105
1787858915885,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/1/c9f9a10ac4d2c7a7,1,200,5257,53.866,81.151,64781
1787858913891,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff21f02244763cf,2,200,138190,270.667,2207.972,62587
1787858911061,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde2b90a2e7aa7,2,200,279219,303.618,5243.218,53253
1787858913891,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff2200224476582,2,200,169730,270.947,2449.326,69297
1787858915614,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/1/7467f605622a34d6,1,200,52862,183.089,794.905,66501
1787858910673,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca2c08b602462,1,200,484498,138.407,5767.930,83999
1787858915885,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a00ac4d2c5f4,1,200,63421,81.198,607.342,104424
1787858915614,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/0/7467f405622a3170,1,200,148743,40.392,894.733,166243
1787858914279,642626d0-983f-8a2d-45a6-c0fa444f3d26,/?crawl=15,0,200,508075,101.106,2282.615,222585
