t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787859442172,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/?crawl=0,0,200,54669,27.949,105.538,518002
1787859442277,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dccb6e05d37ce5,1,200,36491,80.774,219.169,166497
1787859442277,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dcc86e05d377cc,1,200,143015,26.858,528.976,270362
1787859442171,c64abfb9-0f80-2244-326f-a6e75cc749f8,/?crawl=1,0,200,315215,52.686,1160.407,271642
1787859443332,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471dcb9a6e6ddf,1,200,75136,53.684,789.046,95224
1787859443332,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/2/8a471fcb9a6e7145,1,200,80973,106.745,868.432,93240
1787859443171,7a7917fe-b550-bb84-f11d-8ec7baa0575b,/?crawl=2,0,200,129121,121.007,1099.822,117402
1787859444172,61f953fd-ddee-8f82-9969-a3c25d780ca0,/?crawl=6,0,200,46788,43.745,146.700,318937
1787859443332,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471ecb9a6e6f92,1,200,107974,53.656,998.795,108104
1787859444172,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/?crawl=3,0,200,26942,75.585,184.958,145666
1787859444172,953461a2-4239-ade1-c67c-7dbb345a08ef,/?crawl=7,0,200,474619,12.590,270.430,1755054
1787859444319,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825eca3c8a31b6c0,1,200,5569,230.099,250.623,22221
1787859444442,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/4/15c91f9a1eccacd3,1,200,111669,20.070,164.990,676821
1787859444442,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/15c91e9a1eccab20,1,200,126381,15.597,309.305,408597
1787859444172,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/?crawl=5,0,200,24029,344.785,672.250,35744
1787859444607,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef6c7c71bfa62,2,200,85953,45.832,255.355,336602
1787859444607,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef5c7c71bf8af,2,200,453644,45.855,891.289,508975
1787859445172,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/?crawl=11,0,200,287884,36.734,688.693,418015
1787859444200,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/17299163308978ef,2,200,124468,238.051,1683.884,73917
1787859445860,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/12/9b3ca0c08b6020fc,1,200,47908,35.687,361.707,132450
1787859445172,c059e2ba-67b5-441d-83f3-96a164e9d07d,/?crawl=8,0,200,433703,40.666,1187.609,365190
1787859446222,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde3b90a2e7c5a,2,200,6897,171.321,205.386,33581
1787859444319,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecc3c8a31ba26,1,200,397787,41.198,2202.658,180594
1787859445860,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca1c08b6022af,1,200,124934,35.638,864.452,144524
1787859444319,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecb3c8a31b873,1,200,509084,105.085,2583.702,197037
1787859446359,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/12/922f755aaaab2bca,1,200,127318,97.600,809.169,157344
1787859444844,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/3/3c9dca55480298f9,1,200,40230,319.384,3342.680,12035
1787859448172,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/?crawl=13,0,200,20250,78.560,197.900,102325
1787859444200,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/1729926330897aa2,2,200,485355,130.408,4282.440,113336
1787859446222,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde2b90a2e7aa7,2,200,279219,205.326,2447.204,114097
1787859448172,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/?crawl=14,0,200,150305,61.574,604.851,248499
1787859448777,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/e0fd9fa7cd8f3d10,1,200,19935,55.607,112.840,176667
1787859446359,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/922f735aaaab2864,1,200,238822,137.754,2706.365,88245
1787859447168,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/fd88f08d4c5c33a8,2,200,130380,195.990,1935.401,67366
1787859448172,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/?crawl=12,0,200,339532,41.138,934.446,363351
1787859445860,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca2c08b602462,1,200,484498,35.722,3289.791,147273
1787859449171,2067f70d-b46b-cb92-8f1f-5003b6fa7ea0,/?crawl=16,0,200,147106,46.672,463.901,317107
1787859442277,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/8/f6dcca6e05d37b32,1,200,3890947,132.483,7500.398,518765
1787859447168,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/11/fd88f28d4c5c370e,2,200,207621,234.079,2628.390,78992
1787859444607,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/3/dbdef7c7c71bfc15,2,200,4206327,41.633,5452.009,771519
1787859444357,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/637274107138836c,1,200,348724,75.764,6129.163,56896
1787859448777,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/2/e0fda0a7cd8f3ec3,1,200,202576,283.438,1711.402,118368
1787859449778,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/d6bba26e23c6df2a,2,200,159213,23.689,731.466,217663
1787859449778,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/7/d6bba36e23c6e0dd,2,200,399778,86.713,1233.395,324128
1787859449778,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/d6bba16e23c6dd77,2,200,502388,99.529,1573.830,319214
1787859451011,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/6/f9d6418f085416cc,3,200,156335,341.835,345.051,453078
1787859449171,642626d0-983f-8a2d-45a6-c0fa444f3d26,/?crawl=15,0,200,508075,64.518,2190.369,231959
1787859450059,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/5240898ef5868c2a,3,200,508179,58.821,1326.901,382982
1787859449171,59668973-ab89-96a2-0ad0-d2d995c7597f,/?crawl=17,0,200,454495,69.725,2216.871,205016
1787859444442,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/15c9219a1eccb039,1,200,5015897,15.625,6994.547,717115
1787859450488,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/1/4ff21e022447621c,2,200,14818,284.033,973.364,15223
1787859451171,2d0fa1df-41e4-0c83-3919-6a1727c45664,/?crawl=18,0,200,81083,51.821,296.045,273887
1787859451468,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/1/c9f9a10ac4d2c7a7,1,200,5257,48.157,96.904,54249
1787859451011,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f9d6428f0854187f,3,200,460411,340.651,666.125,691178
1787859449106,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/12/557ba0d949310335,1,200,225022,155.832,2602.363,86468
1787859451388,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/1/7467f605622a34d6,1,200,52862,69.002,412.109,128272
1787859449106,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/557b9ed94930ffcf,1,200,372249,38.400,2700.237,137858
1787859451801,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/0/ff5943e684dc3ae1,2,200,7203,342.659,447.601,16092
1787859451356,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/5/4f27ebcc8f81c80f,4,200,141158,844.522,912.947,154618
1787859451356,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/4f27eacc8f81c65c,4,200,307359,844.495,937.421,327877
1787859451356,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/4f27edcc8f81cb75,4,200,421512,832.800,961.988,438168
1787859451011,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f9d6438f08541a32,3,200,2261381,340.773,1379.710,1639027
1787859451362,642626d0-983f-8a2d-45a6-c0fa444f3d26,/p/0/4d934d4a38f44c16,1,200,70372,61.157,1090.580,64527
1787859451709,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/5a11cb2dbe282f17,2,200,64049,214.447,799.420,80119
1787859451468,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a00ac4d2c5f4,1,200,63421,120.896,1148.237,55233
1787859447168,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/fd88f38d4c5c38c1,2,200,412020,215.037,5451.808,75575
1787859452269,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/b0bb93afc5861129,5,200,123969,121.942,440.692,281306
1787859450488,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff21f02244763cf,2,200,138190,311.276,2343.778,58960
1787859448370,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/6/c2114b7bb4960d22,1,200,251883,402.671,4569.187,55126
1787859452269,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/b0bb90afc5860c10,5,200,420547,122.589,811.230,518407
1787859451709,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/5a11cc2dbe2830ca,2,200,198152,195.281,1597.571,124033
1787859446222,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/11/32cde1b90a2e78f4,2,200,2165315,188.454,7186.101,301320
1787859450488,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/4ff2200224476582,2,200,169730,284.078,3195.433,53116
1787859453171,9cdb4fbf-cd90-9a85-4f7b-90b2f4c395ba,/?crawl=20,0,200,151345,71.600,768.204,197011
1787859449106,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/p/0/557b9fd949310182,1,200,495124,194.182,4882.906,101399
1787859451565,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/6bb3a47ba360204b,2,200,161227,245.173,2465.486,65394
1787859452269,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/4/b0bb92afc5860f76,5,200,4122327,121.752,1766.451,2333677
1787859454036,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f349ce0072647c96,6,200,20882,2.362,2.614,7989196
1787859451468,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a30ac4d2cb0d,1,200,257625,48.339,2807.208,91773
1787859454036,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/3/f349cc0072647930,6,200,240323,2.699,328.951,730574
1787859454365,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/b1a6ef828b13d934,7,200,28566,37.983,38.306,745738
1787859454171,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/?crawl=22,0,200,377863,12.638,263.195,1435678
1787859451388,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/0/7467f405622a3170,1,200,148743,135.944,3200.650,46473
1787859453408,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/b0954c5bb17fb020,3,200,175335,230.914,1260.582,139090
1787859451565,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/6bb3a67ba36023b1,2,200,239893,293.954,3122.658,76823
1787859453172,25939a61-c9c5-3c66-5f02-c57839660af7,/?crawl=21,0,200,321487,71.242,1558.422,206290
1787859454435,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/4/e6219533e5fe211a,1,200,195070,12.678,340.583,572752
1787859454730,25939a61-c9c5-3c66-5f02-c57839660af7,/p/0/52b741d651632e6d,1,200,12903,68.338,102.073,126409
1787859454435,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/0/e6219633e5fe22cd,1,200,252400,33.231,489.639,515482
1787859454171,870bcfa7-0714-e7a4-eda7-671f567f99aa,/?crawl=23,0,200,423779,28.290,828.137,511725
1787859445172,99533c34-613f-fca8-39c6-179510e7eca7,/?crawl=9,0,200,4760258,30.565,9865.347,482523
1787859453408,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/10/b0954d5bb17fb1d3,3,200,235682,110.196,1686.357,139758
1787859451801,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/0/ff5942e684dc392e,2,200,95821,376.110,3341.233,28678
1787859454435,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/0/e6219333e5fe1db4,1,200,360158,17.186,848.873,424278
1787859445172,a94699f5-2908-c51a-e3cb-3f8bef0d9f4f,/?crawl=10,0,200,4976137,29.666,10138.904,490796
1787859454775,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/3/c1341c5a239cfc89,2,200,200251,51.313,625.173,320313
1787859451462,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/ea2073db9c172149,3,200,164228,310.558,4085.665,40196
1787859451462,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/ea2070db9c171c30,3,200,234585,339.214,4115.809,56996
1787859451462,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/ea2071db9c171de3,3,200,209090,283.736,4311.421,48497
1787859454775,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/0/c1341b5a239cfad6,2,200,421296,51.189,1208.253,348682
1787859450059,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/2/5240878ef58688c4,3,200,5002118,112.951,6012.344,831975
1787859449797,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/d34b58c184f8a615,3,200,513286,199.168,6275.119,81797
1787859454171,3a3baa8c-df43-ae9f-56fd-8ba3bf2dc386,/?crawl=24,0,200,353480,80.507,1902.394,185808
1787859455401,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/0/6e6a5287a3f9d879,3,200,198767,49.831,704.854,281997
1787859449797,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/10/d34b56c184f8a2af,3,200,506464,246.006,6392.796,79224
1787859453408,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/b0954f5bb17fb539,3,200,444478,144.807,2793.594,159106
1787859455401,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/0/6e6a4f87a3f9d360,3,200,290178,59.796,847.455,342411
1787859454730,25939a61-c9c5-3c66-5f02-c57839660af7,/p/0/52b73ed651632954,1,200,145502,136.270,1686.111,86294
1787859455401,50b2dcc6-0d1c-7927-7a8e-16e2a146d4f9,/p/2/6e6a5187a3f9d6c6,3,200,517672,59.787,1094.355,473038
1787859451362,642626d0-983f-8a2d-45a6-c0fa444f3d26,/p/0/4d934c4a38f44a63,1,200,415518,365.656,5169.136,80384
1787859455095,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/9/1866656efb72c8f,4,200,127095,239.519,1463.153,86864
1787859455311,a94699f5-2908-c51a-e3cb-3f8bef0d9f4f,/p/0/2ea6f51e1ffb155c,1,200,254291,28.574,1320.894,192514
1787859448370,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/0/c211497bb49609bc,1,200,417324,81.065,8265.730,50488
