t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787859966443,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/?crawl=0,0,200,54669,51.910,189.728,288144
1787859966632,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dccb6e05d37ce5,1,200,36491,44.249,178.679,204226
1787859966443,c64abfb9-0f80-2244-326f-a6e75cc749f8,/?crawl=1,0,200,315215,60.103,1025.121,307490
1787859967468,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471dcb9a6e6ddf,1,200,75136,1.783,12.121,6198662
1787859967468,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/2/8a471fcb9a6e7145,1,200,80973,10.711,13.229,6120798
1787859967442,7a7917fe-b550-bb84-f11d-8ec7baa0575b,/?crawl=2,0,200,129121,32.294,322.572,400286
1787859966632,d2fe775f-397e-dd3c-e3aa-cf1472d5e6b1,/p/0/f6dcc86e05d377cc,1,200,143015,67.017,1201.043,119076
1787859967468,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/8a471ecb9a6e6f92,1,200,107974,10.828,393.830,274164
1787859967481,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/17299163308978ef,2,200,124468,380.642,384.725,323525
1787859967481,c64abfb9-0f80-2244-326f-a6e75cc749f8,/p/0/1729926330897aa2,2,200,485355,381.234,394.881,1229118
1787859968442,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/?crawl=3,0,200,26942,19.095,41.377,651130
1787859968442,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/?crawl=5,0,200,24029,59.201,115.440,208151
1787859968442,61f953fd-ddee-8f82-9969-a3c25d780ca0,/?crawl=6,0,200,46788,81.279,280.980,166517
1787859968723,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825eca3c8a31b6c0,1,200,5569,119.458,158.746,35081
1787859968557,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/3/3c9dca55480298f9,1,200,40230,140.839,560.293,71802
1787859968442,953461a2-4239-ade1-c67c-7dbb345a08ef,/?crawl=7,0,200,474619,37.260,1068.172,444328
1787859969443,c059e2ba-67b5-441d-83f3-96a164e9d07d,/?crawl=8,0,200,433703,17.518,395.648,1096185
1787859968483,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/637274107138836c,1,200,348724,79.070,1464.424,238130
1787859969839,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/12/922f755aaaab2bca,1,200,127318,14.889,232.310,548052
1787859969510,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/4/15c91f9a1eccacd3,1,200,111669,108.014,640.827,174258
1787859969510,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/15c91e9a1eccab20,1,200,126381,93.055,826.453,152920
1787859969443,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/?crawl=11,0,200,287884,49.373,993.013,289910
1787859970436,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/12/9b3ca0c08b6020fc,1,200,47908,44.035,343.834,139335
1787859969839,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/922f735aaaab2864,1,200,238822,72.649,973.303,245373
1787859970071,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/fd88f08d4c5c33a8,2,200,130380,102.249,839.064,155387
1787859970071,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/11/fd88f28d4c5c370e,2,200,207621,102.130,1118.409,185640
1787859969118,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/2/d96f60762cc20763,2,200,105083,276.407,2254.022,46620
1787859970151,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef6c7c71bfa62,2,200,85953,296.841,1235.515,69569
1787859970780,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde3b90a2e7c5a,2,200,6897,441.960,692.844,9955
1787859970071,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/fd88f38d4c5c38c1,2,200,412020,96.232,1453.466,283474
1787859968557,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc95548029746,1,200,297878,168.000,3721.015,80053
1787859972442,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/?crawl=13,0,200,20250,39.589,71.538,283068
1787859970436,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca1c08b6022af,1,200,124934,159.397,2161.918,57788
1787859971189,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/d34b58c184f8a615,3,200,513286,69.745,1817.482,282416
1787859971190,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/10/d34b56c184f8a2af,3,200,506464,76.277,1922.431,263450
1787859968723,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecc3c8a31ba26,1,200,397787,79.692,4521.490,87977
1787859973112,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/9/baf11354c1d4b2aa,4,200,89327,87.241,412.555,216522
1787859968557,155a8e6d-18ea-79a4-eb4c-7e275a9a25d1,/p/0/3c9dc85548029593,1,200,269800,57.548,5135.911,52532
1787859968483,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/1/637275107138851f,1,200,2256924,79.120,5261.839,428923
1787859968723,61f953fd-ddee-8f82-9969-a3c25d780ca0,/p/0/825ecb3c8a31b873,1,200,509084,318.152,5033.767,101134
1787859970151,953461a2-4239-ade1-c67c-7dbb345a08ef,/p/0/dbdef5c7c71bf8af,2,200,453644,249.019,3615.804,125461
1787859972442,569b6c9a-0789-b5cd-df63-cf390ed61ae6,/?crawl=12,0,200,339532,64.266,1364.948,248751
1787859973442,2067f70d-b46b-cb92-8f1f-5003b6fa7ea0,/?crawl=16,0,200,147106,46.224,454.535,323640
1787859973442,642626d0-983f-8a2d-45a6-c0fa444f3d26,/?crawl=15,0,200,508075,20.284,606.119,838243
1787859973745,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/4a0c94e062ee174e,2,200,81056,86.975,344.909,235007
1787859970780,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/32cde2b90a2e7aa7,2,200,279219,669.616,3398.325,82164
1787859974048,642626d0-983f-8a2d-45a6-c0fa444f3d26,/p/0/4d934d4a38f44c16,1,200,70372,18.598,240.939,292073
1787859973442,59668973-ab89-96a2-0ad0-d2d995c7597f,/?crawl=17,0,200,454495,29.590,878.302,517470
1787859972514,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/6/c2114b7bb4960d22,1,200,251883,34.855,2159.241,116654
1787859974320,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/1/7467f605622a34d6,1,200,52862,27.479,397.466,132997
1787859973745,f4aa5de6-495d-aaa1-8047-17ce3085fdb6,/p/0/4a0c95e062ee1901,2,200,286910,78.847,1018.952,281574
1787859974718,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/0/ff5943e684dc3ae1,2,200,7203,140.171,182.845,39394
1787859973525,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/acf6fbe2e8593f56,5,200,218089,76.337,1419.613,153626
1787859973525,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/8/acf6fce2e8594109,5,200,204951,68.622,1445.028,141832
1787859970436,298c6f93-ed3a-eccd-2ec2-bbf1adc8cdd9,/p/0/9b3ca2c08b602462,1,200,484498,228.319,4727.674,102481
1787859974048,642626d0-983f-8a2d-45a6-c0fa444f3d26,/p/0/4d934c4a38f44a63,1,200,415518,28.654,1120.749,370750
1787859974320,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/0/7467f405622a3170,1,200,148743,71.593,950.859,156430
1787859972442,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/?crawl=14,0,200,150305,177.867,2977.674,50477
1787859974718,59668973-ab89-96a2-0ad0-d2d995c7597f,/p/0/ff5942e684dc392e,2,200,95821,153.052,808.767,118478
1787859975442,2d0fa1df-41e4-0c83-3919-6a1727c45664,/?crawl=18,0,200,81083,20.244,108.366,748232
1787859975550,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/1/c9f9a10ac4d2c7a7,1,200,5257,17.648,27.337,192305
1787859974944,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/acf6fae2e8593da3,5,200,131761,62.776,808.704,162929
1787859975550,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a00ac4d2c5f4,1,200,63421,45.726,224.308,282741
1787859972513,5798b9b5-fd09-bc78-7cd4-ee89edc52918,/p/0/c211497bb49609bc,1,200,417324,35.006,3508.415,118949
1787859973112,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/baf11154c1d4af44,4,200,518860,80.791,3088.281,168009
1787859975420,aea09ca6-707f-1c92-7474-d44d5c6cbed5,/p/0/e0fd9fa7cd8f3d10,1,200,19935,633.544,1016.743,19607
1787859975577,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/6bb3a47ba360204b,2,200,161227,87.977,917.797,175667
1787859975753,c059e2ba-67b5-441d-83f3-96a164e9d07d,/p/0/d24a963525ddfff3,6,200,146647,90.553,897.237,163443
1787859975550,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/c9f9a30ac4d2cb0d,1,200,257625,17.662,1110.196,232054
1787859975577,2d0fa1df-41e4-0c83-3919-6a1727c45664,/p/0/6bb3a67ba36023b1,2,200,239893,107.007,1128.052,212661
