t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787861043684,3b9118f6-a6b8-0466-4971-9726e002fdc6,/?crawl=0,0,200,423400,31.682,875.121,483819
1787861045684,075bb5b2-f73c-b1b6-16a6-a8aac3d8e10d,/?crawl=1,0,200,372957,84.380,2119.055,176002
1787861047684,511821f3-2da6-a5dc-feba-e7a13652bfec,/?crawl=2,0,200,72494,57.751,310.006,233847
1787861047684,db41988a-cfeb-c354-2576-11b327b489e6,/?crawl=3,0,200,45824,294.023,1031.399,44429
1787861048683,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/?crawl=4,0,200,409410,20.043,485.170,843848
1787861047994,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8ca2ca3c873a1,1,200,105244,141.462,1401.661,75085
1787861049168,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/4/a0ad73e7ccfe5e14,1,200,279284,20.307,873.683,319663
1787861049683,e8623d64-28fe-07e6-f237-3df27f9381e3,/?crawl=5,0,200,174453,40.335,480.750,362877
1787861047994,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8c72ca3c86e88,1,200,259454,56.534,2333.672,111178
1787861047994,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/18/79d8c92ca3c871ee,1,200,258912,141.472,2446.359,105836
1787861050042,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/3/683787a5043cdfef,2,200,56671,115.844,439.910,128824
1787861050440,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/17/9c63cfdd511fbcec,2,200,15517,57.042,114.364,135681
1787861049168,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/a0ad74e7ccfe5fc7,1,200,369236,63.434,1783.530,207025
1787861050042,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683786a5043cde3c,2,200,127492,128.010,1044.149,122101
1787861050683,14a0d658-c8ad-8e29-eddd-450d22f88b50,/?crawl=6,0,200,173377,54.919,649.028,267133
1787861050042,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683789a5043ce355,2,200,224827,142.904,1390.030,161743
1787861050164,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/4/3417c94561995427,1,200,138396,188.326,1478.000,93637
1787861050482,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/2/dd74907ed2f0788e,3,200,208947,102.664,1209.901,172698
1787861050440,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d0dd511fbe9f,2,200,114096,114.242,1523.347,74898
1787861050165,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/3417c84561995274,1,200,302424,35.187,2666.518,113415
1787861050482,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/dd74917ed2f07a41,3,200,413158,87.168,2412.715,171242
1787861051692,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/49ff6d99eef62a3a,4,200,227174,98.202,1496.688,151784
1787861050164,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/3417cb456199578d,1,200,393686,188.845,3145.522,125158
1787861052684,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/?crawl=8,0,200,326021,44.733,957.941,340335
1787861051333,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/c7821fa2f6344bed,1,200,253848,98.611,2349.729,108033
