t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787862637333,3b9118f6-a6b8-0466-4971-9726e002fdc6,/?crawl=0,0,200,423400,45.917,1269.846,333426
1787862641332,db41988a-cfeb-c354-2576-11b327b489e6,/?crawl=3,0,200,45824,26.153,89.045,514618
1787862641332,511821f3-2da6-a5dc-feba-e7a13652bfec,/?crawl=2,0,200,72494,42.809,237.742,304927
1787862641570,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8ca2ca3c873a1,1,200,105244,63.311,800.499,131473
1787862641421,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431c8a3863649b,1,200,362382,74.995,1783.706,203162
1787862641570,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/18/79d8c92ca3c871ee,1,200,258912,42.488,1741.623,148661
1787862641570,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8c72ca3c86e88,1,200,259454,149.119,1826.382,142059
1787862642332,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/?crawl=4,0,200,409410,40.404,1081.980,378390
1787862643311,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/17/9c63cfdd511fbcec,2,200,15517,104.671,145.654,106533
1787862641421,db41988a-cfeb-c354-2576-11b327b489e6,/p/6/d431e8a38636801,1,200,470895,23.006,2157.868,218222
1787862641421,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431d8a3863664e,1,200,458005,36.189,2224.757,205867
1787862643579,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6619b3ac154dfb7f,2,200,40832,78.901,360.267,113338
1787862643332,e8623d64-28fe-07e6-f237-3df27f9381e3,/?crawl=5,0,200,174453,42.528,719.758,242377
1787862643579,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6619b4ac154dfd32,2,200,123001,78.910,606.476,202813
1787862643579,db41988a-cfeb-c354-2576-11b327b489e6,/p/5/6619b2ac154df9cc,2,200,288577,115.738,863.842,334062
1787862644332,14a0d658-c8ad-8e29-eddd-450d22f88b50,/?crawl=6,0,200,173377,29.550,314.543,551203
1787862644443,db41988a-cfeb-c354-2576-11b327b489e6,/p/4/9154bde0f61eaf5f,3,200,195015,25.797,559.035,348842
1787862643311,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d0dd511fbe9f,2,200,114096,208.746,2236.974,51005
1787862644647,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/c7821fa2f6344bed,1,200,253848,27.866,992.716,255711
1787862644052,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/4/3417c94561995427,1,200,138396,218.229,1665.465,83098
1787862643311,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d1dd511fc052,2,200,336106,145.881,2596.155,129463
1787862643414,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/4/a0ad73e7ccfe5e14,1,200,279284,37.990,2698.053,103513
1787862643457,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/1783917fe6bc5c6a,3,200,237938,204.940,2904.168,81930
1787862644052,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/3417c84561995274,1,200,302424,158.520,2738.441,110437
1787862644647,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/4/c7821ea2f6344a3a,1,200,325926,112.595,2259.008,144278
1787862646112,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/3/683787a5043cdfef,2,200,56671,288.183,986.719,57434
1787862646906,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/3/232a011e90e1d038,2,200,21507,140.985,379.878,56616
1787862646332,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/?crawl=8,0,200,326021,44.375,1004.220,324651
1787862647332,f606f715-a47f-a7f1-01cc-09f3eb37d616,/?crawl=9,0,200,200077,13.195,155.430,1287248
1787862645002,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/839459626dab8188,4,200,247284,131.361,2530.348,97727
1787862647336,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/3/b7b17384d5bad530,1,200,32421,42.124,326.793,99210
1787862645002,db41988a-cfeb-c354-2576-11b327b489e6,/p/3/83945a626dab833b,4,200,283963,182.517,2667.441,106455
1787862643414,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/a0ad74e7ccfe5fc7,1,200,369236,151.038,4463.776,82718
1787862647670,db41988a-cfeb-c354-2576-11b327b489e6,/p/2/24ad53d5a7900989,5,200,28174,136.892,351.557,80141
1787862643457,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/1783907fe6bc5ab7,3,200,400914,204.964,4730.704,84747
1787862647336,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/b7b17484d5bad6e3,1,200,74189,171.990,897.042,82704
1787862643457,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/16/1783927fe6bc5e1d,3,200,405540,267.698,4854.644,83537
1787862646112,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683786a5043cde3c,2,200,127492,288.039,2353.171,54179
1787862644052,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/3417cb456199578d,1,200,393686,39.617,4606.567,85462
1787862645717,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/e5bfb0f30a928c22,2,200,228346,358.677,2961.483,77105
1787862647663,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/5613aba19056e93,2,200,226993,241.605,1077.347,210696
1787862647336,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/b7b17584d5bad896,1,200,374286,42.078,1412.342,265011
1787862647663,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/0/5613bba19057046,2,200,344709,241.669,1087.011,317116
1787862647670,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/24ad51d5a7900623,5,200,94077,123.834,1125.188,83610
1787862648332,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/?crawl=10,0,200,104890,67.447,485.161,216196
1787862645002,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/83945c626dab86a1,4,200,412231,156.096,3967.738,103896
1787862644443,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/9154bfe0f61eb2c5,3,200,496823,54.286,4626.902,107377
1787862647670,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/24ad52d5a79007d6,5,200,168024,136.842,1561.029,107637
1787862648332,0eb4acb4-1267-caa8-88db-a24c26d8698b,/?crawl=11,0,200,439548,42.570,1287.402,341422
1787862646112,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683789a5043ce355,2,200,224827,189.894,3587.158,62676
1787862647099,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/2/dd74907ed2f0788e,3,200,208947,190.999,2750.020,75980
1787862648970,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/65bce053658632b4,6,200,124033,137.401,891.638,139107
1787862648312,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/15/715d2108d9d6b48c,4,200,206411,80.012,1603.567,128720
1787862645717,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/3/e5bfaef30a9288bc,2,200,491505,298.751,4446.041,110549
1787862648021,db41988a-cfeb-c354-2576-11b327b489e6,/p/1/65bce2536586361a,6,200,325597,129.992,2388.220,136335
1787862650332,78410207-983b-34de-da3c-435ec3ff63a1,/?crawl=14,0,200,216341,13.604,163.282,1324950
1787862650495,78410207-983b-34de-da3c-435ec3ff63a1,/p/6/64e3f7c13fa729dd,1,200,74710,10.714,185.057,403714
1787862649915,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/7794b464fb5f8a4b,5,200,72829,252.439,932.288,78119
1787862647286,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/4ff8af37c404ac5b,3,200,353225,143.322,3700.356,95457
1787862650332,db78ba94-0262-a6f8-29ec-d9f4736c8efe,/?crawl=15,0,200,244198,41.207,674.805,361879
1787862650409,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6f45e5ed57e9134b,7,200,60439,139.621,742.566,81392
1787862646906,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/232a021e90e1d1eb,2,200,431510,153.909,4353.813,99111
1787862650495,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/64e3f5c13fa72677,1,200,336459,10.671,818.246,411195
1787862650680,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/a976c14b3d8e6f31,2,200,221071,65.221,780.684,283176
1787862650332,2cd9a0fd-a26b-f302-139e-84fe1695521e,/?crawl=13,0,200,436184,40.283,1193.318,365522
1787862645332,ac409a5b-4f53-60df-d6e3-d35993f4ac56,/?crawl=7,0,200,2358180,41.145,6268.851,376174
1787862650409,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6f45e6ed57e914fe,7,200,159713,139.588,1290.602,123751
1787862648312,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/715d2208d9d6b63f,4,200,354883,39.496,3430.152,103460
1787862648817,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/p/0/173aa14aed3b4fde,1,200,187592,351.718,2980.037,62950
1787862650495,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/64e3f6c13fa7282a,1,200,496384,10.656,1302.228,381180
1787862647286,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/2/4ff8b137c404afc1,3,200,417408,157.050,4520.440,92338
1787862650680,78410207-983b-34de-da3c-435ec3ff63a1,/p/5/a976c04b3d8e6d7e,2,200,505297,60.144,1312.848,384886
1787862651806,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/3a56fa426d78e45b,4,200,26639,153.986,361.546,73681
1787862651993,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/d6cdfdec6cef9d12,3,200,80357,53.605,262.245,306420
1787862648312,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/715d2308d9d6b7f2,4,200,405591,121.389,4084.082,99310
1787862651993,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/d6cdfcec6cef9b5f,3,200,187156,71.330,470.769,397554
1787862650409,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/6f45e7ed57e916b1,7,200,289097,139.561,2138.969,135157
1787862649915,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/7794b564fb5f8bfe,5,200,231444,208.780,2766.992,83645
1787862650163,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/2/d0d12bd4306220f2,3,200,241360,197.033,2777.824,86888
1787862651525,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/5cfba3322f6a710b,1,200,153371,38.946,1442.745,106305
1787862649915,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/14/7794b664fb5f8db1,5,200,373493,252.409,3140.815,118916
1787862650163,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/d0d12cd4306222a5,3,200,246249,196.994,2897.866,84976
1787862651525,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/5cfba4322f6a72be,1,200,207600,156.225,1601.265,129647
1787862647099,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/dd74917ed2f07a41,3,200,413158,209.920,6118.816,67523
1787862649849,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/49ff6d99eef62a3a,4,200,227174,210.120,3635.304,62491
1787862651525,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/19/5cfba2322f6a6f58,1,200,416729,77.173,2134.908,195198
1787862648817,5d7c934a-ba16-892b-3c8e-8857ce3f8d14,/p/0/173aa04aed3b4e2b,1,200,497985,64.072,4905.145,101523
1787862651332,e0462316-a48d-3073-9be8-2d611839dd56,/?crawl=16,0,200,17874,1458.572,2440.879,7323
1787862649849,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/49ff6c99eef62887,4,200,347350,226.137,4316.970,80462
1787862651806,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/3a56fb426d78e60e,4,200,265474,180.135,2607.435,101814
1787862654332,641a18cf-732c-df86-431f-313eb2170fd3,/?crawl=19,0,200,62421,35.697,157.851,395443
1787862653660,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/3aca24018d05a02f,2,200,144750,40.535,967.774,149570
1787862653660,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/18/3aca26018d05a395,2,200,159206,219.213,1348.618,118051
1787862654332,bd9871e6-b1c1-bcbc-86af-5893fe3b4cb6,/?crawl=20,0,200,294739,37.638,781.804,376999
1787862653056,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/13/e89334a916493629,6,200,242462,81.115,2084.174,116335
1787862651007,db78ba94-0262-a6f8-29ec-d9f4736c8efe,/p/0/d179a363ab0c357d,1,200,486361,198.987,4153.126,117107
1787862654332,64e8cd20-1bf4-cebe-8cc7-fe3eb5083c1d,/?crawl=18,0,200,438719,53.241,1708.983,256713
1787862654332,0a384d5b-7afe-b99b-ca3e-dafac0a90ce9,/?crawl=21,0,200,437871,59.999,1796.971,243672
1787862652941,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/1/d14bde670d457929,4,200,198873,219.097,3295.080,60355
1787862655140,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/12/320780868fca89c1,7,200,108981,247.543,1695.438,64279
1787862655114,bd9871e6-b1c1-bcbc-86af-5893fe3b4cb6,/p/0/9d2a6d0103ea32d4,1,200,244797,37.901,1823.492,134246
1787862656332,a000b344-6f71-d67c-52fc-116740c0521c,/?crawl=22,0,200,491119,25.645,864.123,568344
1787862655009,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/6489dea74aeea5f,3,200,204009,192.382,2409.773,84659
1787862655009,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/17/6489cea74aee8ac,3,200,213389,290.186,2547.515,83764
1787862655114,bd9871e6-b1c1-bcbc-86af-5893fe3b4cb6,/p/1/9d2a6f0103ea363a,1,200,376797,111.565,2569.790,146626
1787862657332,24ec9911-b2f3-f43d-e8ab-5034432365d0,/?crawl=24,0,200,380448,45.815,524.942,724744
1787862653056,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/e89332a9164932c3,6,200,516862,40.435,5015.708,103049
1787862655114,bd9871e6-b1c1-bcbc-86af-5893fe3b4cb6,/p/0/9d2a700103ea37ed,1,200,449200,37.885,3047.414,147404
1787862657857,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/4f81178ab17e5a88,1,200,84201,3.620,315.129,267195
1787862657857,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/4f811a8ab17e5fa1,1,200,320801,1.888,319.473,1004156
1787862657857,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/5/4f81198ab17e5dee,1,200,423467,4.151,321.862,1315679
1787862658179,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/4/c1c2f14fad217aa2,2,200,8518,15.944,16.000,532369
1787862657332,e6b11cab-8824-7f24-d6d5-46f0094b3759,/?crawl=23,0,200,491252,28.099,897.847,547144
1787862658195,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/3/6176e1e2430dfb90,3,200,148507,17.626,68.897,2155488
1787862658179,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/c1c2f24fad217c55,2,200,281539,16.456,85.997,3273841
1787862658195,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/6176e3e2430dfef6,3,200,255844,16.933,71.513,3577574
1787862658195,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/6176e2e2430dfd43,3,200,132989,17.296,72.461,1835308
1787862657556,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/45090b4a2902f900,4,200,40713,195.659,821.077,49585
1787862658332,99d61f44-b025-57d8-5d2c-3a892dd7a452,/?crawl=25,0,200,244238,26.760,435.168,561250
1787862655140,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/32077e868fca865b,7,200,241516,226.617,3672.032,65772
1787862652941,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/d14bdd670d457776,4,200,375850,219.077,5894.821,63759
1787862658767,99d61f44-b025-57d8-5d2c-3a892dd7a452,/p/0/e2eb6ee846195401,1,200,23003,24.191,91.989,250064
1787862651993,78410207-983b-34de-da3c-435ec3ff63a1,/p/4/d6cdfbec6cef99ac,3,200,4881455,59.221,6904.076,707040
1787862650680,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/a976be4b3d8e6a18,2,200,5252530,60.144,8239.404,637489
1787862658897,78410207-983b-34de-da3c-435ec3ff63a1,/p/3/1fefbac0af13b012,4,200,130351,27.282,300.769,433392
1787862653056,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/e89333a916493476,6,200,491705,61.338,6151.561,79932
1787862658179,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/c1c2ef4fad21773c,2,200,2339341,16.623,1039.606,2250218
1787862658897,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/1fefb8c0af13acac,4,200,184465,32.162,471.733,391037
1787862655140,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/32077f868fca880e,7,200,262189,205.881,4233.489,61932
1787862658897,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/1fefbbc0af13b1c5,4,200,349039,22.389,812.039,429830
1787862659198,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/5e7293e12732ddcd,5,200,151884,54.638,521.418,291291
1787862659198,78410207-983b-34de-da3c-435ec3ff63a1,/p/2/5e7292e12732dc1a,5,200,232479,60.367,638.186,364281
1787862659332,46db7605-dfc0-6150-e651-9c9fa71a6e4c,/?crawl=26,0,200,464199,18.151,534.155,869034
1787862659332,ef346761-1105-54c1-5e91-2f5043d9bfc7,/?crawl=29,0,200,268110,43.874,807.953,331839
1787862658767,99d61f44-b025-57d8-5d2c-3a892dd7a452,/p/0/e2eb6de84619524e,1,200,426860,37.431,1630.488,261799
1787862647663,704d14c1-a1c7-314f-fe26-d91b81c4b00c,/p/2/56139ba19056ce0,2,200,4499233,306.792,12856.392,349961
1787862658265,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/6972ac94e2185a11,4,200,522713,949.310,2314.349,225857
1787862660333,778eecd5-41f7-f871-82da-ed060afa509d,/?crawl=31,0,200,144152,48.547,479.268,300775
1787862659836,78410207-983b-34de-da3c-435ec3ff63a1,/p/0/15fb66694150b37e,6,200,369584,56.994,980.346,376993
1787862659866,46db7605-dfc0-6150-e651-9c9fa71a6e4c,/p/0/28ac6fcf8848737b,1,200,294904,87.632,957.932,307855
1787862657684,bd9871e6-b1c1-bcbc-86af-5893fe3b4cb6,/p/0/d71d0bd1d941b3fe,2,200,426983,191.825,3220.588,132579
1787862660333,57aece9d-5272-87f8-bf70-0fb01f75c0ee,/?crawl=30,0,200,105320,81.431,601.790,175011
1787862659836,78410207-983b-34de-da3c-435ec3ff63a1,/p/1/15fb64694150b018,6,200,380480,84.306,1101.209,345511
1787862656836,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/7f489b583fafd294,8,200,341563,202.715,4104.222,83222
1787862656236,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/0/8e8ca6c6dd89b227,5,200,249650,258.314,4762.544,52419
1787862657684,bd9871e6-b1c1-bcbc-86af-5893fe3b4cb6,/p/0/d71d0cd1d941b5b1,2,200,344545,289.576,3317.466,103858
1787862658264,24ec9911-b2f3-f43d-e8ab-5034432365d0,/p/0/6972a994e21854f8,4,200,522705,950.466,2888.537,180958
1787862657556,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/16/45090c4a2902fab3,4,200,311575,215.627,3598.262,86590
1787862657556,2cd9a0fd-a26b-f302-139e-84fe1695521e,/p/0/45090e4a2902fe19,4,200,272695,215.588,3618.046,75371
1787862644647,14a0d658-c8ad-8e29-eddd-450d22f88b50,/p/0/c7821ca2f63446d4,1,200,2159617,27.909,16615.573,129975
1787862660333,f91cbe30-bd24-ddba-24a0-b308b72ba4fa,/?crawl=33,0,200,317834,54.448,1147.041,277090
1787862656129,0a384d5b-7afe-b99b-ca3e-dafac0a90ce9,/p/17/3094c45e98852c4d,1,200,418904,172.309,5401.449,77554
1787862656129,0a384d5b-7afe-b99b-ca3e-dafac0a90ce9,/p/0/3094c35e98852a9a,1,200,518801,232.996,5407.968,95933
1787862659332,5c0dad1d-0e1a-eca2-a1f1-d89ad4b13a5e,/?crawl=28,0,200,424601,63.794,2379.324,178454
