t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787863147015,3b9118f6-a6b8-0466-4971-9726e002fdc6,/?crawl=0,0,200,423400,40.791,1195.780,354078
1787863149015,075bb5b2-f73c-b1b6-16a6-a8aac3d8e10d,/?crawl=1,0,200,372957,27.959,686.113,543579
1787863151015,db41988a-cfeb-c354-2576-11b327b489e6,/?crawl=3,0,200,45824,35.824,129.165,354772
1787863151015,511821f3-2da6-a5dc-feba-e7a13652bfec,/?crawl=2,0,200,72494,30.583,153.425,472504
1787863151168,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8ca2ca3c873a1,1,200,105244,55.622,529.930,198600
1787863151168,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/18/79d8c92ca3c871ee,1,200,258912,27.458,1153.895,224381
1787863151168,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/79d8c72ca3c86e88,1,200,259454,55.816,1209.561,214503
1787863152015,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/?crawl=4,0,200,409410,19.899,478.658,855328
1787863152322,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/17/9c63cfdd511fbcec,2,200,15517,126.129,196.079,79136
1787863152322,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/9c63d0dd511fbe9f,2,200,114096,140.382,1072.602,106373
1787863153015,e8623d64-28fe-07e6-f237-3df27f9381e3,/?crawl=5,0,200,174453,35.274,390.388,446870
1787863152494,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/4/a0ad73e7ccfe5e14,1,200,279284,89.621,1018.269,274273
1787863153512,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/3/683787a5043cdfef,2,200,56671,91.145,351.602,161179
1787863152494,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/a0ad74e7ccfe5fc7,1,200,369236,89.638,1405.529,262703
1787863151144,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431c8a3863649b,1,200,362382,37.855,2769.083,130867
1787863151144,db41988a-cfeb-c354-2576-11b327b489e6,/p/0/d431d8a3863664e,1,200,458005,73.862,3112.062,147171
1787863152518,511821f3-2da6-a5dc-feba-e7a13652bfec,/p/0/1783917fe6bc5c6a,3,200,237938,154.891,1790.204,132911
1787863153512,b8635a67-275b-87ec-7bbb-a60c5f4f7f0a,/p/0/683786a5043cde3c,2,200,127492,83.756,846.794,150558
1787863151144,db41988a-cfeb-c354-2576-11b327b489e6,/p/6/d431e8a38636801,1,200,470895,184.036,3237.571,145447
1787863153405,e8623d64-28fe-07e6-f237-3df27f9381e3,/p/4/3417c94561995427,1,200,138396,123.652,984.232,140613
