t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787863698006,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/?crawl=0,0,200,142999,10.071,79.016,1809759
1787863698085,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e7e8413ef7e4,1,200,60428,14.700,104.719,577049
1787863698085,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e8e8413ef997,1,200,327262,10.490,400.894,816330
1787863698006,907ef421-22fa-5091-3bfc-f7299376b357,/?crawl=1,0,200,441633,36.250,1076.050,410421
1787863699005,7bbf17f6-aee4-afee-f19f-92f395167876,/?crawl=2,0,200,170415,38.750,415.847,409802
1787863698085,f8bb23bd-3d0b-5bdb-8e16-d25a93055de3,/p/0/5c68e9e8413efb4a,1,200,2763808,10.541,1687.131,1638170
1787863699421,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d90a36a74e0a4,1,200,268522,32.924,1383.605,194074
1787863701006,3bb48387-b4c3-198c-40c8-ff50491dd847,/?crawl=3,0,200,150264,23.635,221.721,677718
1787863701227,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e600ff0fd6b7,1,200,82164,23.116,245.336,334904
1787863701227,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/16a7e700ff0fd86a,1,200,115994,77.281,445.972,260092
1787863699421,7bbf17f6-aee4-afee-f19f-92f395167876,/p/0/833d93a36a74e5bd,1,200,352475,170.107,2332.021,151146
1787863701227,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/3/16a7e800ff0fda1d,1,200,373625,99.494,816.857,457393
1787863699082,907ef421-22fa-5091-3bfc-f7299376b357,/p/0/efd33c45d5d9ec44,1,200,393236,36.789,3010.413,130625
1787863699082,907ef421-22fa-5091-3bfc-f7299376b357,/p/0/efd33f45d5d9f15d,1,200,432866,36.878,3029.528,142882
1787863702006,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/?crawl=4,0,200,59720,80.996,348.678,171276
1787863702044,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/c5b28e3e2da2e782,2,200,349321,22.605,1682.536,207616
1787863702355,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9371eed3214b,1,200,140741,158.169,2951.664,47682
1787863702355,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/ebf9471eed322fe,1,200,259161,78.338,3531.360,73388
1787863702355,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/6/ebf9271eed31f98,1,200,400887,233.416,3643.702,110022
1787863705998,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/5/b1e4daf1e0942670,2,200,139854,2.501,327.774,426679
1787863705998,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dbf1e0942823,2,200,245638,2.443,331.419,741170
1787863705998,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/b1e4dcf1e09429d6,2,200,470031,4.831,334.819,1403837
1787863706006,8a50b563-1648-4a04-21d9-ab442e918806,/?crawl=6,0,200,203497,43.634,551.031,369303
1787863706326,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/c524923ad20189a2,3,200,318265,6.981,338.451,940357
1787863706006,903b88a3-81b1-b559-2c64-b9b84099c443,/?crawl=5,0,200,375573,52.479,1252.062,299964
1787863707006,2fc881b1-4965-0c90-c64c-31e359409e84,/?crawl=9,0,200,207835,45.041,580.576,357980
1787863706557,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943b2d18090858,1,200,202787,37.678,1145.114,177089
1787863707006,2a21400b-c481-8e9a-a6bb-9c49d4e1f2a3,/?crawl=8,0,200,488268,161.638,1128.652,432612
1787863707005,ae6694b7-fc85-ee7a-7564-72a9cce93f2f,/?crawl=7,0,200,489480,47.568,1497.120,326948
1787863707258,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/a229e9cf836e1911,1,200,141680,49.838,1296.713,109261
1787863706557,8a50b563-1648-4a04-21d9-ab442e918806,/p/0/35943e2d18090d71,1,200,291192,168.386,2066.418,140916
1787863706326,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/c524913ad20187ef,3,200,6260140,7.268,2590.789,2416306
1787863702044,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/2/c5b28c3e2da2e41c,2,200,2275594,108.337,7025.152,323921
1787863706326,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/4/c524933ad2018b55,3,200,5247872,7.588,2809.884,1867647
1787863709136,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/58fe3ee887313b24,4,200,47665,1.181,25.016,1905389
1787863709136,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/3/58fe40e887313e8a,4,200,375519,5.700,201.370,1864817
1787863709136,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/58fe41e88731403d,4,200,383003,13.899,202.421,1892113
1787863709070,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/1/6ca729cb65226f3a,3,200,62351,102.564,368.742,169091
1787863709337,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/2e96dcb8bd5f180e,5,200,190307,21.927,169.688,1121514
1787863709337,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/2/2e96ddb8bd5f19c1,5,200,372240,11.649,252.677,1473184
1787863709590,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/7c754208d6d5bcca,6,200,62088,21.264,77.085,805453
1787863709590,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/1/7c754008d6d5b964,6,200,90087,21.236,93.569,962790
1787863709006,119cccf6-b622-2b36-4137-bad4717c613d,/?crawl=11,0,200,245185,43.483,717.860,341550
1787863709006,76683c64-5474-e38f-933a-17abba50e1e0,/?crawl=12,0,200,462897,31.672,931.395,496993
1787863707586,2fc881b1-4965-0c90-c64c-31e359409e84,/p/3/5480925931023d5f,1,200,321006,59.778,2525.042,127129
1787863709590,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/7c754108d6d5bb17,6,200,339544,21.173,764.828,443948
1787863707586,2fc881b1-4965-0c90-c64c-31e359409e84,/p/0/54809459310240c5,1,200,341465,40.277,2781.447,122765
1787863707258,903b88a3-81b1-b559-2c64-b9b84099c443,/p/16/a229e7cf836e15ab,1,200,382506,169.851,3113.933,122837
1787863709684,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/695325a243593b8a,7,200,371617,26.752,766.845,484605
1787863709684,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/695324a2435939d7,7,200,344391,24.672,788.793,436605
1787863709684,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/695323a243593824,7,200,456731,20.965,794.932,574554
1787863709438,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/b82576af5c2cc9f4,4,200,138075,100.010,1541.532,89570
1787863709938,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/6dafc1c881c8d325,1,200,208634,57.376,1465.078,142405
1787863709337,2af96cdc-8de5-6d2c-119e-f20e21d67e40,/p/0/2e96dbb8bd5f165b,5,200,5604883,3.272,2286.559,2451230
1787863709070,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/6ca727cb65226bd4,3,200,318144,102.614,2838.362,112087
1787863711005,39e8e142-4815-2f75-c747-10f37e32d9f2,/?crawl=14,0,200,375615,45.343,1161.774,323312
1787863710372,903b88a3-81b1-b559-2c64-b9b84099c443,/p/15/3e64cab86488733e,2,200,131577,307.925,1824.127,72131
1787863709438,3bb48387-b4c3-198c-40c8-ff50491dd847,/p/0/b82579af5c2ccf0d,4,200,374752,110.002,2901.664,129151
1787863710372,903b88a3-81b1-b559-2c64-b9b84099c443,/p/0/3e64cbb8648874f1,2,200,126338,354.966,2036.142,62048
1787863709938,76683c64-5474-e38f-933a-17abba50e1e0,/p/0/6dafbec881c8ce0c,1,200,415677,122.845,2601.622,159776
1787863710112,2fc881b1-4965-0c90-c64c-31e359409e84,/p/2/72340ab0ecda1edc,2,200,233043,275.422,2634.199,88468
1787863699082,907ef421-22fa-5091-3bfc-f7299376b357,/p/2/efd33d45d5d9edf7,1,200,4631464,145.152,13781.014,336076
1787863713005,03a6195b-c455-eb8f-4b2d-0000cbc5c95b,/?crawl=16,0,200,75587,53.063,289.661,260950
