t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787868968192,c6789286-eee5-c372-cc5a-47b7ba66165b,/?crawl=1,0,200,197921,60.227,841.279,235262
1787868969033,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/8e7ed8d2595dbd19,1,200,89288,61.122,626.874,142434
1787868969033,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/3/8e7ed6d2595db9b3,1,200,43550,211.116,745.561,58412
1787868969779,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/e2d88f224f62989e,2,200,61999,361.466,1261.060,49164
1787868969779,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/e2d88e224f6296eb,2,200,131644,302.223,2334.221,56397
1787868969033,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/8e7ed5d2595db800,1,200,364740,270.414,4037.473,90339
1787868972193,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/?crawl=6,0,200,374445,40.955,1003.585,373107
1787868973192,0540dbf6-2aa6-0604-750c-832619c2630a,/?crawl=8,0,200,250982,50.018,824.079,304561
1787868973196,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/6/6f9281a640648812,1,200,130322,37.314,986.955,132045
1787868974192,fda67953-d93d-a56e-0db5-f5665b73b72b,/?crawl=11,0,200,226800,39.499,611.922,370635
1787868974804,fda67953-d93d-a56e-0db5-f5665b73b72b,/p/0/227bb8e98f56f2e0,1,200,60174,38.314,344.753,174542
1787868974183,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/24e913536aef2666,2,200,100494,194.960,1121.110,89638
1787868974192,0b6fc54b-f1fa-e33e-be60-3f7989d60c42,/?crawl=10,0,200,500890,43.869,1492.241,335663
1787868974183,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/5/24e914536aef2819,2,200,127223,213.214,1814.633,70109
1787868973196,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/6f9282a6406489c5,1,200,327006,75.866,3218.010,101617
1787868974192,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/?crawl=12,0,200,517511,82.515,2451.016,211141
1787868976643,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11648bfabbfe80,1,200,35248,47.432,164.369,214445
1787868974804,fda67953-d93d-a56e-0db5-f5665b73b72b,/p/0/227bbbe98f56f7f9,1,200,384623,38.208,2100.591,183102
1787868974016,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/96672d61699a75eb,1,200,290880,139.622,2923.976,99481
1787868974804,fda67953-d93d-a56e-0db5-f5665b73b72b,/p/0/227bbae98f56f646,1,200,384942,76.853,2199.536,175011
1787868974016,0540dbf6-2aa6-0604-750c-832619c2630a,/p/1/96672c61699a7438,1,200,358218,47.223,3133.686,114312
1787868975998,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/5857ca6fd91aca21,3,200,62609,209.313,1235.627,50670
1787868977192,db9eede0-5493-7944-f1b6-b835f3de1b1e,/?crawl=16,0,200,6673,79.245,79.349,84097
1787868973196,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/6f927fa6406484ac,1,200,397522,115.936,4620.324,86038
1787868976193,816f8d4b-1eba-525b-c25e-4d07725b6ae8,/?crawl=14,0,200,376935,65.250,1664.044,226518
1787868974016,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/96672e61699a779e,1,200,412602,163.355,3866.397,106715
1787868971192,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/?crawl=5,0,200,236610,303.582,6752.584,35040
1787868977150,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/bb5e9c670369765e,2,200,59463,289.355,1081.748,54969
1787868977150,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/bb5e9b67036974ab,2,200,102427,312.016,1175.720,87119
1787868976643,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11658bfabc0033,1,200,269086,140.158,1974.478,136282
1787868971192,2f8068c0-55c8-dfbd-1445-563ded741404,/?crawl=3,0,200,5913444,22.624,7432.778,795590
1787868977945,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282b48abc9904c,1,200,8283,328.676,1537.662,5387
1787868976643,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11678bfabc0399,1,200,508410,164.422,3210.114,158378
1787868971192,0796e1a3-bc62-a5dd-2a15-653d23e791a2,/?crawl=4,0,200,5464474,24.664,8728.434,626054
1787868977271,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/0/dcbabd024d27dbe5,1,200,199111,77.598,2663.706,74750
1787868974183,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/24e912536aef24b3,2,200,491492,253.216,5983.960,82135
1787868975998,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/5857c76fd91ac508,3,200,427723,227.742,4359.522,98112
1787868980192,d751c667-6446-8e30-2fee-d5c863c2e2a6,/?crawl=18,0,200,227709,15.432,202.772,1122983
1787868977271,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/5/dcbabb024d27d87f,1,200,246063,420.451,3724.997,66057
1787868979920,0796e1a3-bc62-a5dd-2a15-653d23e791a2,/p/0/48bdd7eb172e9d9f,1,200,263518,133.278,1081.895,243571
1787868980395,d751c667-6446-8e30-2fee-d5c863c2e2a6,/p/0/5138ba33c8c99b3e,1,200,214375,38.322,733.373,292314
1787868973192,afc07b12-cac8-de54-061e-b317e119faa7,/?crawl=7,0,200,5184695,25.074,8093.672,640586
1787868980395,d751c667-6446-8e30-2fee-d5c863c2e2a6,/p/0/5138bb33c8c99cf1,1,200,454910,63.417,967.061,470405
1787868979920,0796e1a3-bc62-a5dd-2a15-653d23e791a2,/p/0/48bdd8eb172e9f52,1,200,324331,33.255,1478.941,219299
1787868968192,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/?crawl=0,0,200,3054868,69.961,13317.384,229389
1787868981509,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/1/fb148174c4c2c3a0,1,200,257771,3.020,321.247,802407
1787868981831,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/0/7a4bc8078238087a,2,200,5107,322.176,324.075,15759
1787868981831,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/0/7a4bc707823806c7,2,200,119332,323.531,328.486,363279
1787868981286,afc07b12-cac8-de54-061e-b317e119faa7,/p/2/2fcd703d4ff7e25,1,200,214088,111.444,1044.050,205055
1787868982192,d7cdd0b0-c416-db62-5e77-eedb9ba6a935,/?crawl=20,0,200,70006,45.779,208.411,335903
1787868982192,fafbe36d-7a51-22f4-494b-e9f14af0912c,/?crawl=22,0,200,51430,59.621,234.369,219440
1787868982192,a5b39edd-29ba-606f-dfb5-f2901c4a1d90,/?crawl=21,0,200,86396,49.946,298.899,289047
1787868977945,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282c48abc991ff,1,200,95329,1537.678,4973.993,19165
1787868977857,816f8d4b-1eba-525b-c25e-4d07725b6ae8,/p/0/38f63bd765dc13f,1,200,422955,62.370,5232.258,80836
1787868982426,fafbe36d-7a51-22f4-494b-e9f14af0912c,/p/5/15013242116ae4dc,1,200,59815,114.585,783.539,76340
