t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787869485936,c6789286-eee5-c372-cc5a-47b7ba66165b,/?crawl=1,0,200,197921,34.903,477.332,414641
1787869486413,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/3/8e7ed6d2595db9b3,1,200,43550,34.039,283.169,153795
1787869486413,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/8e7ed8d2595dbd19,1,200,89288,34.078,470.792,189655
1787869486696,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/e2d88f224f62989e,2,200,61999,203.138,768.922,80631
1787869486696,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/e2d88e224f6296eb,2,200,131644,203.156,1274.726,103272
1787869486413,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/8e7ed5d2595db800,1,200,364740,85.083,2386.770,152817
1787869488936,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/?crawl=5,0,200,236610,32.240,485.311,487543
1787869489422,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282b48abc9904c,1,200,8283,28.821,44.953,184258
1787869489422,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282c48abc991ff,1,200,95329,44.945,358.964,265567
1787869489422,734bf6c5-82f1-8c52-2c06-ab1930954c2a,/p/0/dc282e48abc99565,1,200,187437,72.495,613.769,305387
1787869490936,0540dbf6-2aa6-0604-750c-832619c2630a,/?crawl=8,0,200,250982,36.232,611.553,410401
1787869489936,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/?crawl=6,0,200,374445,76.043,1799.522,208080
1787869491936,0b6fc54b-f1fa-e33e-be60-3f7989d60c42,/?crawl=10,0,200,500890,26.415,896.851,558499
1787869491936,fda67953-d93d-a56e-0db5-f5665b73b72b,/?crawl=11,0,200,226800,68.470,1070.296,211904
1787869491936,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/?crawl=12,0,200,517511,48.908,1673.046,309323
1787869493006,fda67953-d93d-a56e-0db5-f5665b73b72b,/p/0/227bb8e98f56f2e0,1,200,60174,67.693,670.446,89752
1787869491735,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/6/6f9281a640648812,1,200,130322,310.927,2207.048,59048
1787869491547,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/96672d61699a75eb,1,200,290880,35.187,2496.155,116531
1787869491547,0540dbf6-2aa6-0604-750c-832619c2630a,/p/1/96672c61699a7438,1,200,358218,105.737,2496.205,143505
1787869491547,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/96672e61699a779e,1,200,412602,35.211,2565.389,160834
1787869493609,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11648bfabbfe80,1,200,35248,161.870,784.429,44935
1787869494043,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/bb5e9c670369765e,2,200,59463,120.959,365.958,162486
1787869486696,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/2/e2d88d224f629538,2,200,4916375,187.542,7959.135,617702
1787869494043,0540dbf6-2aa6-0604-750c-832619c2630a,/p/0/bb5e9b67036974ab,2,200,102427,173.188,870.340,117686
1787869494936,db9eede0-5493-7944-f1b6-b835f3de1b1e,/?crawl=16,0,200,6673,82.171,82.274,81107
1787869493936,816f8d4b-1eba-525b-c25e-4d07725b6ae8,/?crawl=14,0,200,376935,47.625,1207.501,312161
1787869493609,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11658bfabc0033,1,200,269086,276.029,2420.302,111179
1787869493006,fda67953-d93d-a56e-0db5-f5665b73b72b,/p/0/227bbbe98f56f7f9,1,200,384623,169.060,3481.393,110480
1787869493942,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/24e913536aef2666,2,200,100494,344.738,2758.456,36431
1787869493609,65a1d94b-66ed-13be-de6f-e88bc1a1c953,/p/0/8f11678bfabc0399,1,200,508410,70.378,3162.209,160777
1787869491735,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/6f9282a6406489c5,1,200,327006,69.198,5106.639,64035
1787869493006,fda67953-d93d-a56e-0db5-f5665b73b72b,/p/0/227bbae98f56f646,1,200,384942,201.489,3849.893,99988
1787869494655,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/1/a077d0bef31e8ebb,3,200,485148,2.120,2666.143,181966
1787869494655,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/a077cfbef31e8d08,3,200,517897,2.812,2667.295,194166
1787869493942,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/5/24e914536aef2819,2,200,127223,378.953,3690.907,34469
1787869485936,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/?crawl=0,0,200,3054868,56.230,11962.386,255373
1787869497936,d751c667-6446-8e30-2fee-d5c863c2e2a6,/?crawl=18,0,200,227709,18.598,239.994,948811
1787869495018,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/0/dcbabd024d27dbe5,1,200,199111,437.582,3642.478,54664
1787869498176,d751c667-6446-8e30-2fee-d5c863c2e2a6,/p/0/5138ba33c8c99b3e,1,200,214375,16.815,523.067,409842
1787869498176,d751c667-6446-8e30-2fee-d5c863c2e2a6,/p/0/5138bb33c8c99cf1,1,200,454910,32.646,903.981,503229
1787869491735,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/6f927fa6406484ac,1,200,397522,69.197,7379.199,53871
1787869495018,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/5/dcbabb024d27d87f,1,200,246063,477.690,4125.715,59641
1787869497322,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/82b196a04ec0c9db,4,200,184084,430.684,1835.857,100271
1787869497633,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/5857ca6fd91aca21,3,200,62609,344.011,1757.611,35622
1787869495143,816f8d4b-1eba-525b-c25e-4d07725b6ae8,/p/0/38f63bd765dc13f,1,200,422955,46.013,4273.960,98961
1787869492936,246dd1d1-dcf5-ae2e-8e43-d673c31d2cc9,/?crawl=13,0,200,4369375,25.936,7038.682,620766
1787869499936,d7cdd0b0-c416-db62-5e77-eedb9ba6a935,/?crawl=20,0,200,70006,28.027,152.149,460113
1787869499936,a5b39edd-29ba-606f-dfb5-f2901c4a1d90,/?crawl=21,0,200,86396,33.584,209.196,412991
1787869499936,fafbe36d-7a51-22f4-494b-e9f14af0912c,/?crawl=22,0,200,51430,54.615,216.610,237431
1787869497898,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/1/fb148174c4c2c3a0,1,200,257771,188.302,2734.139,94279
1787869499936,fd8bdc4e-41c3-6dde-a614-89bff238159a,/?crawl=19,0,200,438360,29.242,808.712,542047
1787869500632,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/0/7a4bc8078238087a,2,200,5107,271.008,325.529,15688
1787869500152,fafbe36d-7a51-22f4-494b-e9f14af0912c,/p/5/15013242116ae4dc,1,200,59815,253.166,820.540,72897
1787869500152,fafbe36d-7a51-22f4-494b-e9f14af0912c,/p/0/15013442116ae842,1,200,63066,253.233,873.194,72224
1787869493942,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/24e912536aef24b3,2,200,491492,481.521,7655.540,64201
1787869499975,246dd1d1-dcf5-ae2e-8e43-d673c31d2cc9,/p/0/fba7102e66210a20,1,200,329436,90.651,1701.735,193588
1787869497322,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/82b197a04ec0cb8e,4,200,520629,430.802,4443.071,117178
1787869495018,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/0/dcbaba024d27d6cc,1,200,471360,84.422,7296.878,64597
1787869499144,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/4/9d389a84e7229d94,2,200,138979,394.586,3249.851,42765
1787869500632,f9e5932f-40b9-c2d5-41d0-2cbf17a9d4d5,/p/0/7a4bc707823806c7,2,200,119332,270.980,1981.490,60223
1787869501936,ca2dbe61-a831-a7b7-e63a-8b80520a8400,/?crawl=23,0,200,289843,78.204,1544.749,187631
1787869499144,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/0/9d389c84e722a0fa,2,200,188902,472.810,4366.220,43264
1787869503480,ca2dbe61-a831-a7b7-e63a-8b80520a8400,/p/0/a86b899fa605de55,1,200,5203,78.512,78.567,66224
1787869502936,0a1db9c5-3dfd-034f-64c8-04d194e0eada,/?crawl=24,0,200,412276,27.988,694.545,593591
1787869497633,628d1fd3-3a53-86b2-b54f-29d90dce1fd6,/p/0/5857c76fd91ac508,3,200,427723,343.944,6099.722,70122
1787869498176,d751c667-6446-8e30-2fee-d5c863c2e2a6,/p/0/5138b933c8c9998b,1,200,5338906,16.949,5593.400,954501
1787869503936,20c75a52-8ddf-07b3-abbb-beb1dbc86069,/?crawl=25,0,200,189523,35.609,474.383,399515
1787869503630,0a1db9c5-3dfd-034f-64c8-04d194e0eada,/p/0/ee2c8786e834f8b6,1,200,204009,96.569,1119.403,182248
1787869500973,fafbe36d-7a51-22f4-494b-e9f14af0912c,/p/0/3ba7c84d36ad15a3,2,200,256290,258.056,3906.195,65611
1787869504410,20c75a52-8ddf-07b3-abbb-beb1dbc86069,/p/3/8196dce47ccfeec9,1,200,125767,107.404,573.100,219450
1787869504984,20c75a52-8ddf-07b3-abbb-beb1dbc86069,/p/0/277cb1cd29fd859,2,200,33021,169.732,541.185,61016
1787869503630,0a1db9c5-3dfd-034f-64c8-04d194e0eada,/p/0/ee2c8886e834fa69,1,200,432068,23.968,1913.390,225813
1787869505936,f6cbfad6-8cfc-1465-1ff4-34b3eaef3e69,/?crawl=26,0,200,9711,62.517,90.519,107281
1787869500973,fafbe36d-7a51-22f4-494b-e9f14af0912c,/p/4/3ba7ca4d36ad1909,2,200,427559,311.103,5236.696,81647
1787869505936,31265d27-0f9f-f0da-f66d-4ca1f3a9620a,/?crawl=28,0,200,143033,57.667,568.667,251523
1787869499144,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/0/9d389b84e7229f47,2,200,359181,394.542,7406.582,48495
1787869502394,db9eede0-5493-7944-f1b6-b835f3de1b1e,/p/3/b54375547299b8b9,3,200,220919,436.218,4476.955,49346
1787869499974,246dd1d1-dcf5-ae2e-8e43-d673c31d2cc9,/p/0/fba7122e66210d86,1,200,2360914,23.197,7543.713,312964
1787869491936,9a777aef-ac03-39ac-5c1e-3330c1d13f94,/?crawl=9,0,200,3314678,65.459,15639.633,211941
1787869504984,20c75a52-8ddf-07b3-abbb-beb1dbc86069,/p/0/277c81cd29fd340,2,200,262986,185.207,3095.606,84955
1787869506026,f6cbfad6-8cfc-1465-1ff4-34b3eaef3e69,/p/1/c757dccbbeff0c90,1,200,197684,173.595,2184.272,90503
1787869507936,0939a4f9-6cf2-818e-1f66-5d5daadf4608,/?crawl=31,0,200,392905,15.079,317.234,1238535
1787869504984,20c75a52-8ddf-07b3-abbb-beb1dbc86069,/p/2/277c91cd29fd4f3,2,200,271656,220.998,3385.625,80238
1787869508253,0939a4f9-6cf2-818e-1f66-5d5daadf4608,/p/0/7930a68b6f39b7cb,1,200,66668,44.286,124.149,537001
1787869504410,20c75a52-8ddf-07b3-abbb-beb1dbc86069,/p/0/8196dbe47ccfed16,1,200,350075,296.851,4031.064,86844
1787869504410,20c75a52-8ddf-07b3-abbb-beb1dbc86069,/p/0/8196dae47ccfeb63,1,200,436423,33.408,4083.753,106868
1787869494655,c6789286-eee5-c372-cc5a-47b7ba66165b,/p/0/a077d2bef31e9221,3,200,3901097,2.136,13888.400,280889
1787869503630,0a1db9c5-3dfd-034f-64c8-04d194e0eada,/p/0/ee2c8586e834f550,1,200,2325855,24.045,4964.228,468523
