t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787855329396,261b4e26-604a-0c50-7d4b-0fbe13507a44,/?crawl=2,0,200,23560,50.370,97.445,241777
1787855329493,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/3/6c5a8664484d5f8c,1,200,173874,167.028,1622.295,107178
1787855331397,5343ae77-e93b-799c-bbd1-e45edeb5629d,/?crawl=3,0,200,277432,41.527,758.855,365593
1787855331116,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/2/5afec87ce6dd90c7,2,200,75207,238.468,1289.274,58333
1787855331397,4247d30b-6b75-9d97-c3f4-3e6bd740d5ea,/?crawl=4,0,200,354143,59.527,1436.005,246617
1787855332396,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/?crawl=6,0,200,196584,43.492,574.077,342435
1787855333412,3a11b4ef-75da-07b6-7148-14ef49647405,/?crawl=8,0,200,303895,25.673,545.828,556759
1787855332970,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/1eb131edf5e188f3,1,200,122181,82.821,1074.580,113701
1787855332405,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/70b02702db886c28,3,200,61862,261.621,1646.276,37577
1787855333958,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81dd0c165afdfd,1,200,43806,25.795,282.778,154913
1787855333958,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81da0c165af8e4,1,200,128407,52.083,553.464,232006
1787855333958,3a11b4ef-75da-07b6-7148-14ef49647405,/p/0/2e81dc0c165afc4a,1,200,175790,25.823,629.671,279178
1787855334396,93d11c49-21c2-e6de-4295-3d660e90c9ea,/?crawl=9,0,200,202679,20.525,251.463,806000
1787855332970,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/1eb132edf5e18aa6,1,200,303972,82.854,2201.686,138063
1787855332156,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/0/ffc4ddc1dce85905,1,200,426716,39.647,3123.445,136617
1787855332970,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/5/1eb130edf5e18740,1,200,429453,41.820,2429.338,176778
1787855332156,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/0/ffc4dac1dce853ec,1,200,412280,195.682,3405.121,121076
1787855329493,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/6c5a8764484d613f,1,200,453502,47.860,6321.393,71741
1787855331116,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/5afeca7ce6dd942d,2,200,253581,263.099,4866.668,52106
1787855328396,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/?crawl=0,0,200,410495,244.105,7616.381,53896
1787855335399,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/712de841ec1336ca,2,200,115843,40.157,1000.875,115742
1787855335396,950a1d58-391d-63fd-95b3-c256582e79c7,/?crawl=10,0,200,383665,49.812,1260.507,304374
1787855336012,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/3/932f311f71834bb2,1,200,31144,597.937,728.583,42746
1787855331116,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/5afec77ce6dd8f14,2,200,238482,286.650,5755.747,41434
1787855336012,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/932f2f1f7183484c,1,200,225309,716.008,948.494,237544
1787855336012,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/932f321f71834d65,1,200,337550,242.606,949.431,355529
1787855336741,3dcb2650-c25b-4abb-2cf4-d7897712e3a3,/p/0/8bf89f64cc295622,2,200,123043,220.870,358.249,343457
1787855332396,3be2a04b-f23d-8f2f-1b70-7cacfdaf1969,/?crawl=7,0,200,2840506,28.138,5170.873,549328
1787855328396,b7f5decf-860e-9512-d124-7c8be3f96e06,/?crawl=1,0,200,2714290,51.122,9297.273,291945
1787855335399,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/4/712de941ec13387d,2,200,396206,61.196,2652.920,149347
1787855337693,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/7/2699867d061e41c5,1,200,62989,124.771,628.509,100220
1787855335399,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/712de741ec133517,2,200,514494,143.321,3300.733,155873
1787855339396,52d8c071-eefb-9ce5-6e83-0a62ce771785,/?crawl=13,0,200,41343,39.239,131.588,314185
1787855338052,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/23a1f04ba30d9063,3,200,152676,203.821,1492.640,102286
1787855339528,52d8c071-eefb-9ce5-6e83-0a62ce771785,/p/0/11e64bf5b0555855,1,200,8003,38.040,55.578,143996
1787855332396,e5400e04-7477-8a67-1337-3a673c0bd1d7,/?crawl=5,0,200,6013817,49.366,7220.889,832836
1787855338052,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/23a1f14ba30d9216,3,200,136629,223.129,1616.368,84528
1787855339617,e5400e04-7477-8a67-1337-3a673c0bd1d7,/p/0/d8f02f06b3b26613,1,200,472577,1.762,284.184,1662927
1787855338396,43e5491c-ce99-6b65-40af-09dea6070fd9,/?crawl=12,0,200,441391,55.486,1602.007,275524
1787855338052,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/3/23a1ef4ba30d8eb0,3,200,301283,244.602,1989.422,151442
1787855337693,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/0/2699847d061e3e5f,1,200,223830,49.085,2819.423,79389
1787855339617,e5400e04-7477-8a67-1337-3a673c0bd1d7,/p/0/d8f03006b3b267c6,1,200,3613002,1.641,1110.288,3254113
1787855340042,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/2/e991ebbc960b29f9,4,200,145353,39.568,836.138,173839
1787855339617,e5400e04-7477-8a67-1337-3a673c0bd1d7,/p/0/d8f03106b3b26979,1,200,5772580,1.805,1360.768,4242148
1787855337396,12910de9-3e7a-c526-f9a6-7376d178358a,/?crawl=11,0,200,477330,114.019,3728.470,128023
1787855338322,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/6/df95664719fa8014,2,200,215279,278.043,3331.275,64624
1787855339528,52d8c071-eefb-9ce5-6e83-0a62ce771785,/p/11/11e64af5b05556a2,1,200,409396,72.609,2158.097,189702
1787855338322,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/0/df95684719fa837a,2,200,246900,252.640,4248.557,58114
1787855340042,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/e991eabc960b2846,4,200,168433,120.037,2590.789,65012
1787855341686,52d8c071-eefb-9ce5-6e83-0a62ce771785,/p/0/19200ef6b6d787f5,2,200,129242,179.132,1645.090,78562
1787855341396,4e88ba84-3d06-c2b6-e7cd-81bc55c48c5a,/?crawl=14,0,200,445205,74.335,2369.176,187916
1787855340042,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/e991e9bc960b2693,4,200,405042,39.338,4636.395,87361
1787855344396,f0a03e7f-82fc-30a1-d9c8-7e5c53830faf,/?crawl=17,0,200,134003,41.679,358.162,374140
1787855343765,4e88ba84-3d06-c2b6-e7cd-81bc55c48c5a,/p/0/30d2a221c94e8ba9,1,200,49124,332.055,1206.837,40705
1787855339998,43e5491c-ce99-6b65-40af-09dea6070fd9,/p/0/a5509f5344f04b02,1,200,500813,131.440,5109.532,98015
1787855341653,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/0/7ef213880849ba39,3,200,144372,248.355,3461.166,41712
1787855342396,a0a3f1d7-37a3-775d-4251-a3a6e306188c,/?crawl=15,0,200,196156,209.093,2814.311,69699
1787855341686,52d8c071-eefb-9ce5-6e83-0a62ce771785,/p/10/19200df6b6d78642,2,200,334903,213.138,3554.549,94218
1787855343765,4e88ba84-3d06-c2b6-e7cd-81bc55c48c5a,/p/2/30d2a021c94e8843,1,200,72670,75.611,1569.660,46297
1787855341124,12910de9-3e7a-c526-f9a6-7376d178358a,/p/0/eb11a13a871f6c2f,1,200,236578,109.899,4253.818,55615
1787855340878,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/1/45f6b65a9182a3b0,5,200,466808,245.183,5215.706,89500
1787855345210,a0a3f1d7-37a3-775d-4251-a3a6e306188c,/p/0/9d684cc434b39596,1,200,22991,218.237,932.574,24653
1787855344754,f0a03e7f-82fc-30a1-d9c8-7e5c53830faf,/p/7/c43cf57f5de97e56,1,200,200294,183.554,1641.230,122039
1787855346396,0602a3d2-8477-4085-68b3-b3597594a112,/?crawl=18,0,200,433536,22.222,565.993,765974
1787855346396,4264f45c-034a-7efe-e206-ea6242df3f5e,/?crawl=19,0,200,258829,46.686,830.007,311840
1787855346094,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/60c382418232b2ff,6,200,84386,265.741,1163.139,72550
1787855341653,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/5/7ef212880849b886,3,200,348844,272.460,5840.180,59732
1787855346094,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/60c384418232b665,6,200,115511,226.334,1766.463,65391
1787855346094,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/60c383418232b4b2,6,200,145857,226.328,1768.696,82466
1787855346962,0602a3d2-8477-4085-68b3-b3597594a112,/p/1/19cea084c0921127,1,200,179706,31.411,909.759,197531
1787855345335,4e88ba84-3d06-c2b6-e7cd-81bc55c48c5a,/p/1/79cf7170fbd7816,2,200,102402,576.838,2693.570,38017
1787855347871,0602a3d2-8477-4085-68b3-b3597594a112,/p/0/29b7316d8d022eac,2,200,39037,116.234,291.564,133888
1787855341653,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/0/7ef210880849b520,3,200,480116,324.231,6512.159,73726
1787855340878,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/45f6b85a9182a716,5,200,2347624,203.710,7409.450,316842
1787855344754,f0a03e7f-82fc-30a1-d9c8-7e5c53830faf,/p/0/c43cf67f5de98009,1,200,404960,36.238,3612.283,112106
1787855332156,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/6/ffc4dbc1dce8559f,1,200,5000947,195.686,16237.362,307990
1787855346395,f0a03e7f-82fc-30a1-d9c8-7e5c53830faf,/p/0/aa13e61df67f6e6b,2,200,155852,187.627,2007.108,77650
1787855346962,0602a3d2-8477-4085-68b3-b3597594a112,/p/0/19ce9f84c0920f74,1,200,299442,20.837,1700.196,176122
1787855347871,0602a3d2-8477-4085-68b3-b3597594a112,/p/0/29b7336d8d023212,2,200,215270,116.295,1113.861,193265
1787855346962,0602a3d2-8477-4085-68b3-b3597594a112,/p/0/19cea284c092148d,1,200,429243,20.860,2085.569,205816
1787855343765,4e88ba84-3d06-c2b6-e7cd-81bc55c48c5a,/p/0/30d29f21c94e8690,1,200,283824,149.140,5392.615,52632
1787855347872,0602a3d2-8477-4085-68b3-b3597594a112,/p/0/29b7326d8d02305f,2,200,393956,138.206,1385.737,284294
1787855347493,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/0/14059b192f984d75,4,200,96557,250.067,1774.125,54425
1787855341124,12910de9-3e7a-c526-f9a6-7376d178358a,/p/0/eb11a23a871f6de2,1,200,353068,216.794,8265.162,42718
1787855340878,c2e39ea2-1250-b8b3-7f1d-d6ca36c1bf03,/p/0/45f6b75a9182a563,5,200,4803518,203.666,8949.488,536737
1787855349396,a482b497-c598-f460-b535-253dc4b16b9c,/?crawl=21,0,200,244739,42.562,731.629,334513
1787855348028,4e88ba84-3d06-c2b6-e7cd-81bc55c48c5a,/p/0/e98c4c77095f107,3,200,78341,583.405,2334.795,33554
1787855348396,2a2c0145-8eb4-b3f9-737b-b29b1d4a0eb8,/?crawl=20,0,200,412152,75.554,2052.430,200812
1787855346395,f0a03e7f-82fc-30a1-d9c8-7e5c53830faf,/p/0/aa13e71df67f701e,2,200,402363,225.300,4114.376,97794
1787855341124,12910de9-3e7a-c526-f9a6-7376d178358a,/p/2/eb11a03a871f6a7c,1,200,449569,109.978,9385.314,47901
1787855350510,12910de9-3e7a-c526-f9a6-7376d178358a,/p/0/ad5d3b7af063c1f,2,200,15256,110.635,223.388,68294
1787855348393,5343ae77-e93b-799c-bbd1-e45edeb5629d,/p/0/ef0c85a7dd20fdf7,2,200,360370,42.125,2919.673,123428
1787855345241,52d8c071-eefb-9ce5-6e83-0a62ce771785,/p/9/9a4160efdeb6f849,3,200,457314,222.926,6099.107,74980
1787855350127,a482b497-c598-f460-b535-253dc4b16b9c,/p/0/a28c41504d2277ed,1,200,214791,37.823,1392.818,154213
1787855350128,a482b497-c598-f460-b535-253dc4b16b9c,/p/0/a28c3e504d2272d4,1,200,277918,204.356,2257.653,123100
1787855351396,25755ddd-1846-1307-4310-a25302cf36e6,/?crawl=23,0,200,398115,38.153,1014.077,392589
1787855350128,a482b497-c598-f460-b535-253dc4b16b9c,/p/10/a28c3f504d227487,1,200,352232,204.429,2495.143,141167
1787855351396,a64ffda0-3f24-4dbc-a9de-a1d5ccb93b5e,/?crawl=22,0,200,402438,45.183,1268.430,317272
1787855352623,a482b497-c598-f460-b535-253dc4b16b9c,/p/0/e19710973a64dd06,2,200,4796,40.490,60.721,78984
1787855352396,02978b64-54d5-f0f1-b237-b029f251a381,/?crawl=24,0,200,292813,22.602,400.842,730494
1787855352796,02978b64-54d5-f0f1-b237-b029f251a381,/p/0/c178967c661ba98e,1,200,131228,20.341,478.343,274339
1787855350449,2a2c0145-8eb4-b3f9-737b-b29b1d4a0eb8,/p/0/f21ebf2b88781da,1,200,238044,72.731,2857.626,83301
1787855352796,02978b64-54d5-f0f1-b237-b029f251a381,/p/2/c178947c661ba628,1,200,395487,40.616,1273.935,310445
1787855352796,02978b64-54d5-f0f1-b237-b029f251a381,/p/0/c178957c661ba7db,1,200,510573,51.859,1558.289,327650
1787855352410,25755ddd-1846-1307-4310-a25302cf36e6,/p/0/c960e80b76585d47,1,200,295501,36.842,2150.235,137427
1787855350510,12910de9-3e7a-c526-f9a6-7376d178358a,/p/1/ad5d2b7af063a6c,2,200,230117,384.421,4068.949,56554
1787855347493,b7f5decf-860e-9512-d124-7c8be3f96e06,/p/0/140598192f98485c,4,200,509727,298.819,7169.782,71094
1787855334051,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/0/70b02a02db887141,3,200,2743122,357.322,20658.860,132782
1787855352623,a482b497-c598-f460-b535-253dc4b16b9c,/p/9/e1970e973a64d9a0,2,200,399798,40.515,2188.718,182663
1787855354070,02978b64-54d5-f0f1-b237-b029f251a381,/p/0/d558cb4b4c6c596c,2,200,213089,111.756,869.516,245066
1787855354070,02978b64-54d5-f0f1-b237-b029f251a381,/p/1/d558cc4b4c6c5b1f,2,200,172711,131.883,899.196,192073
1787855352410,25755ddd-1846-1307-4310-a25302cf36e6,/p/0/c960e90b76585efa,1,200,361588,147.768,2571.556,140611
1787855332405,261b4e26-604a-0c50-7d4b-0fbe13507a44,/p/1/70b02802db886ddb,3,200,4367769,237.138,22684.982,192540
1787855350449,2a2c0145-8eb4-b3f9-737b-b29b1d4a0eb8,/p/8/f21e9f2b8877e74,1,200,388169,399.886,4771.280,81355
1787855348028,4e88ba84-3d06-c2b6-e7cd-81bc55c48c5a,/p/0/e98c3c77095ef54,3,200,334091,473.599,7291.453,45820
1787855352410,25755ddd-1846-1307-4310-a25302cf36e6,/p/3/c960ea0b765860ad,1,200,491394,36.735,2938.983,167199
1787855354396,6bc88d0b-24fd-1322-7fd0-c7c18edeeeff,/?crawl=25,0,200,406680,45.787,1276.627,318558
