t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787905987730,99c5119e-69b6-df31-d497-e801a8e4faec,/?crawl=2,0,200,27973,36.419,85.021,329015
1787905988730,a171fcac-f691-8af3-f13b-08c3ca9d8a09,/?crawl=3,0,200,244126,17.700,252.062,968516
1787905988730,90ed1c25-9021-447c-eb85-53f34f9e58b2,/?crawl=5,0,200,103138,55.919,490.251,210378
1787905988730,56d3aeef-5534-d227-8053-bb282bac9ad2,/?crawl=4,0,200,309328,62.229,1261.389,245228
1787905989730,2f620a10-e898-7df5-5c5d-d659db1f523c,/?crawl=6,0,200,444863,26.634,802.745,554178
1787905990532,2f620a10-e898-7df5-5c5d-d659db1f523c,/p/0/ba524953db08d2a3,1,200,44439,24.334,169.440,262270
1787905989991,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/11/937da098b1d2e9e3,1,200,169289,78.194,1667.914,101497
1787905989220,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/0/134c3b1d37f583,1,200,393026,56.092,4238.151,92735
1787905991659,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/8f2c86a0eb793683,2,200,119741,381.020,2680.707,44668
1787905993730,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/?crawl=9,0,200,283619,33.690,619.419,457879
1787905993730,9a14ab57-6136-a861-9270-530d55827fd8,/?crawl=8,0,200,186585,48.219,683.558,272962
1787905993730,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/?crawl=10,0,200,408170,32.899,874.636,466674
1787905994604,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/f1f68159fd03382a,1,200,8369,29.228,43.049,194408
1787905994730,d828a9cb-ad94-c44a-2b73-79ad15446319,/?crawl=14,0,200,483878,8.094,199.596,2424281
1787905994929,d828a9cb-ad94-c44a-2b73-79ad15446319,/p/0/a44d2ae3aa975e2b,1,200,71856,15.893,128.728,558201
1787905994730,d32b69ad-48c7-59f9-dfdd-8241e725234c,/?crawl=12,0,200,122538,60.306,512.745,238984
1787905994929,d828a9cb-ad94-c44a-2b73-79ad15446319,/p/16/a44d29e3aa975c78,1,200,361087,31.955,346.313,1042660
1787905989991,56d3aeef-5534-d227-8053-bb282bac9ad2,/p/0/937d9f98b1d2e830,1,200,317725,121.240,5412.324,58704
1787905994349,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/p/0/e90f4b9e147b7cb4,1,200,180631,90.071,1268.745,142370
1787905995276,d828a9cb-ad94-c44a-2b73-79ad15446319,/p/0/8ba7104b0c1b384a,2,200,243082,32.036,409.461,593664
1787905994604,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/6/f1f67f59fd0334c4,1,200,270997,99.826,1103.344,245614
