t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787908037989,8391ccf6-cadc-0903-6c3b-9a115727777f,/?crawl=1,0,200,302172,24.311,443.067,682001
1787908038989,99c5119e-69b6-df31-d497-e801a8e4faec,/?crawl=2,0,200,27973,32.675,79.093,353672
1787908038432,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca1b16fa3cdcf,1,200,285819,65.434,1215.943,235060
1787908038432,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca0b16fa3cc1c,1,200,388527,54.696,1624.866,239113
1787908038432,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca2b16fa3cf82,1,200,437248,22.255,1626.453,268835
1787908039990,90ed1c25-9021-447c-eb85-53f34f9e58b2,/?crawl=5,0,200,103138,36.696,85.896,1200731
1787908039990,a171fcac-f691-8af3-f13b-08c3ca9d8a09,/?crawl=3,0,200,244126,70.295,716.317,340807
1787908040076,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/0/134c3b1d37f583,1,200,393026,74.489,889.431,441885
1787908040990,2f620a10-e898-7df5-5c5d-d659db1f523c,/?crawl=6,0,200,444863,38.560,1162.888,382550
1787908042153,2f620a10-e898-7df5-5c5d-d659db1f523c,/p/0/ba524953db08d2a3,1,200,44439,39.287,227.608,195244
1787908040076,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/0/134d3b1d37f736,1,200,2368671,74.619,3404.518,695743
1787908044990,9a14ab57-6136-a861-9270-530d55827fd8,/?crawl=8,0,200,186585,35.199,430.144,433774
1787908044990,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/?crawl=9,0,200,283619,26.841,440.099,644444
1787908040076,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/6/134b3b1d37f3d0,1,200,5355524,23.714,5454.899,981782
1787908044990,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/?crawl=10,0,200,408170,24.686,698.405,584432
1787908045688,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/f1f68159fd03382a,1,200,8369,28.665,40.399,207161
