t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787910079828,8391ccf6-cadc-0903-6c3b-9a115727777f,/?crawl=1,0,200,302172,36.539,694.664,434990
1787910080827,99c5119e-69b6-df31-d497-e801a8e4faec,/?crawl=2,0,200,27973,77.280,188.232,148609
1787910080522,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca0b16fa3cc1c,1,200,388527,34.530,915.140,424555
1787910080522,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca1b16fa3cdcf,1,200,285819,101.005,1320.508,216446
1787910080522,8391ccf6-cadc-0903-6c3b-9a115727777f,/p/0/4dbca2b16fa3cf82,1,200,437248,36.635,1652.005,264677
1787910081827,a171fcac-f691-8af3-f13b-08c3ca9d8a09,/?crawl=3,0,200,244126,43.068,739.422,330158
1787910081827,90ed1c25-9021-447c-eb85-53f34f9e58b2,/?crawl=5,0,200,103138,121.434,953.812,108132
1787910082827,2f620a10-e898-7df5-5c5d-d659db1f523c,/?crawl=6,0,200,444863,50.298,1537.012,289434
1787910084364,2f620a10-e898-7df5-5c5d-d659db1f523c,/p/0/ba524953db08d2a3,1,200,44439,243.192,613.060,72487
1787910083827,1b2a4302-396a-16af-5c92-03547010d29c,/?crawl=7,0,200,3659721,23.086,3344.862,1094132
1787910087172,1b2a4302-396a-16af-5c92-03547010d29c,/p/0/26e7f6f6466de1a9,1,200,108512,2.041,28.439,3815555
1787910086827,9a14ab57-6136-a861-9270-530d55827fd8,/?crawl=8,0,200,186585,32.042,388.163,480687
1787910087172,1b2a4302-396a-16af-5c92-03547010d29c,/p/2/26e7f5f6466ddff6,1,200,310344,3.484,154.112,2013753
1787910086827,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/?crawl=9,0,200,283619,32.881,615.439,460840
1787910087326,1b2a4302-396a-16af-5c92-03547010d29c,/p/1/f488642b549aed93,2,200,318337,19.881,343.081,927878
1787910087326,1b2a4302-396a-16af-5c92-03547010d29c,/p/0/f488662b549af0f9,2,200,312090,20.194,343.625,908229
1787910087326,1b2a4302-396a-16af-5c92-03547010d29c,/p/0/f488632b549aebe0,2,200,289772,19.836,344.508,841119
1787910082781,90ed1c25-9021-447c-eb85-53f34f9e58b2,/p/0/134c3b1d37f583,1,200,393026,237.863,5173.146,75974
1787910087827,d32b69ad-48c7-59f9-dfdd-8241e725234c,/?crawl=12,0,200,122538,22.278,167.550,731353
1787910086827,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/?crawl=10,0,200,408170,50.315,1377.429,296327
1787910088205,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/f1f68159fd03382a,1,200,8369,48.318,72.148,115998
1787910087443,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/p/0/e90f4b9e147b7cb4,1,200,180631,30.570,1074.596,168092
1787910087995,d32b69ad-48c7-59f9-dfdd-8241e725234c,/p/5/18cb2a15263920ea,1,200,188393,57.228,810.833,232345
1787910087827,d828a9cb-ad94-c44a-2b73-79ad15446319,/?crawl=14,0,200,483878,30.829,981.084,493207
1787910087669,1b2a4302-396a-16af-5c92-03547010d29c,/p/0/e81e40e975374da6,3,200,253077,494.057,1140.431,221913
1787910088808,d828a9cb-ad94-c44a-2b73-79ad15446319,/p/0/a44d2ae3aa975e2b,1,200,71856,29.107,304.752,235785
1787910087995,d32b69ad-48c7-59f9-dfdd-8241e725234c,/p/0/18cb2b152639229d,1,200,315971,57.248,1392.408,226924
1787910087443,bee3d183-ac7c-c0ec-20d5-0af98bee2515,/p/0/e90f4d9e147b801a,1,200,376527,30.585,1976.271,190524
1787910079828,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/?crawl=0,0,200,4787629,30.720,9918.001,482721
1787910088205,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/6/f1f67f59fd0334c4,1,200,270997,96.731,1566.345,173012
1787910087995,d32b69ad-48c7-59f9-dfdd-8241e725234c,/p/0/18cb281526391d84,1,200,452669,20.020,1912.879,236643
1787910088806,d32b69ad-48c7-59f9-dfdd-8241e725234c,/p/0/ba13d12c516c692e,2,200,263188,124.479,1370.233,192075
1787910088806,d32b69ad-48c7-59f9-dfdd-8241e725234c,/p/4/ba13cf2c516c65c8,2,200,275409,104.478,1399.127,196843
1787910088808,d828a9cb-ad94-c44a-2b73-79ad15446319,/p/16/a44d29e3aa975c78,1,200,361087,100.660,1544.769,233748
1787910089827,7111757e-9931-d305-b6ca-1f889120056e,/?crawl=16,0,200,376710,40.521,987.568,381452
1787910089771,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/5/ceb726ece20d198d,2,200,53665,246.956,1299.076,41310
1787910090827,c3233af3-6798-cd10-58ca-164c2e53f97b,/?crawl=19,0,200,199720,25.904,332.461,600731
1787910090815,7111757e-9931-d305-b6ca-1f889120056e,/p/0/cb21d29ed3cd4538,1,200,53689,38.897,407.957,131605
1787910089771,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/ceb725ece20d17da,2,200,89335,271.380,1490.160,59950
1787910091160,c3233af3-6798-cd10-58ca-164c2e53f97b,/p/0/ea0e2bcaecc67da5,1,200,53536,61.888,301.855,177357
1787910090815,7111757e-9931-d305-b6ca-1f889120056e,/p/0/cb21d59ed3cd4a51,1,200,113812,38.878,844.002,134848
1787910091827,857f40eb-84f8-f761-93f4-421390c88b0a,/?crawl=21,0,200,5719,64.299,64.366,88852
1787910091827,abfee969-8d18-cdc7-e5fe-f732f4016a26,/?crawl=20,0,200,200579,9.869,97.317,2061087
1787910086827,8ccb28f3-443e-efa1-9857-60d42e2a4b7b,/?crawl=11,0,200,4030625,21.611,5178.314,778366
1787910089746,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/0/e126f80f043ec595,1,200,400424,31.343,2294.599,174507
1787910089746,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/0/e126f50f043ec07c,1,200,359994,31.374,2353.244,152978
1787910091160,c3233af3-6798-cd10-58ca-164c2e53f97b,/p/0/ea0e29caecc67a3f,1,200,299371,24.966,1063.893,281392
1787910090815,7111757e-9931-d305-b6ca-1f889120056e,/p/3/cb21d49ed3cd489e,1,200,428874,58.795,1587.051,270233
1787910090353,d828a9cb-ad94-c44a-2b73-79ad15446319,/p/0/8ba7104b0c1b384a,2,200,243082,156.063,2419.746,100458
1787910092402,7111757e-9931-d305-b6ca-1f889120056e,/p/0/e86f6a250eca4fe4,2,200,222125,40.196,1531.193,145067
1787910091070,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/c9e3fe9d7c936c9e,3,200,117894,500.694,3457.131,34102
1787910094827,5515c72f-40b2-f184-ff1b-ea4aa95ee51a,/?crawl=24,0,200,36950,52.477,154.096,239786
1787910087172,1b2a4302-396a-16af-5c92-03547010d29c,/p/0/26e7f3f6466ddc90,1,200,4322142,1.526,8011.108,539519
1787910092402,7111757e-9931-d305-b6ca-1f889120056e,/p/2/e86f6b250eca5197,2,200,427550,190.869,2782.039,153682
1787910092402,7111757e-9931-d305-b6ca-1f889120056e,/p/0/e86f6d250eca54fd,2,200,504887,171.652,3297.209,153126
1787910095184,7111757e-9931-d305-b6ca-1f889120056e,/p/0/db50b1c99f7faf8b,3,200,48311,191.806,628.679,76845
1787910091070,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/4/c9e3ff9d7c936e51,3,200,277666,500.615,5045.963,55027
1787910095827,94842fac-a0ca-65e9-7e11-3080fcf99d81,/?crawl=25,0,200,288429,20.271,311.863,924857
1787910089746,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/1/e126f60f043ec22f,1,200,2246616,134.506,6473.494,347048
1787910096139,94842fac-a0ca-65e9-7e11-3080fcf99d81,/p/0/803ce12b792f4a33,1,200,57364,17.421,147.631,388563
1787910095184,7111757e-9931-d305-b6ca-1f889120056e,/p/0/db50b2c99f7fb13e,3,200,217681,211.476,1535.540,141762
1787910096827,5a867274-6461-6cfd-5377-f43c304d3564,/?crawl=28,0,200,217316,31.401,419.333,518242
1787910095184,7111757e-9931-d305-b6ca-1f889120056e,/p/1/db50b3c99f7fb2f1,3,200,489090,211.486,2286.194,213932
1787910097246,5a867274-6461-6cfd-5377-f43c304d3564,/p/0/fca335ec050dc777,1,200,87547,40.986,480.750,182105
1787910096219,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/0/d9bb62d310ffe686,2,200,241746,229.335,1724.401,140191
1787910096219,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/0/d9bb63d310ffe839,2,200,210403,320.189,1875.681,112174
1787910096827,dd3108d0-e672-b95a-87a3-0f6387f152c9,/?crawl=26,0,200,441083,45.411,1279.695,344678
1787910097827,a9665421-ad30-ae1e-ed69-6e4036368fcb,/?crawl=31,0,200,191782,48.361,421.936,454528
1787910096219,e09a31d1-a55b-5bee-97eb-fdbb3e7de301,/p/0/d9bb60d310ffe320,2,200,504827,167.131,2164.341,233247
1787910094981,5515c72f-40b2-f184-ff1b-ea4aa95ee51a,/p/0/13a737890dca41f9,1,200,251605,125.870,3452.487,72876
1787910092830,4554079d-1420-510c-38ca-4f4ef1f0fdf9,/?crawl=22,0,200,2400835,50.061,5733.061,418770
1787910096116,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/3/a107968553c54d4e,4,200,164157,263.572,2599.687,63145
1787910087827,df481320-7ae2-be0a-5a04-81fa7d9caa24,/?crawl=13,0,200,5795831,30.519,11023.399,525775
1787910098851,df481320-7ae2-be0a-5a04-81fa7d9caa24,/p/0/ac357f72bad416fd,1,200,24310,2.114,2.408,10095347
1787910098249,a9665421-ad30-ae1e-ed69-6e4036368fcb,/p/3/23f5c2712b9d31c9,1,200,160818,73.055,699.232,229992
1787910089771,20bed0a1-3b3f-3aa7-097e-0ad416139e92,/p/0/ceb724ece20d1627,2,200,483248,247.022,9258.018,52198
1787910091160,c3233af3-6798-cd10-58ca-164c2e53f97b,/p/0/ea0e28caecc6788c,1,200,4629753,48.728,7922.383,584389
