t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787803705914,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,17.158,440.702,971992
1787803706354,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,16.462,391.702,353399
1787803706354,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,62.915,487.063,297522
1787803705914,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,44.023,975.452,348332
1787803706354,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,78.727,674.023,435752
1787803706913,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,192.431,664.472,325603
1787803706913,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,84.091,1039.593,168317
1787803707578,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,96.480,868.689,139472
1787803706889,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,208.651,2465.619,104418
1787803707578,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,31.259,2009.582,182450
1787803707578,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,78.915,2042.163,207500
1787803706889,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,208.670,3235.593,117960
1787803710125,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,227.689,350.541,22403
1787803709620,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863d11efa7e3b2,2,200,209838,33.178,1102.299,190364
1787803710914,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,12.777,39.434,1165041
1787803710125,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,206.535,869.020,89965
1787803709620,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863b11efa7e04c,2,200,200603,161.693,1430.396,140243
1787803707953,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,83.536,3135.125,63134
1787803710953,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,16.605,194.037,457866
1787803710953,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,10.476,321.199,632677
1787803710914,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,32.283,385.687,454205
1787803710953,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,46.310,508.230,940312
1787803711462,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,22.861,62.802,278639
1787803711462,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,27.168,72.538,407111
1787803709620,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863c11efa7e1ff,2,200,511793,161.715,2089.854,244894
1787803711524,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/1/c88446e088c7df71,3,200,161383,58.126,356.734,452390
1787803710125,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,227.720,1885.921,141605
1787803711524,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88445e088c7ddbe,3,200,206233,58.087,775.468,265947
1787803711913,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,20.083,454.212,825226
1787803711881,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310c0b95819ac25,4,200,132319,69.867,546.681,242040
1787803710914,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,56.098,1600.949,268726
1787803711300,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,59.695,1285.290,186311
1787803711462,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757c36acfce570,2,200,472450,12.022,1202.013,393049
1787803711881,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bdb95819a70c,4,200,418646,78.634,1176.892,355722
1787803711300,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,31.759,1997.192,171263
1787803707953,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,290.816,5658.543,64557
1787803712368,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/p/0/e3f6a41625d6f3a2,1,200,345850,19.884,1385.378,249643
1787803713297,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e712e84d5666890,2,200,75744,168.055,732.397,103419
1787803713913,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,48.621,166.855,265853
1787803707953,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,124.994,6396.628,79599
1787803714080,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,47.300,372.054,122286
1787803706842,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/6c7444d39f053166,2,200,2406683,85.506,7850.192,306576
1787803713297,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e713184d5666da9,2,200,264543,153.158,1569.806,168520
1787803711524,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88444e088c7dc0b,3,200,2181335,58.075,3508.554,621719
1787803714913,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,74.668,988.804,191429
1787803713297,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/7/1e713084d5666bf6,2,200,422624,168.128,2691.465,157024
1787803715913,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,53.669,381.245,269397
1787803714080,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8d056d07ffba,1,200,373483,233.299,2611.278,143027
1787803711881,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bfb95819aa72,4,200,5158746,54.049,5293.308,974579
1787803716295,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,149.718,1082.953,66901
1787803716913,1ff3bcd1-0da7-cd02-1374-522545639cba,/?crawl=15,0,200,253138,60.923,1062.377,238275
1787803715988,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e4aa8682a89c,3,200,245122,181.073,2321.180,105602
1787803717913,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/?crawl=17,0,200,279501,26.955,489.502,570990
1787803718403,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e13186012fa8,1,200,63235,25.047,264.004,239523
1787803715988,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e7aa8682adb5,3,200,419759,166.727,3303.718,127057
1787803718913,3281b132-3631-e78d-6f4e-faac523fc3a0,/?crawl=18,0,200,93626,63.916,430.933,217263
1787803717976,1ff3bcd1-0da7-cd02-1374-522545639cba,/p/0/bb153a765ccb4a4e,1,200,130243,177.571,1420.312,91700
1787803716294,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/13/4e7f8dd3f1663cfb,1,200,492286,49.563,3463.007,142156
1787803710914,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,8837.481,8954.097,6339
1787803719868,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,33.558,50.264,207644
1787803706842,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/1/6c7445d39f053319,2,200,5347595,93.234,13434.003,398064
1787803718403,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/3/e1e9e3318601330e,1,200,403277,63.246,1894.659,212849
1787803718403,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e431860134c1,1,200,403049,114.592,1971.287,204460
1787803719913,ed827d04-f232-b34f-a621-d4ff29686646,/?crawl=21,0,200,163763,84.570,942.529,173749
1787803720276,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/a623967e298e8ed0,3,200,163673,77.617,733.831,223039
1787803719868,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,50.299,1303.340,239231
1787803719344,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/3/d6385d9efa64af,1,200,94642,548.962,1983.294,47720
1787803712913,63feb0eb-2564-8058-5024-1e4cb93e9190,/?crawl=11,0,200,4393792,31.878,8424.457,521552
1787803720913,fd5674f4-7e92-846e-8aca-195ffeced01e,/?crawl=23,0,200,479752,19.324,588.198,815631
1787803709913,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,708.935,11598.709,17373
1787803719868,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,116.723,1821.505,250909
1787803720297,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/d6ca26eaec9be3bb,2,200,243600,88.964,1457.046,167188
1787803720276,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/a623987e298e9236,3,200,490579,85.942,1647.344,297800
1787803706889,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdef8a53613ac74,1,200,4623134,42.328,15059.707,306987
