t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787803196197,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,30.560,845.927,506378
1787803197197,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,21.657,247.565,706809
1787803197043,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,81.536,794.092,182488
1787803197043,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,54.991,935.435,147981
1787803196197,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,76.510,1784.606,190395
1787803197197,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,52.912,799.282,270686
1787803197444,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,19.895,659.948,299921
1787803197444,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,80.183,1143.952,319329
1787803197043,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,27.342,1748.267,167999
1787803197444,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,80.179,1428.980,356314
1787803197996,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,181.211,1371.580,88335
1787803198873,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,20.208,1802.200,269158
1787803200676,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,121.214,350.862,89454
1787803197996,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,131.089,3141.398,116715
1787803197996,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,53.106,3215.520,131782
1787803200197,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,77.534,1046.657,192519
1787803201197,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,36.138,120.873,380085
1787803200675,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,100.932,665.315,131003
