t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787811453481,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,23.868,627.199,682971
1787811454108,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,21.589,561.254,258193
1787811454108,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,32.161,593.526,233228
1787811454482,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,35.247,424.199,412498
1787811454108,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,42.380,1488.979,197254
1787811454482,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,75.949,1196.544,180816
1787811454906,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,50.291,1641.763,120561
1787811454906,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,33.011,2116.222,172617
1787811454906,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,33.001,2522.329,201863
1787811455678,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,232.373,2448.489,49483
1787811455678,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,270.613,2720.014,155789
1787811455678,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,76.671,2721.146,134740
1787811458398,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863d11efa7e3b2,2,200,209838,1.237,32.415,6473540
1787811458398,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863b11efa7e04c,2,200,200603,3.498,32.536,6165583
1787811457481,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,69.305,1043.989,193011
1787811458398,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863c11efa7e1ff,2,200,511793,3.864,209.052,2448157
1787811458481,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,36.391,151.144,375510
1787811458481,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,69.138,237.684,193290
1787811458632,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,128.170,173.209,60257
1787811458481,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,50.818,619.235,282899
1787811458718,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,64.174,991.359,89617
1787811459481,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,20.889,441.384,849212
1787811458481,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,51.365,1539.878,279384
1787811458525,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,68.203,1612.456,75198
1787811458632,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,157.785,1551.925,200911
1787811458632,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,32.713,1738.890,262830
1787811453481,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,284.923,7063.991,48100
