t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787813087540,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,42.486,931.583,364735
1787813087540,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,36.085,1103.068,388334
1787813088540,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,54.278,668.825,261625
1787813088540,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,84.662,1276.516,169488
1787813088643,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,81.652,1300.287,106459
1787813088643,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,97.685,1416.736,102286
1787813088472,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,59.057,2073.832,124145
1787813088643,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,31.876,2090.828,140474
1787813088472,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,156.567,2823.570,135173
1787813089209,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,159.896,2157.124,91757
1787813089817,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,82.573,1597.076,75862
1787813091295,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,197.531,257.012,30555
1787813091541,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,28.188,241.850,833166
1787813091295,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,197.587,948.370,82437
1787813091783,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,17.894,652.333,185877
1787813092540,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,16.419,54.788,1035925
1787813092594,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,37.092,43.166,241785
1787813092540,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,28.271,99.864,460045
1787813089209,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,265.288,3441.969,106130
1787813091783,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a52ee3a7d78e,1,200,358342,50.605,885.885,404502
1787813091783,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a32ee3a7d428,1,200,404616,17.927,967.061,418398
1787813092594,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,12.431,490.368,635847
1787813092540,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,51.758,609.498,287418
1787813091295,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,236.262,1872.672,142607
1787813089209,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,52.865,3973.883,128128
1787813092640,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,29.001,565.780,157028
1787813092594,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,48.986,638.165,716165
1787813092640,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,29.029,953.385,213151
1787813092640,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,87.363,1515.015,315439
1787813094155,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,55.207,99.676,175558
1787813094155,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,26.822,157.073,188008
1787813093540,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,32.473,814.755,460050
