t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787813604331,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,49.806,1414.164,302906
1787813605330,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,51.256,599.556,291851
1787813605745,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,47.344,1395.300,99209
1787813605745,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,117.734,1513.057,95774
1787813605930,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,48.742,1567.703,126256
1787813605745,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,47.300,2272.403,129250
1787813604331,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,172.892,4172.425,81435
1787813608331,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,32.575,414.808,485770
1787813605930,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,48.852,3125.365,116881
1787813608745,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,29.298,612.779,197876
1787813605930,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,167.745,3503.568,145328
1787813609331,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,54.570,186.157,246792
1787813609331,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,47.262,206.847,274386
1787813609537,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,91.545,137.718,75785
1787813609330,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,56.642,668.502,262050
1787813605330,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,267.791,4880.462,44331
1787813609517,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,52.911,735.687,120762
1787813608745,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a52ee3a7d78e,1,200,358342,29.300,1728.481,207316
1787813608745,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a32ee3a7d428,1,200,404616,29.331,1830.311,221064
1787813609517,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,105.168,1683.541,120707
1787813609538,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,183.362,2262.426,137816
1787813609538,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,46.082,2467.045,185255
1787813609330,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,69.223,2747.172,156604
1787813609517,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,183.363,2826.758,169061
1787813612344,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,77.935,178.909,97810
1787813612344,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,78.208,289.476,102015
1787813612337,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,100.143,311.352,142472
1787813609999,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,351.489,2673.072,89584
1787813609999,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,243.242,3767.143,90797
1787813612648,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,70.577,1124.553,40458
1787813613330,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,102.363,808.210,234204
1787813614331,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,53.822,395.981,259371
1787813613766,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e712e84d5666890,2,200,75744,315.922,1086.546,69711
1787813609434,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,47.313,5537.171,87604
1787813612523,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/1/c88446e088c7df71,3,200,161383,503.759,2809.432,57443
1787813612648,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8d056d07ffba,1,200,373483,353.296,2836.639,131664
1787813612523,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88445e088c7ddbe,3,200,206233,345.482,2967.155,69505
1787813614971,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,251.463,628.514,49937
1787813614727,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,160.078,971.675,74563
1787813615332,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310c0b95819ac25,4,200,132319,288.583,582.431,227184
1787813612344,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757c36acfce570,2,200,472450,178.907,3653.556,129312
1787813615332,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bdb95819a70c,4,200,418646,262.339,674.325,620837
1787813614971,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,302.169,1369.839,63626
1787813615330,1ff3bcd1-0da7-cd02-1374-522545639cba,/?crawl=15,0,200,253138,64.117,1113.659,227303
1787813612523,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88444e088c7dc0b,3,200,2181335,320.878,4178.045,522095
1787813612648,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/1/c2fd8e056d08016d,1,200,6079367,839.420,4185.136,1452609
1787813616834,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/1af64c81ce9ddb1d,2,200,14266,3.603,3.848,3707298
1787813616834,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/1af64981ce9dd604,2,200,373173,2.268,41.057,9089095
1787813610330,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,447.512,6554.708,57185
1787813615332,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bfb95819aa72,4,200,5158746,315.231,1702.323,3030416
1787813616444,1ff3bcd1-0da7-cd02-1374-522545639cba,/p/0/bb153a765ccb4a4e,1,200,130243,63.439,904.929,143926
1787813617330,3281b132-3631-e78d-6f4e-faac523fc3a0,/?crawl=18,0,200,93626,31.617,204.584,457640
1787813616331,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/?crawl=17,0,200,279501,76.352,1422.180,196530
1787813616834,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/1af64b81ce9dd96a,2,200,2938020,3.765,1019.694,2881275
1787813617535,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/3/d6385d9efa64af,1,200,94642,29.893,565.180,167455
1787813613766,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e713184d5666da9,2,200,264543,290.209,4500.643,58779
1787813617753,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e13186012fa8,1,200,63235,73.910,545.211,115983
1787813610211,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,1049.660,8192.343,14789
1787813618330,ed827d04-f232-b34f-a621-d4ff29686646,/?crawl=21,0,200,163763,29.222,313.196,522876
1787813614139,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/15/2f9338a7d86d0b5a,1,200,501123,43.943,4591.027,109153
1787813614727,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/13/4e7f8dd3f1663cfb,1,200,492286,183.891,4171.180,118021
1787813614139,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/0/2f9336a7d86d07f4,1,200,510897,245.089,4858.711,105151
1787813613766,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/7/1e713084d5666bf6,2,200,422624,264.729,5273.509,80141
1787813608503,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,348.814,10545.646,24413
1787813618331,ba000cd4-e548-1dc6-ed04-22483848222c,/?crawl=22,0,200,381516,32.537,800.532,476578
1787813619131,ba000cd4-e548-1dc6-ed04-22483848222c,/p/0/312e25e328fb500c,1,200,48041,29.552,120.722,397947
1787813618644,ed827d04-f232-b34f-a621-d4ff29686646,/p/0/9dc3d485946060c5,1,200,133453,27.588,645.218,206834
1787813611330,63feb0eb-2564-8058-5024-1e4cb93e9190,/?crawl=11,0,200,4393792,25.751,8343.109,526637
1787813619131,ba000cd4-e548-1dc6-ed04-22483848222c,/p/0/312e28e328fb5525,1,200,115159,135.836,616.126,186908
1787813619674,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/6/8be8decaf371f34,1,200,131833,1.688,319.321,412855
1787813619674,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/8be8fecaf37229a,1,200,329130,11.525,337.879,974106
1787813618644,ed827d04-f232-b34f-a621-d4ff29686646,/p/0/9dc3d18594605bac,1,200,296073,122.237,1392.117,212678
1787813618644,ed827d04-f232-b34f-a621-d4ff29686646,/p/0/9dc3d28594605d5f,1,200,348179,82.203,1467.636,237238
1787813619131,ba000cd4-e548-1dc6-ed04-22483848222c,/p/0/312e27e328fb5372,1,200,430256,120.658,1248.192,344703
1787813617535,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/0/d63a5d9efa6815,1,200,342741,88.394,2856.940,119968
1787813620330,5d605fca-a4ff-8fee-584e-47beb8f0c9b4,/?crawl=25,0,200,53759,76.836,300.374,178974
1787813618730,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/14/a0c121534132ac98,2,200,75937,419.076,1929.751,39351
1787813608503,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,176.594,12641.548,30192
1787813618100,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/2/a4f0d44f7ac2882e,2,200,373296,146.017,3180.676,117364
1787813619330,fd5674f4-7e92-846e-8aca-195ffeced01e,/?crawl=23,0,200,479752,63.256,2079.405,230716
1787813618898,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/12/2059daba701f765b,2,200,151430,260.280,3101.474,48825
1787813617753,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/3/e1e9e3318601330e,1,200,403277,367.992,4260.126,94663
1787813621331,09982139-5e76-f214-cc24-4e66c50bbb4e,/?crawl=26,0,200,258138,42.611,759.379,339933
1787813621331,fe9f5242-1dee-d8c5-2769-78aba5955fb8,/?crawl=28,0,200,286360,41.024,781.064,366628
1787813617753,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e431860134c1,1,200,403049,330.495,4407.542,91445
1787813621281,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/0/e280f72fd1470076,3,200,53102,142.558,913.019,58161
1787813611330,8992b43b-4174-a0c1-16dc-9bd47c511dd8,/?crawl=10,0,200,3638840,43.220,10916.548,333332
1787813621145,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,868.072,1136.670,6909
1787813620660,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/13/fff7c9fdfee5ac87,3,200,80718,245.299,1633.853,49403
1787813618100,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/0/a4f0d24f7ac284c8,2,200,433631,161.313,4497.691,96412
1787813619993,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/43bc1812a805d245,2,200,205020,39.820,2777.692,73809
1787813619040,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e4aa8682a89c,3,200,245122,297.278,3753.596,65303
1787813622091,09982139-5e76-f214-cc24-4e66c50bbb4e,/p/5/e384d26cd68f7b26,1,200,57571,210.845,702.860,81910
1787813619993,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/5/43bc1612a805cedf,2,200,212024,23.408,2854.907,74267
1787813618898,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/2059d9ba701f74a8,2,200,246754,288.893,3957.834,62346
1787813622000,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/e30b01233a62e9f9,3,200,28191,297.772,1060.795,26575
1787813622000,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/11/e30b00233a62e846,3,200,72945,269.611,1506.875,48408
1787813617330,6ecd8cf8-f9e4-22fd-ee79-91329d872865,/?crawl=19,0,200,3882478,25.338,6211.202,625077
1787813622000,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/e30afe233a62e4e0,3,200,72564,297.812,1632.039,44462
1787813622848,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/4/f2e85ca86133d7a0,3,200,58297,255.171,950.097,61359
1787813622794,09982139-5e76-f214-cc24-4e66c50bbb4e,/p/0/6b54c514d4dd6a68,2,200,60916,238.068,1104.116,55172
1787813622330,d8034ba6-4789-5f97-4360-1ea481a9ca9b,/?crawl=29,0,200,350234,67.740,1625.304,215488
1787813622247,8992b43b-4174-a0c1-16dc-9bd47c511dd8,/p/0/9c28e54a43d218ad,1,200,197803,123.506,1908.710,103632
1787813622112,fe9f5242-1dee-d8c5-2769-78aba5955fb8,/p/0/a5ac2a14a49d1b4a,1,200,257923,216.895,2164.651,119152
1787813620660,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/0/fff7cbfdfee5afed,3,200,209611,223.041,3693.197,56756
1787813619040,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e7aa8682adb5,3,200,419759,271.606,5606.006,74877
1787813623798,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/3/6ab17e0ffc671114,4,200,80702,135.667,856.123,94265
1787813623956,d8034ba6-4789-5f97-4360-1ea481a9ca9b,/p/0/39167c7239380c44,1,200,82454,64.034,724.321,113836
1787813621281,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/1/e280f52fd146fd10,3,200,451877,156.077,3769.485,119878
1787813624654,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/6ab1800ffc67147a,4,200,25215,132.462,435.004,57965
1787813623506,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/10/66e9600c0de4b787,4,200,84736,250.102,1611.977,52567
1787813621410,fd5674f4-7e92-846e-8aca-195ffeced01e,/p/0/c4987b40bd96461f,1,200,330016,91.825,3825.010,86278
1787813621145,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,958.050,4098.780,19074
1787813621410,fd5674f4-7e92-846e-8aca-195ffeced01e,/p/0/c4987c40bd9647d2,1,200,313190,122.589,3855.085,81241
1787813622247,8992b43b-4174-a0c1-16dc-9bd47c511dd8,/p/0/9c28e24a43d21394,1,200,484523,42.216,3153.158,153663
1787813622112,fe9f5242-1dee-d8c5-2769-78aba5955fb8,/p/12/a5ac2814a49d17e4,1,200,410851,216.716,3333.592,123246
1787813621410,fd5674f4-7e92-846e-8aca-195ffeced01e,/p/3/c4987d40bd964985,1,200,313812,61.565,4101.642,76509
1787813622794,09982139-5e76-f214-cc24-4e66c50bbb4e,/p/0/6b54c814d4dd6f81,2,200,213108,217.925,2743.505,77677
1787813622848,63feb0eb-2564-8058-5024-1e4cb93e9190,/p/0/f2e85ea86133db06,3,200,259827,289.587,2779.203,93490
