t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787817413440,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,7.288,132.507,2564246
1787817413572,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,30.898,351.837,731748
1787817413572,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,7.003,410.381,930037
1787817413983,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,27.023,35.924,218601
1787817413983,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,27.089,116.655,670191
1787817413983,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,30.179,259.777,1028019
1787817413440,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,37.792,917.132,467063
1787817414357,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,3.226,192.266,719975
1787817414357,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,1.582,241.941,598956
1787817414439,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,34.790,412.054,424656
1787817414440,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,41.347,646.513,334648
1787817414357,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,1.379,1212.681,242196
1787817413572,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdef8a53613ac74,1,200,4623134,6.954,2110.383,2190661
1787817415086,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,41.171,983.462,123195
1787817414852,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,316.690,1634.959,121062
1787817414852,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,35.907,1831.949,199403
1787817414852,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,201.506,2455.938,207320
1787817415086,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,122.449,2237.592,163858
1787817415086,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,141.799,2559.968,165529
1787817417440,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,45.258,599.148,336313
1787817418441,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,55.084,189.048,243017
1787817418440,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,39.792,466.202,375762
1787817418039,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,64.759,1103.480,109883
1787817417646,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863d11efa7e3b2,2,200,209838,40.122,1599.890,131158
1787817417646,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863b11efa7e04c,2,200,200603,100.689,1720.931,116567
1787817418630,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,266.434,1143.257,77710
1787817418441,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,53.857,1523.229,282438
1787817417646,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863c11efa7e1ff,2,200,511793,60.267,2590.324,197579
1787817418630,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,52.518,1671.152,121602
1787817417308,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,33.212,3228.766,150236
1787817418907,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,130.506,1659.273,144319
1787817418039,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a32ee3a7d428,1,200,404616,43.344,2550.988,158611
1787817418039,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a52ee3a7d78e,1,200,358342,214.706,2591.944,138252
1787817420537,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,178.226,528.738,59360
1787817418907,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,36.498,2198.435,155586
1787817420536,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,178.231,837.826,104029
1787817418630,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,211.762,2926.070,163323
1787817421440,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,36.828,121.444,365262
1787817421556,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,51.725,162.476,181756
1787817421556,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,134.193,218.107,80231
1787817421561,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,101.251,287.222,158404
1787817421105,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e712e84d5666890,2,200,75744,223.449,1410.754,53690
1787817422440,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,33.202,420.106,450567
1787817423439,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,76.815,576.111,178275
1787817421561,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8d056d07ffba,1,200,373483,101.158,2505.468,149067
1787817421105,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e713184d5666da9,2,200,264543,260.226,2984.902,88627
1787817418441,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,715.091,5696.988,9962
1787817421105,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/7/1e713084d5666bf6,2,200,422624,295.345,3563.689,118592
1787817424439,1ff3bcd1-0da7-cd02-1374-522545639cba,/?crawl=15,0,200,253138,15.818,484.858,522087
1787817421774,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/1/c88446e088c7df71,3,200,161383,264.255,3289.045,49067
1787817424016,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,76.643,1161.101,62399
1787817424439,63c575a9-d481-947a-51d7-c87f17963167,/?crawl=16,0,200,416840,32.423,986.918,422366
1787817419440,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,261.795,6250.332,59969
1787817424138,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,1182.562,1555.739,6709
1787817424924,1ff3bcd1-0da7-cd02-1374-522545639cba,/p/0/bb153a765ccb4a4e,1,200,130243,98.347,771.882,168734
1787817421774,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88445e088c7ddbe,3,200,206233,317.344,4431.030,46543
1787817425440,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/?crawl=17,0,200,279501,43.971,796.681,350832
1787817422860,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/15/2f9338a7d86d0b5a,1,200,501123,45.289,3398.628,147449
1787817422860,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/0/2f9336a7d86d07f4,1,200,510897,60.752,3505.953,145723
1787817426236,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e13186012fa8,1,200,63235,41.100,266.365,237400
1787817426440,3281b132-3631-e78d-6f4e-faac523fc3a0,/?crawl=18,0,200,93626,24.140,141.582,661284
1787817426258,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/14/a0c121534132ac98,2,200,75937,152.991,805.889,94228
1787817424669,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e4aa8682a89c,3,200,245122,186.260,2419.831,101297
1787817426581,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/3/d6385d9efa64af,1,200,94642,61.405,537.284,176149
1787817414599,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/6c7444d39f053166,2,200,2406683,972.430,13345.912,180331
1787817427440,ed827d04-f232-b34f-a621-d4ff29686646,/?crawl=21,0,200,163763,62.028,718.265,227998
1787817427064,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/p/13/fff7c9fdfee5ac87,3,200,80718,170.787,1120.618,72030
1787817425063,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310c0b95819ac25,4,200,132319,426.575,3200.170,41347
1787817427440,ba000cd4-e548-1dc6-ed04-22483848222c,/?crawl=22,0,200,381516,47.468,1149.877,331788
1787817426236,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e431860134c1,1,200,403049,41.086,2413.470,167000
1787817426236,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/3/e1e9e3318601330e,1,200,403277,61.260,2454.852,164278
1787817426581,3281b132-3631-e78d-6f4e-faac523fc3a0,/p/0/d63a5d9efa6815,1,200,342741,21.535,2134.801,160549
1787817424669,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e7aa8682adb5,3,200,419759,260.552,4074.137,103030
1787817421556,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757c36acfce570,2,200,472450,189.012,7270.734,64980
1787817425063,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bdb95819a70c,4,200,418646,347.936,3766.230,111158
1787817428589,ba000cd4-e548-1dc6-ed04-22483848222c,/p/0/312e25e328fb500c,1,200,48041,129.700,497.723,96522
1787817428440,fd5674f4-7e92-846e-8aca-195ffeced01e,/?crawl=23,0,200,479752,32.255,1030.503,465551
1787817421774,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88444e088c7dc0b,3,200,2181335,291.555,7699.013,283327
1787817428589,ba000cd4-e548-1dc6-ed04-22483848222c,/p/0/312e28e328fb5525,1,200,115159,216.703,926.969,124232
1787817429440,5d605fca-a4ff-8fee-584e-47beb8f0c9b4,/?crawl=25,0,200,53759,68.488,273.768,196367
