t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787818997558,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,51.331,1110.648,305930
1787818998557,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,16.000,187.675,1152813
1787818998557,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,18.482,195.527,894918
1787818998745,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,16.140,256.953,471519
1787818998753,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,18.140,588.043,336594
1787818998745,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,42.799,699.570,524105
1787818998745,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,55.272,772.582,548484
1787818998753,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,26.041,999.609,365440
1787818998753,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,18.052,1122.581,453567
1787818999518,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863d11efa7e3b2,2,200,209838,13.798,430.012,487982
1787818999518,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863b11efa7e04c,2,200,200603,52.837,513.512,390649
1787818999518,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863c11efa7e1ff,2,200,511793,13.807,783.493,653220
1787818998668,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,139.522,2702.455,95267
1787818999875,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,18.012,1553.489,312249
1787819001429,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,79.012,186.886,167942
1787819001429,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,79.047,500.251,174229
1787818998668,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,45.012,3317.304,115054
1787819001986,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,235.928,283.683,27682
1787819001557,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,77.709,1058.968,190281
1787819002558,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,31.532,137.645,412336
1787819002558,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,40.506,140.999,325832
1787819002696,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb51d14f0ce4e1,1,200,10437,28.590,44.133,236488
1787819001986,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,258.520,920.135,84967
1787819002699,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,40.513,498.256,178308
1787819002558,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,58.418,708.805,247150
1787818997558,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,179.085,6218.191,68888
1787819002699,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,199.488,1289.255,157622
1787819002696,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4fd14f0ce17b,1,200,311799,44.142,1330.948,234268
1787819001986,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,283.690,2300.592,116081
1787819002696,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/p/0/acb4ed14f0cdfc8,1,200,457032,44.114,1596.910,286198
1787819003557,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,46.698,1115.802,335927
1787819002616,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,225.383,2082.580,58223
1787819002699,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,119.570,2118.773,225553
1787819004818,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,38.633,96.674,305469
1787819002558,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,85.463,2463.894,174609
1787819004818,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,136.320,216.293,80904
1787819005557,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,82.978,282.701,156912
1787819003267,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,54.676,2848.531,84066
1787819005840,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,79.612,479.147,94954
1787819005034,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/1/c88446e088c7df71,3,200,161383,215.339,1862.019,86671
1787819003267,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,82.066,3671.526,93162
1787819006557,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,43.539,555.290,340878
1787819002616,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a52ee3a7d78e,1,200,358342,379.322,4519.721,79284
1787819002616,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a32ee3a7d428,1,200,404616,73.932,4632.488,87343
1787819004673,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/p/0/e3f6a41625d6f3a2,1,200,345850,212.269,3230.237,107066
1787819005034,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88445e088c7ddbe,3,200,206233,196.316,2927.684,70442
1787819006938,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e712e84d5666890,2,200,75744,283.711,1075.745,70411
1787819007557,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,80.436,597.704,171834
1787819003776,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,576.461,4995.536,29008
1787819006896,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310c0b95819ac25,4,200,132319,219.607,1896.599,69766
1787819008557,63c575a9-d481-947a-51d7-c87f17963167,/?crawl=16,0,200,416840,13.408,291.088,1432007
1787819003776,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,193.192,5202.374,26608
1787819008155,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,78.903,954.474,75907
1787818999875,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/f31fec2181446a95,2,200,2997076,18.012,9371.094,319821
1787819008557,1ff3bcd1-0da7-cd02-1374-522545639cba,/?crawl=15,0,200,253138,72.834,1230.136,205780
1787819004818,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757c36acfce570,2,200,472450,116.174,5004.027,94414
