t_start_ms,client,path,depth,status,bytes,ttfb_ms,total_ms,bytes_per_s
1787818491369,3e340235-a476-afef-4a40-4f38df10a537,/?crawl=0,0,200,339781,36.506,798.472,425539
1787818492369,161b30d4-dbe2-5052-5dcb-0f971f676399,/?crawl=3,0,200,174981,38.807,488.382,358287
1787818491369,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/?crawl=1,0,200,428359,54.039,1526.763,280567
1787818492369,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/?crawl=2,0,200,216354,51.681,771.809,280321
1787818492895,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494e02caaea287,1,200,138427,50.704,1119.643,123635
1787818492167,3e340235-a476-afef-4a40-4f38df10a537,/p/0/ebdefba53613b18d,1,200,257456,165.980,2154.953,119472
1787818493140,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a51ea0cddc71a,1,200,121158,48.870,1219.656,99338
1787818492895,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/2/7f495002caaea5ed,1,200,144912,153.014,1474.430,98283
1787818492857,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a747a178bd2d,1,200,197932,114.926,1766.132,112071
1787818492167,3e340235-a476-afef-4a40-4f38df10a537,/p/1/ebdefaa53613afda,1,200,381670,67.103,2507.444,152215
1787818494675,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928700abba78355f,2,200,7853,168.577,235.331,33370
1787818492857,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/5874a447a178b814,1,200,365297,38.234,2526.623,144579
1787818494675,3e340235-a476-afef-4a40-4f38df10a537,/p/0/928701abba783712,2,200,78181,185.456,709.348,110215
1787818495369,a3113622-153a-4853-9f4b-e682800ffcd5,/?crawl=4,0,200,201501,30.177,377.712,533479
1787818492857,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/3/5874a547a178b9c7,1,200,509165,95.452,2900.299,175556
1787818492895,34b69e21-870e-7b51-cd5c-c6d7ebc990e9,/p/0/7f494f02caaea43a,1,200,293707,152.990,2997.766,97975
1787818493140,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/1/c50a4fea0cddc3b4,1,200,423749,98.430,3129.367,135410
1787818494675,3e340235-a476-afef-4a40-4f38df10a537,/p/0/9286ffabba7833ac,2,200,267056,202.571,1601.558,166748
1787818493141,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/c50a50ea0cddc567,1,200,366648,98.477,3154.465,116231
1787818495747,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a62ee3a7d941,1,200,121254,80.286,720.286,168341
1787818496369,452971bf-e875-1435-2f47-7f6c6fe20dea,/?crawl=8,0,200,175181,12.123,109.540,1599237
1787818496369,553b9ccc-860b-52b9-85ef-0d28103041fa,/?crawl=6,0,200,45942,37.319,126.339,363640
1787818496478,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c50b8913c00f5,1,200,239464,7.483,426.062,562040
1787818496478,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/8/508c4fb8913bff42,1,200,342045,27.644,572.747,597201
1787818497051,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e712e84d5666890,2,200,75744,49.144,200.394,377976
1787818495747,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a52ee3a7d78e,1,200,358342,28.234,1551.553,230957
1787818496495,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fb73ba71ed1b,1,200,88843,74.513,824.238,107788
1787818495747,a3113622-153a-4853-9f4b-e682800ffcd5,/p/0/9e35a32ee3a7d428,1,200,404616,41.399,1649.184,245343
1787818497051,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/1e713184d5666da9,2,200,264543,54.698,558.459,473702
1787818496495,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/7760fc73ba71eece,1,200,203215,38.319,1175.199,172920
1787818497051,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/7/1e713084d5666bf6,2,200,422624,54.734,693.639,609286
1787818496369,9fdb75b2-e53e-03fe-6b2c-ae349e1d4f9c,/?crawl=5,0,200,430217,50.375,1437.653,299250
1787818496270,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863b11efa7e04c,2,200,200603,50.481,1903.448,105389
1787818497745,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e4aa8682a89c,3,200,245122,43.518,533.932,459088
1787818496270,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863d11efa7e3b2,2,200,209838,100.118,2074.476,101152
1787818496495,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/3/7760fa73ba71eb68,1,200,477895,92.926,1960.447,243768
1787818498455,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/2/77757d36acfce723,2,200,17499,39.161,76.081,230005
1787818497369,b93bd898-c1c5-1dfb-d880-2d01ea6e3184,/?crawl=9,0,200,374828,46.419,1189.423,315134
1787818497745,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/3792e7aa8682adb5,3,200,419759,43.482,970.942,432322
1787818498455,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757f36acfcea89,2,200,29531,187.773,775.855,38063
1787818499369,28cc50e5-3465-4b99-2b80-02383cb906cd,/?crawl=12,0,200,44359,19.103,59.624,743978
1787818496270,e6643b89-1dd1-2310-bf50-2a904aaa6e86,/p/0/e8863c11efa7e1ff,2,200,511793,50.487,3190.685,160402
1787818495757,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/2/f31fea218144672f,2,200,485076,116.865,3865.875,125476
1787818499428,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8c056d07fe07,1,200,45497,17.487,236.709,192207
1787818498532,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/1/c88446e088c7df71,3,200,161383,317.158,1607.268,100408
1787818499623,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c70547536d455,3,200,31386,215.430,527.380,59513
1787818498532,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88445e088c7ddbe,3,200,206233,298.132,1623.050,127065
1787818499428,28cc50e5-3465-4b99-2b80-02383cb906cd,/p/0/c2fd8d056d07ffba,1,200,373483,25.292,862.213,433168
1787818498456,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/77757c36acfce570,2,200,472450,76.052,2003.675,235792
1787818500139,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310c0b95819ac25,4,200,132319,326.689,331.142,399584
1787818500139,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bdb95819a70c,4,200,418646,326.091,345.237,1212635
1787818500369,0749ca82-1e65-8f0a-ba8a-b79b9d25deac,/?crawl=13,0,200,189286,78.048,167.999,1126712
1787818499623,161b30d4-dbe2-5052-5dcb-0f971f676399,/p/0/bc0c6d547536cf3c,3,200,87158,233.970,935.616,93156
1787818498532,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/c88444e088c7dc0b,3,200,2181335,261.821,2962.984,736195
1787818501369,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/?crawl=14,0,200,102706,27.495,182.460,562895
1787818501551,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/0/4e7f8cd3f1663b48,1,200,72451,47.126,346.217,209265
1787818496369,ed42c88f-4aa9-7d0f-7e68-53c544c4dfb3,/?crawl=7,0,200,56756,844.882,6148.510,9231
1787818500139,553b9ccc-860b-52b9-85ef-0d28103041fa,/p/0/b310bfb95819aa72,4,200,5158746,326.073,2641.369,1953058
1787818502369,1ff3bcd1-0da7-cd02-1374-522545639cba,/?crawl=15,0,200,253138,37.223,605.917,417776
1787818502369,63c575a9-d481-947a-51d7-c87f17963167,/?crawl=16,0,200,416840,32.473,900.297,463003
1787818501551,e74dc3e9-9b81-1c67-b868-f59eb1ef8038,/p/13/4e7f8dd3f1663cfb,1,200,492286,70.746,1804.380,272828
1787818496478,452971bf-e875-1435-2f47-7f6c6fe20dea,/p/0/508c4db8913bfbdc,1,200,5290288,7.552,6981.389,757770
1787818503369,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/?crawl=17,0,200,279501,18.332,274.867,1016859
1787818503643,0478c1ea-68e1-75c7-cddd-a5d083df15bb,/p/0/e1e9e13186012fa8,1,200,63235,74.744,188.068,336235
1787818502975,1ff3bcd1-0da7-cd02-1374-522545639cba,/p/0/bb153a765ccb4a4e,1,200,130243,30.922,1142.811,113967
